Column1;Column2;Column3;Column4;[image];Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14
;;;;Programa de Carreras -;;14 de diciembre de 2014;;;;;;;
1ª CARRERA;;;;Premio JIMENEZ MAÑA;;;;;;;;Hora: 12:20;
;;;;;;;;;;;;Forfait20%ͲCambioconductor18€;
Al Trote Enganchado;;;Distancia 2.600m.;PLACA VERDE - NUMERO NEGRO;;Matrícula 40€;;;;;;;Autostart
;;;;6800€ en premios: 3.128 al 1º, 1.564 al 2º, 884 al 3º, 476 al 4º, 408 al 5º, 340 al 6º De 3 y mas años, internacionals hasta 30.000 €. Colocación por sorteo libre.;;;;;;;;;
PROPIETARIO;Nº;;CABALLO;CONDUCTOR;;ENTRENADORDISTSCEORIGEN;;;;;;SUMASR.AbsCLASIF.;
Cuadra Son Oms;;1;SALEROSO;G. ANDREU;P. Puigserver;2600 Cc8;Flamboyant Du Sec (fr)-fan Fan H;;;14554;1163;4a-1a-1a-3a-5m-0a;
Cuadra H.m.;;2;UNA PASSADA HM;J. A. HORRACH;M. Mestre;2600 Ec6;Armbro Goal (us)-hija De Hooge;;;18807;1166;2a-Da-0a-7a-5a-6a;
Cuadra H.m.;;3;TREGOR SOMOLLI (FR);M. MESTRE;M. Mestre;2600 Cc7;Millenium Wood (fr)-image Somol;;;19278;1166;5a-6a-6a-Da-Da-0a;
Peña Puput-sis;;4;ULI STILIKE;M. A. HUGUET V.;B. Llobet R.;2600 Cc6;Hioco De Tartifume (fr)-queen An;;;24384;1155;3a-3a-Da-0a-0a-Da;
Cuadra Ramat Jove S.l.;;5;ASTERIX SUND;A. FRONTERA;A. Frontera;2600 Cc4;Agatos (it)-roxette Sund (se);;;16526;1159;1a-3a-1a-2a-5a-6a;
Cuadra Cafeteria Ses Primetes;;6;UN QUEPRIXET MAR;J. RIERA S. (AP);Ma. F. Sureda;2600 Ec6;Laramie (us)-tracey Boko (de);;;17880;1162;6a-0a-0a-5a-3a-0a;
Cuadra Salamanca;;7;VERI DE FONT;B. RIUTORT;B. Riutort;2600 Cc5;In Love With You (fr)-dalia De Kit;;;26921;1143;4a-Da-6a-2a-0a-0a;
2ª CARRERA;;;;Premio CRIA NACIONAL;;;;;;;;Hora: 12:55;
;;;;;;;;;;;;Forfait20%ͲCambioconductor18€;
Al Trote Enganchado;;;Distancia 2.600m.;PLACA LILA - NUMERO BLANCO;;Matrícula 45€;;;;;;;Autostart
