ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
1_7-12-2014;BAKUGAN;;;;B. RIUTORT;Cuadra Salamanca;B. Riutort;;Hipódromo LA ZARZUELA;1200;ARENA-FIBRA
1_7-12-2014;ALEGRIA;;;;A. GARAU;Ecurie Es Canyaret S.l.;A. Garau;;;;
1_7-12-2014;BUNNY;;;;J. C. ROTGER;Cuadra Paula & Neus;P. Estelrich;;;;
1_7-12-2014;BROT DE LLEVANT;;;;A. FRONTERA;Cuadra Yamo-llevant;A. Frontera;;;;
1_7-12-2014;BENVENGUT EDEN;;;;E. SAEZ;Ecurie Es Canyaret S.l.;A. Garau;;;;
1_7-12-2014;AIAN DE CRISMI;;;;M. MESTRE;Cuadra H.m.;M. Mestre;;;;
1_7-12-2014;TIKITAKA;;;;G. ANDREU;Peña Bonanza;J. C. Villalonga;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
2_7-12-2014;AKILES STAR;;;;G. ANDREU;Peña Bonanza;J. C. Villalonga;;;;
2_7-12-2014;SALEROSO;;;;O. PUIGSERVER;Cuadra Son Oms;P. Puigserver;;;;
2_7-12-2014;UNA PASSADA HM;;;;M. MESTRE;Cuadra H.m.;M. Mestre;;;;
2_7-12-2014;ASTERIX SUND;;;;A. FRONTERA;Cuadra Ramat Jove S.l.;A. Frontera;;;;
2_7-12-2014;ULI STILIKE;;;;B. LLOBET R.;Peña Puput-sis;B. Llobet R.;;;;
2_7-12-2014;UN QUEPRIXET MAR;;;;J. RIERA S. (AP);Cuadra Cafeteria Ses P;Ma. F. Sureda;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
3_7-12-2014;TREGOR SOMOLLI (FR);;;;M. MESTRE;Cuadra H.m.;M. Mestre;;;;
3_7-12-2014;MERIEM (IT);;;;J. CIVICO;Hermanos Civico;J. Civico;;;;
3_7-12-2014;UNCLE YIM CS;;;;A. FRONTERA;Peña Bar Vistamar Ii;A. Frontera;;;;
3_7-12-2014;UN D'EN FLIPER;;;;M. A. BINIMELIS;Penya Fliper Star;M. A. Binimelis;;;;
3_7-12-2014;VERI DE FONT;;;;B. RIUTORT;Cuadra Salamanca;B. Riutort;;;;
3_7-12-2014;VATNA BOCCA (FR);;;;J. C. ROTGER;Hermanos Riera Riera;M. Benejam;u;;;
3_7-12-2014;URBI DE L'ITON (FR);;;;J. BAUZA B.;Hermanos Riera Riera;C. Riera M. (ap);;;;
3_7-12-2014;TYRAN DU VAUTOUR (FR);;;;A. GARAU;Ecurie Es Canyaret S.l.;A. Garau;;;;
3_7-12-2014;TEVINNE DU SOLAT (FR);;;;G. ANDREU;Hermanos Riera Riera;C. Riera M. (ap);;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
4_7-12-2014;SOLITAIRE (FR);;;;O. PUIGSERVER;Cuadra Ca'n Duran;P. Puigserver;;;;
4_7-12-2014;RADJAH D'HAUFOR (FR);;;;G. ANDREU;Quadra Qualitrot;J. C. Villalonga;;;;
4_7-12-2014;PERFEKT (SE);;;;J. C. ROTGER;Cuadra Es Coscoia;P. Estelrich;;;;
4_7-12-2014;RED WILLIAMS (FR);;;;J. RIERA S. (AP);Cuadra Froilan;J. C. Villalonga;;;;
4_7-12-2014;QUARTZ D'HOUSSAYE (FR)A. FRONTERA;;;;;Peña Bar Vistamar Ii;A. Frontera;;;;
4_7-12-2014;PAPY CLAUDE (FR);;;;M. MESTRE;Cuadra H.m.;M. Mestre;;;;
4_7-12-2014;SOLEIL DU MERLE (FR);;;;M. A. BINIMELIS;Cuadra Es Pou Florit S.;M. A. Binimelis;n;;;
4_7-12-2014;QUASSIA BARBES (FR);;;;B. LLOBET R.;Cuadra Oratgina Office;J. C. Villalonga;;;;
4_7-12-2014;REGISPER CEHERE (FR);;;;J. A. HORRACH;Cuadra H.m.;M. Mestre;;;;
4_7-12-2014;PRINCE NOIR (FR);;;;J. BAUZA B.;Cuadra Sa Marina Slu;F. J. Sagrera R.;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
5_7-12-2014;QUEO JOSSELYN (FR);;;;A. FRONTERA;Cuadra Vich-capo;A. Vich;;;;
5_7-12-2014;ROC APACHE (FR);;;;G. ANDREU;Peña Bonanza;J. C. Villalonga;;;;
5_7-12-2014;SPOUTNIK DE SUCE (FR);;;;M. MESTRE;Cuadra H.m.;M. Mestre;;;;
5_7-12-2014;QING DU VIVIER (FR);;;;A. GARAU;Peña Cafeteria Es Reco;P. Estelrich;;;;
5_7-12-2014;QUEFI FOUTEAU (FR);;;;D. LOZANO;Cuadra 2 . 0;D. Lozano;;;;
5_7-12-2014;SAGA AFRICA (FR);;;;B. RIUTORT;Estetica Marga Comas;B. Riutort;;;;
5_7-12-2014;SAMANTHA LAP (FR);;;;J. BAUZA B.;Peña Bonanza;J. C. Villalonga;;;;
5_7-12-2014;TARA DU PASTERET (FR);;;;J. C. ROTGER;Cuadra Paula & Neus;P. Estelrich;;;;
