ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_08-06-2014;BLAS DE LEZO (IRE);1;2 años;56;V.JANACEK;MARALHINO;ARIZKORRETA, G.;2;Hipódromo LA ZARZUELA;1100;HIERBA
1_08-06-2014;HANIBAL;5;2 años;56;N.GARCIA;AREVACOS;RODRIGUEZ, J.A.;1;Hipódromo LA ZARZUELA;1100;HIERBA
1_08-06-2014;OPERETA;2;2 años;56;B.FAYOS;I.R.;BUZON, E.;3;Hipódromo LA ZARZUELA;1100;HIERBA
1_08-06-2014;OROPENDOLA;3;2 años;56;F.JIMENEZ;LOS ESPARTANOS;BUZON, E.;4;Hipódromo LA ZARZUELA;1100;HIERBA
1_08-06-2014;PETROSIAN;4;2 años;56;J.L.MARTINEZ;COMANSI;FERNANDEZ R., J.C.;5;Hipódromo LA ZARZUELA;1100;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_08-06-2014;DROMEOS (GB);2;4 años;62;J.CROCQUEVIEILLE;AMIGOS DEL MOYATE;CALLEJO S., T;5;Hipódromo LA ZARZUELA;1600;HIERBA
2_08-06-2014;FINLEY CONNOLLY (IRE);7;5 años;62;M.GOMES;JEPE;ALVAREZ, M.;6;Hipódromo LA ZARZUELA;1600;HIERBA
2_08-06-2014;TIO LUIS (IRE);1;4 años;62;J.L.MARTINEZ;SAN JULIO;MAROTO, J.L.;2;Hipódromo LA ZARZUELA;1600;HIERBA
2_08-06-2014;JOAQUINA;3;4 años;60;R.SOUSA (58);INDIA;RODRIGUEZ, F.;4;Hipódromo LA ZARZUELA;1600;HIERBA
2_08-06-2014;MOU THE SPECIAL (IRE);4;4 años;60;O.O. DE URBINA;LOS TONELES;RODRIGUEZ, F.;1;Hipódromo LA ZARZUELA;1600;HIERBA
2_08-06-2014;NOTARIO (GB);8;4 años;59;V.JANACEK;CELSO MENDEZ;CALLEJO S., T;7;Hipódromo LA ZARZUELA;1600;HIERBA
2_08-06-2014;SHUMOOKH (IRE);6;11 años;58;SR DE JULIAN,N. (56);CDE CIBELES;CERQUEIRA, J.C.;3;Hipódromo LA ZARZUELA;1600;HIERBA
