;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_16-03-2014;WINDSOR BUOY (IRE);3;3 años;60;B.FAYOS;HEWSUE;HALEY, P.;6;Hipódromo LA ZARZUELA;2100;HIERBA
1_16-03-2014;AL GALOP;6;3 años;59;R.RAMOS;IVAN 17;GALLIPOLI, C.;8;Hipódromo LA ZARZUELA;2100;HIERBA
1_16-03-2014;ESQUILERO (GB);4;3 años;58;R.SOUSA (55);NEARCO;LEON, E;7;Hipódromo LA ZARZUELA;2100;HIERBA
1_16-03-2014;POTI;2;3 años;56,5;J.L.MARTINEZ;PAGANINI;CALLEJO S., T;2;Hipódromo LA ZARZUELA;2100;HIERBA
1_16-03-2014;KING OF SILENCE (FR);5;3 años;56;F.JIMENEZ;YEGUADA URDIÑ-ORIYA;PEREZ, F.;5;Hipódromo LA ZARZUELA;2100;HIERBA
1_16-03-2014;MADERA DE JEFE (GB);1;3 años;56;J.CROCQUEVIEILLE;VIRGINIA WATERS;MAROTO, J.L.;1;Hipódromo LA ZARZUELA;2100;HIERBA
1_16-03-2014;ZULOAGA;7;3 años;56;M.GOMES;MADROÑOS;MARTIN V., R.;4;Hipódromo LA ZARZUELA;2100;HIERBA
1_16-03-2014;VALE DI ROSA (GB);8;3 años;54,5;V.JANACEK (55);DIROSA;CERQUEIRA, J.C.;3;Hipódromo LA ZARZUELA;2100;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_16-03-2014;BRISEIDA;3;4 años;58;O.O. DE URBINA;LOS TONELES;RODRIGUEZ, F.;4;Hipódromo LA ZARZUELA;1600;HIERBA
2_16-03-2014;MADRILEÑA;1;4 años;58;V.JANACEK;POPULAR;ARIZKORRETA, G.;1;Hipódromo LA ZARZUELA;1600;HIERBA
2_16-03-2014;JOAQUINA;4;4 años;57;S.BERMEJO;INDIA;RODRIGUEZ, F.;7;Hipódromo LA ZARZUELA;1600;HIERBA
2_16-03-2014;KETALA (FR);2;5 años;56;B.FAYOS;EL FARGUE;MAROTO, J.L.;6;Hipódromo LA ZARZUELA;1600;HIERBA
