;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_30-05-2014;DIXLESIO (IRE);3;7;62;R. SOUSA (60);RIAS BAIXAS;O. RODRIGUEZ;4;Hipódromo de PINEDA;2200;ARENA
1_30-05-2014;BELAGUA (IRE);1;5;61;V. JANACEK;POPULAR;G. ARIZCORRETA;1;Hipódromo de PINEDA;2200;ARENA
1_30-05-2014;LINKABLE (GB);99;5;61;SR. DE JULIAN (59);ALTAMIRA;J. A. RODRIGUEZ;2;Hipódromo de PINEDA;2200;ARENA
1_30-05-2014;WHISTLEINTHEWIND (IRE);4;7;60;O. O DE URBINA;NANINA;J. CALDERON;3;Hipódromo de PINEDA;2200;ARENA
1_30-05-2014;BLACKBERRY BOY (GB);2;10;53;B. FAYOS;SUNSHINE RACING;P. HALEY;5;Hipódromo de PINEDA;2200;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_30-05-2014;PIPPA SNUDGE (IRE);3;5;62;O. O. DE URBINA;HOLA CREDITO;P. HALEY;6;Hipódromo de PINEDA;1750;ARENA
2_30-05-2014;ILLIZMIT (FR);2;9;60;V. JANACEK;OS COISAS DOCES;H. PEREIRA;8;Hipódromo de PINEDA;1750;ARENA
2_30-05-2014;SANTI GULCH (IRE);9;6;59;M. GOMES;MAIA ALFE;C. VIDINHA;7;Hipódromo de PINEDA;1750;ARENA
2_30-05-2014;BLADE RUNNER;1;5;57;M. A NARVAEZ (55);ADRIANA (B.R);B. RAMA;9;Hipódromo de PINEDA;1750;ARENA
2_30-05-2014;LUNA BRUNA (FR);7;7;56;A. PEREIRA;CARLOS ALVES;C. ALVES;2;Hipódromo de PINEDA;1750;ARENA
2_30-05-2014;SHIRGITA;5;4;56;M. SECCI;CORRALEJO;L. ARRICHES;4;Hipódromo de PINEDA;1750;ARENA
2_30-05-2014;LICANIA (USA);4;7;52;SR. SALGUERO .C.M(54) (B. BLANCA);CARLOS ALVES;C. ALVES;1;Hipódromo de PINEDA;1750;ARENA
2_30-05-2014;NOODLE (FR);8;7;51;R.SOUSA (53);EQUIMANOS;C. VIDINHA;5;Hipódromo de PINEDA;1750;ARENA
2_30-05-2014;HARRY CAN SAY (GB);6;6;50;SRTA. MORENO, O. (48,5);SARA FERVENZA;T. MARTINS;3;Hipódromo de PINEDA;1750;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3_30-05-2014;EL VIEJO GAUCHO;3;3;60;V. JANACEK;JOSE SIMO;J. CALDERON;2;Hipódromo de PINEDA;1600;ARENA
3_30-05-2014;POR FIN;4;3;60;B. FAYOS;MARISOL;J. C. FERNANDEZ;1;Hipódromo de PINEDA;1601;ARENA
3_30-05-2014;BLU FLY;1;3;57;O. O. DE URBINA;SOÑADOR;P. HALEY;7;Hipódromo de PINEDA;1602;ARENA
3_30-05-2014;OLIVENZA;2;3;56,5;M. A NARVAEZ (53,5);A'CASIÑA;J. A. RODRIGUEZ;5;Hipódromo de PINEDA;1603;ARENA
3_30-05-2014;VIGO;99;3;56;SR. DE JULIAN N. (54,5);A'CASIÑA;J. A. RODRIGUEZ;3;Hipódromo de PINEDA;1604;ARENA
3_30-05-2014;DAM DAM;6;3;55,5;M. GOMES;SEVILLA;J. SALGUERO;9;Hipódromo de PINEDA;1605;ARENA
3_30-05-2014;MADAME BOVARY;7;3;54,5;SR. SALGUERO . C.M;GUAYCURU;K. NIKANEN;8;Hipódromo de PINEDA;1606;ARENA
3_30-05-2014;ALCANO;5;3;54;R. SOUSA (53);NEARCO;E. LEON;6;Hipódromo de PINEDA;1607;ARENA
3_30-05-2014;MAZARINO;99;3;54;R. RAMOS (55,5);INVICTUS;J. SALGUERO;4;Hipódromo de PINEDA;1608;ARENA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_30-05-2014;REA SILVIA (IRE);1;4;62;F.JIMENEZ;LABERINTO;G. GOMEZ;4;Hipódromo de PINEDA;1750;ARENA
4_30-05-2014;DUBAI SPRING (USA);4;5;60;B. FAYOS (B. BLANCA);LABERINTO;G. GOMEZ;3;Hipódromo de PINEDA;1750;ARENA
4_30-05-2014;FISCHER;9;4;60;SRTA. RODRIGUEZ, G.(59);COMANSI;J. SALGUERO;10;Hipódromo de PINEDA;1750;ARENA
4_30-05-2014;FOL MOON;10;5;60;SR. SALGUERO C. M (57);YANKEE RACING;O. ANAYA;7;Hipódromo de PINEDA;1750;ARENA
4_30-05-2014;MAGIC POMMIER (GB);6;4;60;R. RAMOS;PUENTEDEY;J. SALGUERO;1;Hipódromo de PINEDA;1750;ARENA
4_30-05-2014;SAMSARA;3;5;60;M. GOMES;STAND CARMO;T. MARTINS;6;Hipódromo de PINEDA;1750;ARENA
4_30-05-2014;SKI FRANQUE (FR);2;8;60;SR. DE JULIAN, N. (58);MAIA ALFE;C. VIDINHA;2;Hipódromo de PINEDA;1750;ARENA
4_30-05-2014;CARAMELO;8;4;58;J. J. SALGUERO;VIENTOS DEL SUR;J. SALGUERO;9;Hipódromo de PINEDA;1750;ARENA
4_30-05-2014;MY BOND (USA);5;4;58;V. JANACEK;LISSELAN FARMS;K. NIKANEN;5;Hipódromo de PINEDA;1750;ARENA
4_30-05-2014;DINNER GRACE (USA);7;4;56;R. SOUSA (54)(B.ROJA);LISSELAN FARMS;K. NIKANEN;8;Hipódromo de PINEDA;1750;ARENA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
5_30-05-2014;CAÑADIO;3;7;62;J. L. MARTINEZ;HISPANICA;J. C. FERNANDEZ;7;Hipódromo de PINEDA;1750;ARENA
5_30-05-2014;CRACK;6;5;62;R. RAMOS;EL BRUJO;J. CALDERON;2;Hipódromo de PINEDA;1750;ARENA
5_30-05-2014;DUBROVNIK;5;4;62;B. FAYOS;YEGUADA LAS CUEVAS;J. CALDERON;3;Hipódromo de PINEDA;1750;ARENA
