ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_26-10-2014;FLORANCIA (FR);1;2 años;56,5;J.L.MARTINEZ;CHAMARTIN;VALENTI, B.;7;Hipódromo LA ZARZUELA;1400;HIERBA
1_26-10-2014;ROCHO;2;2 años;56,5;B.FAYOS;PAGANINI;CALLEJO S., T;5;Hipódromo LA ZARZUELA;1400;HIERBA
1_26-10-2014;BORNTOLOVEYOU (FR);5;2 años;55;J.L.BORREGO;CIELO DE MADRID;RODRIGUEZ, O.;1;Hipódromo LA ZARZUELA;1400;HIERBA
1_26-10-2014;LADY AMAYA;6;2 años;55;G.MADERO;ALTAMIRA;RODRIGUEZ, J.A.;4;Hipódromo LA ZARZUELA;1400;HIERBA
1_26-10-2014;LADY CINZA;4;2 años;55;N.GARCIA (B.Blanca);ALTAMIRA;RODRIGUEZ, J.A.;6;Hipódromo LA ZARZUELA;1400;HIERBA
1_26-10-2014;BUSTURIA (IRE);3;2 años;53,5;V.JANACEK (55);SAN MAMES;ARIZKORRETA, G.;3;Hipódromo LA ZARZUELA;1400;HIERBA
1_26-10-2014;TARA CANARIAS;99;2 años;53,5;R.SOUSA;GRUPO BOLAÑOS GRAN CANARIA;LEON, E;2;Hipódromo LA ZARZUELA;1400;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_26-10-2014;VALIANT BLUE (IRE);6;5 años;58,5;B.FAYOS;AGRADO;BUZON, E.;1;Hipódromo LA ZARZUELA;1200;HIERBA
2_26-10-2014;INDIANO;2;6 años;56,5;O.O. DE URBINA;EL POTRO CLUB;ARIZKORRETA, G.;8;Hipódromo LA ZARZUELA;1200;HIERBA
2_26-10-2014;OTRO GINTONIC (GB);4;5 años;56,5;V.JANACEK;EL FACTOR SORPRESA;ARIZKORRETA, G.;9;Hipódromo LA ZARZUELA;1200;HIERBA
2_26-10-2014;RETAINER (IRE);8;6 años;56,5;R.RAMOS;LABERINTO;CERQUEIRA, J.C.;2;Hipódromo LA ZARZUELA;1200;HIERBA
