Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;[image];Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21
;;;;;;;;;;;;Programa de Carreras - 26 de abril de 2015;;;;;;;;
;;;;;;;;;;;;Hipódromo de Son Pardo i Manacor;;;;;;;;
1ª CARRERA;;;;Premio EMILIO SPEED;;;;;;;;Ganador;;;Quiniela;;;Trio;A las 16:00;
Al Trote Enganchado;;;;Distancia 2.150m.;;;;PLACA VERDE - NUMERO NEGRO;;;;Matrícula 50€;;;Forfait % del premio;;;Cambio Conductor 18€;;Autostart
;;;;5000€ en premios: 2.400 al 1º, 1.200 al 2º, 600 al 3º, 300 al 4º, 200 al 5º, 150 al 6º, 150 al 7º;;;;;;;;De 4 y más años, nacionales de 0 / 1.999,99 €.;;;;;;;;
PROPIETARIO;;Nº;;CABALLO;;He.;;CONDUCTOR;ENTRENADORDIST;;SCE;ORIGEN;;;SUMASR.Abs;;R.Dist;CLASIF.;ULTIMA CARRERA;
Cuadra Son Blai;;1;;BEBE BLAI;;DP;;J. M. JUAN;Jme. Taberner C.;;2150 Ec4;Kent Barbes (fr)-Lady Lane Hanover (u;;;60;1213;1.21.3;4(14)-D;29.03.15-4-SP-2150-A-1.21.3-B. CALVO;
Pedro Mir Gomila;;2;;BRISA DES COLL;;;;M. MIR;M. Mir;;2150 Ec4;Sirgio (us)-Vauma De Maig;;;76;1223;1.22.3;D-6-0(14)-D-4-D;21.02.15-D-SP-2150-A-0-M. MIR;
Cuadra Es Pont;;3;;BLUE BIRD TMS;;;;A. TUR;J. A. Garcia;;2150 Ec4;Ganymede (fr)-Ronja Brick (se);;;90;1214;1.21.4;5-6-D-5-D-5;03.04.15-5-MN-2050-A-1.22.9-A. TUR;
Germans Crespi Ferrer;;4;;BLOSON;;;;S. CRESPI F.;S. Crespi F.;;2150 En4;Lets Go (de)-Tippytoe (se);;;190;1212;1.21.2;4-R-3(14)-D-0-D;21.02.15-4-SP-2150-A-1.21.2-S. CRESPI F.;
Cuadra Son Cosmet;;5;;AMATEUR;;;;D. OLIVER;D. Oliver;;2150 Cc5;Password (fr)-S'auba De Maig;;;334;1203;1.20.3;D-5(14)-6-0-3-D;24.03.15-D-SP-2150-A-0-D. OLIVER;
Jaime Taberner Carbonell;;6;;ANIMA TM;;;;B. CALVO;Jme. Taberner C.;;2150 Ec5;Suitable Rose (se)-Clas Blai;;;364;1207;1.20.7;4-0-2-0-4-4;19.04.15-4-MN-2050-A-1.21.7-B. CALVO;
Cuadra Can Escafi;;7;;BAMBINA D'ESCAFI;;;;F. VECINA;F. Vecina;;2150 Ec4;Brandy Dei Fiori (it)-Huella D'escafi;;;430;1202;1.20.2;7-2-3-4-D(14)-7;12.04.15-7-SP-2150-A-1.20.2-F. VECINA;
Catalina Mesquida Barrera;;8;;BAMBI GR;;;;B. PASTOR M.;J. Pastor;;2150 Cc4;Leo Josselyn (fr)-Bell-one (dk);;;618;1191;1.19.9;2-D-D-D-D-D;12.04.15-2-SP-2150-A-1.19.9-B. PASTOR M.;
Cuadra Ca'n Xisco;;9;;BOUQUET HORSE;;;;F. ABELLAN;F. Abellan;;2150 Ec4;Job D'udon (fr)-Meyzy Horse;;;750;1210;1.21.0;D-3-5-6(14)-6-D;12.04.15-D-SP-2150-A-0-F. ABELLAN;
Cuadra Puigserver Vich;;10;;BARONESA TILLY BS;;;;G. ANDREU;L. Vich R.;;2150 Ec4;Dexter Tilly (se)-Rydens Ravenna (se);;;840;1196;1.20.5;D-D(14)-D-D-2-4;12.04.15-D-SP-2150-A-0-L. VICH R.;
Cuadra C'an Moraduix;;11;;BONHEUR BRANCH;;;;J. C. ROTGER;A. Puig R.;;2150 Ec4;Ambassador Fortuna (us)-Guinness Gi;;;886;1188;1.20.2;6-0-D(14)-6-7-0;12.04.15-6-SP-2150-A-1.20.2-Ant. POCOVI;
Instalaciones Andres Vich;;12;;NICOLA CROWN;;D4;;F. ANDREU;And. Vich;;2150 Ec11;Tap Dance Kid (us)-Puk Kongstolpe (d;;e;1.214;1195;1.19.5;D-0-D-D-R-6;19.04.15-D-MN-2050-A-0-M. VICH C.;
Cuadras Sas - Cafe 1990;;13;;BONNIE SAS;;;;M. MATAMALAS;M. Matamalas;;2150 Ec4;Idjet Mab (fr)-Torina Sas;;;1.332;1197;1.19.7;3-0-0-D-1-R;29.03.15-3-SP-2150-A-1.19.7-M. MATAMALAS;
Cuadra Ladil;;14;;BERLINA DE LADIL;;;;S. POCOVI (AP);J. Pocovi;;2150 Ec4;Ganymede (fr)-Samba De Ladil;;;1.512;1186;1.19.5;0-6-7-7-6-0;24.03.15-0-SP-2150-A-0-S. POCOVI;
Agustin Rosello Gomila;;15;;BE TE AR;;DP;;M. RIERA B.;M. Riera B.;;2150 Cn4;Amadeus Om (it)-Vonita;;;1.586;1183;1.20.0;3-D-D-5-4-0;19.04.15-3-MN-2050-A-1.20.6-M. RIERA B.;
Cuadra Sa Marina Slu;;16;;BENUS TARTIFUME JS;;;;G. RIERA;F. J. Sagrera R.;;2150 Ec4;Hioco De Tartifume (fr)-Osir;;;1.805;1184;1.18.4;7-4-D-4-0-D;19.04.15-7-MN-2050-A-1.21.3-G. ANDREU;
1________;Tiempo_________;;2________;Tiempo_________;3________;;Tiempo_________;4________;Tiempo_________;5________;Tiempo_________;6________;Tiempo_________;;7________;;;Tiempo_________;;
2ª CARRERA;;;;Premio JIVIBO;;;;;;;;Ganador;;;Quiniela;;;Trio;A las 16:25;
Al Trote Enganchado;;;;Distancia 1.650m.;;;;PLACA NEGRA - NUMERO BLANCO;;;;Matrícula 50€;;;Forfait % del premio;;;Cambio Conductor 18€;;Autostart
;;;;5000€ en premios: 2.400 al 1º, 1.200 al 2º, 600 al 3º, 300 al 4º, 200 al 5º, 150 al 6º, 150 al 7º;;;;;;;;De 4 y más años, nacionales de 10.000 / 16.999,99 €.;;;;;;;;
PROPIETARIO;;Nº;;CABALLO;;He.;;CONDUCTOR;ENTRENADORDIST;;SCE;ORIGEN;;;SUMASR.Abs;;R.Dist;CLASIF.;ULTIMA CARRERA;
