Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14
;;;;[image];;;;;;;;;
;;;;Programa de Carreras -;;;18 de enero de 2015;;;;;;
1ª CARRERA;;;Premio;CRIA NACIONAL;;;;;;;;;Hasta 12:20 h.
Trote Enganchado;;;Distancia 2.600m.;PLACA VERDE - NUMERO NEGRO;;;;;;;;;Autostart
;;;;7000€ en premios: 3.220 al 1º, 1.610 al 2º, 910 al 3º, 490 al 4º, 420 al 5º, 350 al 6º;De 3 y más años nacionales hasta 35.000€;;;;;;;;
PROPIETARIO;Nº;;CABALLO;CONDUCTOR;;ENTRENADOR;;DIST;SCE;ORIGEN;SUMAS;R.Abs;CLASIF.
Cuadra Xisquet;1;DA;UFANA MISS;P. SEBASTIA S.;;F. Servera Ll. (ap);;2600;Ec7;Suitable Rose (se)-jara Miss;9.405;1.17.5;Da(14)-Da-0a-0a-0a-0a
Cdra Xures;2;;VIP TIRETY;A. GARAU;;J. C. Villalonga;;2600;Cc6;S J's Photo (us)-zibelin Ac (it);16.714;1.16.4;0a-3a(14)-0a-Ra-2a-7a
Cuadra Ramat Jove S.l.;3;;ASTERIX SUND;A. FRONTERA;;A. Frontera;;2600;Cc5;Agatos (it)-roxette Sund (se);31.132;1.15.1;1a-1a(14)-1a-2a-1a-1a
Rafael Bonet Adrover;4;;TENOR DE KOR;J. A. GARCIA;;J. A. Garcia;;2600;Cc8;Armbro Goal (us)-auba Des Etangs;20.593;1.15.1;5a-5a(14)-0a-6a-0a-4a
Cuadra Italoiberica;5;D4;UTOPIA AB;A. BROGLIA;;B. Llobet R.;;2600;Ec7;Captain Cook (us)-mannarazza;16.875;1.14.9;5a-2a(14)-0a-0a-Da-0a
Cuadra Es Pou Florit S.l.;6;DA;AIRE DE CLISSA;M. A. BINIMELIS;;M. A. Binimelis;;2600;Cc5;C Super Chancen (dk)-filla De Clissa;15.046;1.16.1;0a-1a(14)-4a-2a-Da-5a
Penya Lancers;7;;VIROT CR;J. VILLALONGA (AP);;A. Frontera;;2600;Cc6;Fairbank Gi (it)-guida Om (it);33.195;1.15.2;2a-3a(14)-5a-2a-6a-6a
Cuadra H.m.;8;D4;ALEGRIA;M. MESTRE;;A. Garau;;2600;Ec5;Atas Nice Star L. (se)-bratts Miss (se);9.618;1.17.8;0a(14)-1a-5a-0a-2a-0a
Peña Bonanza;9;;VENT DA MAR;D. OLIVER;;J. C. Villalonga;;2600;Cc6;Strauss Or (it)-henara Negra Gs;18.986;1.16.9;0a-6a(14)-7a-1a-1a-2a
Cuadra Son Mesquida Vel;10;;TITANIC BINIATI;A. SANCHEZ;;A. Frontera;;2600;Ca8;Scotty Lobell (us)-moline De Padd (fr);8.085;1.17.1;4a-6a(14)-7a-0a-0a-0a
