Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13
;;;;[image];;;;;;;;
;;;;Programa de Carreras -;;25 de enero de 2015;;;;;;
1ª CARRERA;;;Premio;RADIO MARCA;;;;;;;;Hasta 12:20 h.
Al trote enganchado;;;Distancia 2.600m.;PLACA VERDE - NUMERO NEGRO;;;;;;;;Autostart
;;;;7000€ en premios: 3.220 al 1º, 1.610 al 2º, 910 al 3º, 490 al 4º, 420 al 5º, 350 al 6º De 5 y més anys internacionals hasta 60.000€;;;;;;;;
PROPIETARIO;Nº;;CABALLO;CONDUCTOR;ENTRENADOR;;DIST;SCE;ORIGEN;SUMAS;R.Abs;CLASIF.
Cuadra Paula & Neus;1;;TARA DU PASTERET (FR);P. ESTELRICH;P. Estelrich;;2600;Ec8;Jade Bocain (fr)-ketmie Money (fr);51.028;1.13.8;6a-4a-5a(14)-4a-5a-4a
Cdra Xures;2;;VIP TIRETY;J. C. ROTGER;J. C. Villalonga;;2600;Cc6;S J's Photo (us)-zibelin Ac (it);16.714;1.16.4;0a-0a-3a(14)-0a-Ra-2a
Hermanos Riera Riera;3;D4;URBI DE L'ITON (FR);F. ANDREU;C. Riera M.;;2600;Cc7;Cygnus D'odyssee (fr)-manne De L'ito n;38.014;1.16.4;Da-4a-4a(14)-0a-3a-4a
Cuadra H.m.;4;DA;VINCENNES HM;J. A. RIERA;M. Mestre;;2600;Cc6;Goetmals Wood (fr)-lindys Spring (se);38.462;1.15.2;3a-3a-2a(14)-0a-4a-5a
Penya Lancers;5;;VIROT CR;A. FRONTERA;A. Frontera;;2600;Cc6;Fairbank Gi (it)-guida Om (it);34.105;1.15.2;3a-2a-3a(14)-5a-2a-6a
Hermanos Riera Riera;6;;TESTAROSSA CARNOT (FR);A. VALLS;C. Riera M.;;2600;Ea8;Kid Blue (fr)-koda De Neulliac (fr);35.440;1.17.3;0a-0a(14)-Da-0a-Da-Da
2ª CARRERA;;;;Premio THE JOCKEY (SOUTH HORSE RACING);;;;;;;;Hasta 12:55 h.
Al trote enganchado;;;Distancia 2.600m.;PLACA LILA - NUMERO BLANCO;;;;;;;;Autostart
;;;;7000€ en premios: 3.220 al 1º, 1.610 al 2º, 910 al 3º, 490 al 4º, 420 al 5º, 350 al 6º De 4 y más años internacionales hasta 15.000€;;;;;;;;
PROPIETARIO;Nº;;CABALLO;CONDUCTOR;ENTRENADOR;;DIST;SCE;ORIGEN;SUMAS;R.Abs;CLASIF.
Peña Bonanza;1;;UONZE D'ESCAFI;F. ANDREU;J. C. Villalonga;;2600;Cc7;Armbro Goal (us)-huella D'escafi;7.988;1.17.7;3a-6a(14)-0a-3a-Da-7a
Peña Bonanza;2;;URBANO BLAI;A. VALLS;J. C. Villalonga;;2600;Ca7;Love You (fr)-gogo Blai;7.426;1.17.4;Da-Da-Da(14)-Ra-Ra-Da
Hermanos Moya Alemany;3;;AVE CESAR;Mª. RIERA M. (AP);A. Frontera;;2600;Cn5;Armbro Goal (us)-hills Tiara (us);6.940;1.18.5;4a-3a-4a(14)-4a-0a-0a
Cuadra Son Mesquida Vel;4;;TITANIC BINIATI;J. VILLALONGA (AP);A. Frontera;;2600;Ca8;Scotty Lobell (us)-moline De Padd (fr);8.085;1.17.1;Ra-4a-6a(14)-7a-0a-0a
Cuadra Una Il·lusio Negra;5;;TALISMAN HANOVER;Mª. M. CARMONA;F. Servera Ll.;;2600;Cc8;Eole (fr)-espiga Hanover;7.317;1.16.5;6a-5a(14)-Da-0a-Da-5a
Cuadra Italoiberica;6;DP;SOGNO CAPAR (IT);A. BROGLIA;B. Llobet R.;;2600;Cc4;Self Possesed(us)-imera Mp (it);2.472;1.19.2;2a-4a-5a(14)-1a-6a-3a
Cuadra Yamo-llevant;7;;BROT DE LLEVANT;A. FRONTERA;A. Frontera;;2600;Cc4;Fast Photo (us)-jaia Jp;10.042;1.17.5;1a-2a(14)-Da-3a-2a-5a
Cuadra Xisquet;8;DA;UFANA MISS;A. GARAU;F. Servera Ll;;2600;Ec7;Suitable Rose (se)-jara Miss;9.405;1.17.5;0a-Da(14)-Da-0a-0a-0a
Cuadra H.m.;9;D4;ALEGRIA;J. A. RIERA;M. Mestre;;2600;Ec5;Atas Nice Star L. (se)-bratts Miss (se);9.618;1.17.8;0a-0a(14)-1a-5a-0a-2a
Cuadra Paula & Neus;10;;BUNNY;J. C. ROTGER;P. Estelrich;;2600;Cc4;Dexter Tilly (se)-new Lady;11.748;1.17.5;1a-2a-5a(14)-2a-4a-4a
3ª CARRERA;;;Premio COCA COLA;;;;;;;;;Hasta 13:30 h.
Al trote enganchado;;;Distancia 1.800m.;PLACA BLANCA - NUMERO NEGRO;;;;;;;;Autostart
;;;;7000€ en premios: 3.220 al 1º, 1.610 al 2º, 910 al 3º, 490 al 4º, 420 al 5º, 350 al 6º De 5 y más internacionales hasta 450.000€;;;;;;;;
PROPIETARIO;Nº;;CABALLO;CONDUCTOR;ENTRENADOR;;DIST;SCE;ORIGEN;SUMAS;R.Abs;CLASIF.
Cuadra H.m.;1;;TREGOR SOMOLLI (FR);J. A. RIERA;M. Mestre;;1800;Cc8;Millenium Wood (fr)-image Somolli (fr);23.756;1.16.6;0a-0a-1a(14)-3a-4a-Da
Peña Bar Vistamar Ii;2;;UNCLE YIM CS;A. FRONTERA;A. Frontera;;1800;Cc7;Atas Ace L (se)-pocahontas Gull (se);43.535;1.14.9;2a-6a-2a(14)-1a-4a-1a
Hermanos Riera Riera;3;DP;TEVINNE DU SOLAT (FR);Mª. RIERA M. (AP);C. Riera M.;;1800;Ec8;Grassano (fr)-helene Williams (fr);31.670;1.16.6;4a-0a-4a(14)-4a-4a-2a
Ecurie Es Canyaret S.l.;4;;TYRAN DU VAUTOUR (FR);A. GARAU;A. Garau;;1800;Cc8;Fan Quick (fr)-katia Du Vautour (fr);41.136;1.16.8;6a-0a-3a(14)-5a-6a-5a
Penya Fliper Star;5;;UN D'EN FLIPER;M. A. BINIMELIS;M. A. Binimelis;;1800;Cc7;Fliper Star-artarita Plu;53.298;1.15.2;1a-6a-1a(14)-0a-1a-1a
Peña Cafeteria Es Reco D;6;;SOYEUX (FR);J. C. ROTGER;P. Estelrich;;1800;Cc9;Kiwi (fr)-joyeuse (fr);52.788;1.14.7;0a-0a-0a(14)-0a-5a
4ª CARRERA;;;;Premio SELAE-LOTOTURF;;;;;;;;Hasta 14:05 h.
Al trote enganchado;;;Distancia 1.800m.;PLACA NEGRA - NUMERO BLANCO;;;;;;;;Autostart
;;;;7000€ en premios: 3.220 al 1º, 1.610 al 2º, 910 al 3º, 490 al 4º, 420 al 5º, 350 al 6º De 5 y más años internacionales hasta 450.000€;;;;;;;;
PROPIETARIO;Nº;;CABALLO;CONDUCTOR;ENTRENADOR;;DIST;SCE;ORIGEN;SUMAS;R.Abs;CLASIF.
Binimelis Garcias Sl;1;DA;HE'S A GANGSTER (SE);A. BINIMELIS G.;M. A. Binimelis;;1800;Cc11;Viking Kronos -com Gretchen;150.640;1.12.5;4a-5a-4a(14)-3a-4a-6a
Cuadra Mauritius;2;;QUASIMODO FACE (SE);B. TOUS;D. M. Pereira;;1800;Cc11;Goetmals Wood (fr)-uka Des Champs;86.821;1.14.2;4a-2a-0a(14)-5a-4a-1a
Peña Cafeteria Es Reco D;3;;ORATEUR (FR);J. C. ROTGER;P. Estelrich;;1800;Ca13;Hugo Du Bossis (fr)-gitaine (fr);375.681;1.11.9;5a-4a(14)-5a-0a-6a-0a
Cuadra Ca'n Duran;4;DP;SOLITAIRE (FR);A. FRONTERA;P. Puigserver;;1800;Cc9;Hasting (fr)-melusine Du Loir (fr);105.640;1.15.0;1a-1a-6a(14)-1a-5a-0a
Cuadra Es Pou Florit S.l.;5;;DOMINO SUND (SE);A. VALLS;M. A. Binimelis;;1800;Ec8;Muscles Yankee (us)-euro Tara (us);171.706;1.13.9;6a-6a(14)-Ra-2a-4a-3a
Cuadra H.m.;6;;PAPY CLAUDE (FR);J. A. RIERA;M. Mestre;;1800;Ca12;Urfist Des Pres (fr)-jenny Cup (fr);172.109;1.13.2;2a-3a-1a(14)-1a-1a-1a
Cuadra Pma;7;DA;NEW KING VEA (FR);Mª. M. CARMONA;P. Sebastia S.;;1800;Cc14;Viking's Way (fr)-cybele Vea;437.848;1.11.4;0a-0a(14)-0a-0a-5a-5a
Cuadra Es Pou Florit S.l.;8;DA;SOLEIL DU MERLE (FR);M. A. BINIMELIS;M. A. Binimelis;;1800;Ca9;Koktail De Perron (fr)-kiva Du Montil (f;162.897;1.11.9;1a-1a-2a(14)-2a-3a-3a
Quadra Qualitrot;9;;RADJAH D'HAUFOR (FR);F. ANDREU;J. C. Villalonga;;1800;Cc10;Dahir De Prelong (fr)-hanoukka (fr);186.406;1.12.3;3a-2a-5a(14)-6a-2a-2a
