Column1;Column2;Column3;Column4;[image];Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17
;;;;Programa de Carreras -;;;;4 de enero de 2015;;;;;;;;
1ª CARRERA;;;;Premio RESTAURANTE BAJO GUIA;;;;;;;;;;;;Hasta 12:20 h.
Al trote enganchado;;;;Distancia 2.600m.;PLACA VERDE - NUMERO NEGRO;;;;;;;;;;;Autostart
;;;;7000€ en premios: 3.220 al 1º, 1.610 al 2º, 910 al 3º, 490 al 4º, 420 al 5º, 350 al 6º De 3 y más años nacionales hasta 15.000€;;;;;;;;;;;;
PROPIETARIO;Nº;;;CABALLO;CONDUCTOR;;ENTRENADOR;;DIST;;SCE;ORIGEN;;SUMAS;R.Abs;CLASIF.
Cuadra Sa Marina Slu;;1;;BENUS TARTIFUME JS;D. OLIVER;;F. J. Sagrera R.;;2600;;Ec3;Hioco De Tartifume (fr)-osir;;1.350;1.18.4;0a-Da-1a-0a-Da-3a
Peña Bonanza;;2;;URBANO BLAI;J. BELLO;;J. C. Villalonga;;2600;;Ca6;Love You (fr)-gogo Blai;;7.426;1.17.4;Ra-Ra-Da-Da-Da-Da
Cuadra Yamo-llevant;;3;;BROT DE LLEVANT;A. FRONTERA;;A. Frontera;;2600;;Cc3;Fast Photo (us)-jaia Jp;;5.212;1.17.5;Da-3a-2a-5a-6a-6a
Ecurie Es Canyaret S.l.;;4;;ALEGRIA;A. GARAU;;A. Garau;;2600;;Ec4;Atas Nice Star L. (se)-bratts Miss (se);;9.618;1.17.8;1a-5a-0a-2a-0a-0a
Cuadra Paula & Neus;;5;;BUNNY;E. SAEZ;;P. Estelrich;;2600;;Cc3;Dexter Tilly (se)-new Lady;;6.498;1.17.5;2a-4a-4a-3a-1a-Da
Hermanos Moya Alemany;;6;;AVE CESAR;Mª. RIERA M. (AP);;A. Frontera;;2600;;Cn4;Armbro Goal (us)-hills Tiara (us);;5.050;1.18.5;4a-0a-0a-0a-5a-0a
Cuadra Son Mesquida Vell;;7;;TITANIC BINIATI;J. VILLALONGA (AP);;A. Frontera;;2600;;Ca7;Scotty Lobell (us)-moline De Padd (fr);;7.145;1.17.1;0a-0a-0a-0a-1a-0a
Peña Cafeteria Es Reco D;e;8;;BILL HM;P. ESTELRICH;;P. Estelrich;;2600;;Cn3;Oh Tap In Hm-alfie´s Lady (us);;1.188;1.16.9;5a-0a-Da-0a-0a-Da
Cuadra H.m.;;9;;BENVENGUT EDEN;M. MESTRE;;M. Mestre;;2600;;Cc3;Eden Bridge (fr)-elga Breton Gf;;2.352;1.18.6;3a-6a-5a-Da-0a-1a
Cuadra Es Pou Florit S.l.;;10;;AIRE DE CLISSA;M. A. BINIMELIS;;M. A. Binimelis;;2600;;Cc4;C Super Chancen (dk)-filla De Clissa;;11.826;1.16.1;4a-2a-Da-5a-0a-5a
2ª CARRERA;;;;Premio ABC;;;;;;;;;;;;Hasta 12:55 h.
Al trote enganchado;;;;Distancia 2.600m.;PLACA LILA - NUMERO BLANCO;;;;;;;;;;;Autostart
;;;;7000€ en premios: 3.220 al 1º, 1.610 al 2º, 910 al 3º, 490 al 4º, 420 al 5º, 350 al 6º De 3 y más años internacionales hasta 30.000€;;;;;;;;;;;;
PROPIETARIO;Nº;;;CABALLO;CONDUCTOR;;ENTRENADOR;;DIST;;SCE;ORIGEN;;SUMAS;R.Abs;CLASIF.
Cuadra Ramat Jove S.l.;;1;;ULTRA DE FONT;Mª. RIERA M. (AP);;F. Vidal B.;;2600;;Ec6;Ata Star L. (se)-nobella Sund (se);;16.525;1.16.8;5a-0a-Dm-4a-4a-1a
Cuadra Son Oms;;2;;SALEROSO;J. VILLALONGA (AP);;P. Puigserver;;2600;;Cc8;Flamboyant Du Sec (fr)-fan Fan H.c.;;20.720;1.15.8;3a-1a-2a-4a-1a-1a
Peña Bonanza;;3;;VENT DA MAR;A. GARAU;;J. C. Villalonga;;2600;;Cc5;Strauss Or (it)-henara Negra Gs;;18.036;1.17.7;1a-1a-2a-0a-4a-2a
Cuadra H.m.;;4;;UNA PASSADA HM;M. MESTRE;;M. Mestre;;2600;;Ec6;Armbro Goal (us)-hija De Hooge;;21.863;1.15.7;2a-5a-3a-2a-Da-0a
Rafael Bonet Adrover;;5;;TENOR DE KOR;D. OLIVER;;J. A. Garcia;;2600;;Cc7;Armbro Goal (us)-auba Des Etangs;;19.753;1.15.1;6a-0a-4a-Da-1a-4a
Cuadra Ramat Jove S.l.;;6;;ASTERIX SUND;A. FRONTERA;;A. Frontera;;2600;;Cc4;Agatos (it)-roxette Sund (se);;24.692;1.15.1;1a-2a-1a-1a-3a-1a
3ª CARRERA;;;;Premio CANAL SUR RADIO;;;;;;;;;;;;Hasta 13:30 h.
Al trote enganchado;;;;Distancia 1.800m.;PLACA BLANCA - NUMERO NEGRO;;;;;;;;;;;Autostart
;;;;7000€ en premios: 3.220 al 1º, 1.610 al 2º, 910 al 3º, 490 al 4º, 420 al 5º, 350 al 6º De 3 y más años internacionales hasta 200.000€.;;;;;;;;;;;;
PROPIETARIO;Nº;;;CABALLO;CONDUCTOR;;ENTRENADOR;;DIST;;SCE;ORIGEN;;SUMAS;R.Abs;CLASIF.
