Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13
;;;;[image];;;;;;;;
;;;;Programa de Carreras -;;1 de febrero de 2015;;;;;;
1ª CARRERA;;;;Premio EL CORREO DE ANDALUCÍA. DECANO DEPORTIVO;;;;;;;;A las 12:20 h.
Al trote enganchado;;;Distancia 1.800m.;PLACA VERDE - NUMERO NEGRO;;Matrícula 40€;;;;;;Autostart
;;;;6500€ en premios: 2.990 al 1º, 1.496 al 2º, 844 al 3º, 456 al 4º, 390 al 5º, 324 al 6º;;De 4 y más años internacionales hasta 25.000€;;;;;;
PROPIETARIO;Nº;;CABALLO;CONDUCTOR;ENTRENADOR;DIST;SCE;ORIGEN;;SUMAS;R.Abs;CLASIF.
Cuadra H.m.;1;D4;ALEGRIA;M. MESTRE;M. Mestre;1800;Ec5;Atas Nice Star L. (se)-bratts Miss;;11.228;1.17.8;2a-0a-0a(14)-1a-5a-0a
Cuadra Paula & Neus;2;;BUNNY;P. ESTELRICH;P. Estelrich;1800;Cc4;Dexter Tilly (se)-new Lady;;14.968;1.17.5;1a-1a-2a-5a(14)-2a-4a
Cuadra Ramat Jove S.l.;3;;ULTRA DE FONT;Mª. RIERA M. (AP);F. Vidal B.;1800;Ec7;Ata Star L. (se)-nobella Sund (se);;19.045;1.16.8;0a-0a-3a-2a(14)-5a-0a
Cuadra Yamo-llevant;4;;BROT DE LLEVANT;A. FRONTERA;A. Frontera;1800;Cc4;Fast Photo (us)-jaia Jp;;10.952;1.17.5;3a-1a-2a(14)-Da-3a-2a
Cuadra Son Oms;5;;SALEROSO;J. A. GARCIA;P. Puigserver;1800;Cc9;Flamboyant Du Sec (fr)-fan Fan H;;23.660;1.15.8;5a-5a-2a-4a(14)-3a-1a
Cdra Xures;6;;VIP TIRETY;J. C. ROTGER;J. C. Villalonga;1800;Cc6;S J's Photo (us)-zibelin Ac (it);;17.624;1.16.4;3a-0a-0a-3a(14)-0a-Ra
Cuadra Es Pou Florit S.;7;D4;AIRE DE CLISSA;M. A. BINIMELIS;M. A. Binimelis;1800;Cc5;C Super Chancen (dk)-filla De Cli;s;15.396;1.16.1;6a-0a-0a-1a(14)-4a-2a
Cuadra Italoiberica;8;;UTOPIA AB;B. LLOBET R.;B. Llobet R.;1800;Ec7;Captain Cook (us)-mannarazza;;18.135;1.14.9;3a-6a-5a-2a(14)-0a-0a
Peña Bonanza;9;;VENT DA MAR;G. ANDREU;J. C. Villalonga;1800;Cc6;Strauss Or (it)-henara Negra Gs;;19.896;1.16.2;4a-5a-0a-6a(14)-7a-1a
2ª CARRERA;;;;Premio INSTALACIONES HÍPICAS EL MOLINO;;;;;;;Alas;12:55 h.
Al trote enganchado;;;Distancia 1.800m.;PLACA LILA - NUMERO BLANCO;;Matrícula 40€;;;;;;Autostart
;;;;6500€ en premios: 2.990 al 1º, 1.496 al 2º, 844 al 3º, 456 al 4º, 390 al 5º, 324 al 6º;;De 4 y más años internacionales hasta 50.000€;;;;;;
PROPIETARIO;Nº;;CABALLO;CONDUCTOR;ENTRENADOR;DIST;SCE;ORIGEN;;SUMAS;R.Abs;CLASIF.
Penya Lancers;1;;VIROT CR;J. VILLALONGA (AP);A. Frontera;1800;Cc6;Fairbank Gi (it)-guida Om (it);;35.715;1.15.2;2a-3a-2a-3a(14)-5a-2a
