Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14
;;;;[image];;;;;;;;;
;;;;Programa de Carreras - 22 de febrero de 2015;;;;;;;;;
1ª CARRERA;;;Premio;THE JOCKEY (SOUTH HORSE RACING);;;;;;;;;A las 12:20 h.
Al trote enganchado;;;;Distancia 2.600m.;PLACA VERDE - NUMERO NEGRO;;Matrícula 40€;;;;;;Autostart
;;;;6500€ en premios: 2.990 al 1º, 1.496 al 2º, 844 al 3º, 456 al 4º, 390 al 5º, 324 al 6º;;;De 4 y más años internacionales hasta 9.000€;;;;;;
PROPIETARIO;Nº;;;CABALLO;CONDUCTOR;ENTRENADOR;DIST;SCE;ORIGEN;;SUMAS;R.Abs;CLASIF.
Hermanos Riera Riera;1;D4;;AND ONLY VISAIS (FR);M. RIERA B.;C. Riera M.;2600;Cc5;One And Only (fr)-pin Up Du Larg;e;5.590;1.18.4;5a(14)-Da-3a-Da-6a-2a
Hermanos Moya Alema;2;D4;;AVE CESAR;A. FRONTERA;A. Frontera;2600;Cn5;Armbro Goal (us)-hills Tiara (us);;7.938;1.18.5;0a-6a-6a-6a-4a-3a
Cuadra Italoiberica;3;;;SOGNO CAPAR (IT);B. LLOBET R.;B. Llobet R.;2600;Cc4;Self Possesed(us)-imera Mp (it);;7.186;1.18.8;5a-3a-1a-4a-2a-4a
Cuadra Xisquet;4;;;BIG BIG STAR;J. C. ROTGER;F. Servera Ll.;2600;Cc4;Kannibal (fr)-magistrada Ir;;2.030;1.18.3;Da-4a-Da-0a(14)-7a-Da
Cuadra H.m.;5;DP;;BENVENGUT EDEN;M. MESTRE;M. Mestre;2600;Cc4;Eden Bridge (fr)-elga Breton Gf;;3.262;1.17.9;Da-Da-Da-0a-3a(14)-3a
2ª CARRERA;;;;Premio ASOCIACION DE ENFERMOS DE PATOLOGIAS MITOCONDRIA A las;;;;;;;;;12:55 h.
Al trote enganchado;;;;Distancia 2.600m.;PLACA LILA - NUMERO BLANCO;;Matrícula 40€;;;;;;Autostart
;;;;6500€ en premios: 2.990 al 1º, 1.496 al 2º, 844 al 3º, 456 al 4º, 390 al 5º, 324 al 6º;;;De 4 y más años internacionales hasta 25.000€;;;;;;
PROPIETARIO;Nº;;;CABALLO;CONDUCTOR;ENTRENADOR;DIST;SCE;ORIGEN;;SUMAS;R.Abs;CLASIF.
Cuadra Son Mesquida V;1;D4;;TITANIC BINIATI;J. VILLALONGA (AP);A. Frontera;2600;Ca8;Scotty Lobell (us)-moline De Padd;;10.781;1.17.1;4a-6a-2a-5a-Ra-4a
Cuadra H.m.;2;D4;;ALEGRIA;M. MESTRE;M. Mestre;2600;Ec5;Atas Nice Star L. (se)-bratts Miss;;13.568;1.16.6;Da-2a-3a-2a-0a-0a
Cuadra H.m.;3;;;TREGOR SOMOLLI (FR);J. A. HORRACH;M. Mestre;2600;Cc8;Millenium Wood (fr)-image Somol;;24.754;1.16.6;6a-6a-6a-0a-0a-1a
Hermanos Riera Riera;4;;;VATNA BOCCA (FR);M. RIERA B.;C. Riera M.;2600;Ec6;Jupiter D'opale (fr)-quatna Bonhe;;10.109;1.18.7;0a-1a-4a-5a-6a-5a
Cuadra Es Pou Florit S.l;5;D4;;AIRE DE CLISSA;M. A. BINIMELIS;M. A. Binimelis;2600;Cc5;C Super Chancen (dk)-filla De Clis;;18.580;1.16.1;3a-3a-2a-6a-0a-0a
Cuadra Paula & Neus;6;;;BUNNY;P. ESTELRICH;P. Estelrich;2600;Cc4;Dexter Tilly (se)-new Lady;;16.854;1.17.5;2a-5a-Da-1a-1a-2a
Cuadra Biel;7;DA;;ULTRA SES PLANES;A. VAQUER S.;J. Capella;2600;En7;Buvetier D'aunou (fr)-epilog Suns;;14.906;1.16.0;Da-0a-2a-Da-3a-6a
Cdra Xures;8;DP;;VIP TIRETY;J. C. ROTGER;J. C. Villalonga;2600;Cc6;S J's Photo (us)-zibelin Ac (it);;20.614;1.16.4;Da-1a-Da-3a-0a-0a
Peña Bonanza;9;;;VENT DA MAR;Mª. RIERA M. (AP);J. C. Villalonga;2600;Cc6;Strauss Or (it)-henara Negra Gs;;21.130;1.16.2;3a-5a-4a-5a-0a-6a
Cuadra Yamo-llevant;10;;;BROT DE LLEVANT;A. FRONTERA;A. Frontera;2600;Cc4;Fast Photo (us)-jaia Jp;;11.408;1.17.5;4a-Da-Da-3a-1a-2a
Cuadra Italoiberica;11;D4;;UTOPIA AB;B. LLOBET R.;B. Llobet R.;2600;Ec7;Captain Cook (us)-mannarazza;;21.581;1.14.9;1a-Da-4a-3a-6a-5a
Cuadra Xisquet;12;DA;;UFANA MISS;A. SANCHEZ;F. Servera Ll.;2600;Ec7;Suitable Rose (se)-jara Miss;;10.575;1.17.5;6a-5a-4a-0a-0a-Da
3ª CARRERA;;;;Premio ESTADIO DEPORTIVO;;;;;;;;;A las 13:30 h.
Al trote enganchado;;;;Distancia 1.800m.;PLACA BLANCA - NUMERO NEGRO;;Matrícula 40€;;;;;;Autostart
;;;;6500€ en premios: 2.990 al 1º, 1.496 al 2º, 844 al 3º, 456 al 4º, 390 al 5º, 324 al 6º;;;De 5 y más años internacionales hasta 400.000€;;;;;;
