Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12
;;;;[image];;;;;;;
;;;;Programa de Carreras -;;8 de febrero de 2015;;;;;
1ª CARRERA;;;;Premio RADIO SEVILLA;;;;;;;A las 12:20 h.
Al Trote Enganchado;;;Distancia 2.600m.;PLACA VERDE - NUMERO NEGRO;;Matrícula 40€;;;;;Autostart
;;;;6500€ en premios: 2.990 al 1º, 1.496 al 2º, 844 al 3º, 456 al 4º, 390 al 5º, 324 al 6º;;De 4 y más años internacionales hasta 10.000€;;;;;
PROPIETARIO;Nº;;CABALLO;CONDUCTOR;ENTRENADOR;DIST;SCE;ORIGEN;SUMAS;R.Abs;CLASIF.
Hermanos Moya Alema;1;;AVE CESAR;A. FRONTERA;A. Frontera;2600;Cn5;Armbro Goal (us)-hills Tiara (us);7.614;1.18.5;6a-6a-4a-3a-4a(14)-4a
Cuadra Xisquet;2;;BIG BIG STAR;J. C. ROTGER;F. Servera Ll. (ap);2600;Cc4;Kannibal (fr)-magistrada Ir;1.574;1.18.3;Da-0a(14)-7a-Da-Da-2a
Cuadra Italoiberica;3;;SOGNO CAPAR (IT);A. BROGLIA;B. Llobet R.;2600;Cc4;Self Possesed(us)-imera Mp (it);5.952;1.18.8;1a-4a-2a-4a-5a(14)-1a
Cuadra H.m.;4;DP;BENVENGUT EDEN;M. MESTRE;M. Mestre;2600;Cc4;Eden Bridge (fr)-elga Breton Gf;3.262;1.17.9;Da-Da-0a-3a(14)-3a-6a
Hermanos Riera Riera;5;;VATNA BOCCA (FR);M. RIERA B.;C. Riera M. (ap);2600;Ec6;Jupiter D'opale (fr)-quatna Bonhe;7.119;1.18.7;4a-5a-6a-5a(14)-0a-6a
Cuadra Xisquet;6;DA;UFANA MISS;G. ANDREU;F. Servera Ll. (ap);2600;Ec7;Suitable Rose (se)-jara Miss;9.861;1.17.5;4a-0a-0a-Da(14)-Da-0a
Cuadra Can Somereta;7;;TWIGGY DU PONT;A. VAQUER S.;K. D. Gust;2600;Ec8;Imperial Du Pont (fr)-jennena Rou;8.587;1.17.2;0a(14)-0a-3a-0a-1m-0a
Cuadra Una Il·lusio Neg;8;;TALISMAN HANOVER;Mª. M. CARMONA;F. Servera Ll. (ap);2600;Cc8;Eole (fr)-espiga Hanover;8.161;1.16.5;3a-Da-6a-5a(14)-Da-0a
2ª CARRERA;;;;Premio ACTIVIDADES ECUESTRES LA HERRADUR;;;;;;Alas;12:55 h.
Al Trote Enganchado;;;Distancia 2.600m.;PLACA LILA - NUMERO BLANCO;;Matrícula 40€;;;;;Autostart
;;;;6500€ en premios: 2.990 al 1º, 1.496 al 2º, 844 al 3º, 456 al 4º, 390 al 5º, 324 al 6º;;De 4 y más años internacionales hasta 20.000€;;;;;
PROPIETARIO;Nº;;CABALLO;CONDUCTOR;ENTRENADOR;DIST;SCE;ORIGEN;SUMAS;R.Abs;CLASIF.
Cuadra Yamo-llevant;1;;BROT DE LLEVANT;A. FRONTERA;A. Frontera;2600;Cc4;Fast Photo (us)-jaia Jp;10.952;1.17.5;Da-3a-1a-2a(14)-Da-3a
Cuadra Son Mesquida V;2;;TITANIC BINIATI;J. VILLALONGA (AP);A. Frontera;2600;Ca8;Scotty Lobell (us)-moline De Padd;10.001;1.17.1;2a-5a-Ra-4a-6a(14)-7a
Cuadra H.m.;3;D4;ALEGRIA;M. MESTRE;M. Mestre;2600;Ec5;Atas Nice Star L. (se)-bratts Miss;12.072;1.17.8;3a-2a-0a-0a(14)-1a-5a
Cuadra Italoiberica;4;;UTOPIA AB;A. BROGLIA;B. Llobet R.;2600;Ec7;Captain Cook (us)-mannarazza;18.591;1.14.9;4a-3a-6a-5a-2a(14)-0a
Cdra Xures;5;DP;VIP TIRETY;G. ANDREU;J. C. Villalonga;2600;Cc6;S J's Photo (us)-zibelin Ac (it);17.624;1.16.4;Da-3a-0a-0a-3a(14)-0a
Cuadra Es Pou Florit S.l;6;D4;AIRE DE CLISSA;M. A. BINIMELIS;M. A. Binimelis;2600;Cc5;C Super Chancen (dk)-filla De Clis;16.892;1.16.1;2a-6a-0a-0a-1a(14)-4a
Cuadra Paula & Neus;7;;BUNNY;J. C. ROTGER;P. Estelrich;2600;Cc4;Dexter Tilly (se)-new Lady;14.968;1.17.5;Da-1a-1a-2a-5a(14)-2a
Cuadra Biel;8;;ULTRA SES PLANES;M. RIERA B.;J. Capella;2600;En7;Buvetier D'aunou (fr)-epilog Suns;13.706;1.16.0;Da-3a-6a(14)-7a-6a-2a
Cuadra Ramat Jove S.l.;9;;ULTRA DE FONT;Mª. RIERA M. (AP);F. Vidal B.;2600;Ec7;Ata Star L. (se)-nobella Sund (se);19.369;1.16.8;6a-0a-0a-3a-2a(14)-5a
3ª CARRERA;;;;Premio THE JOCKEY (SOUTH HORSE RACING);;;;;;;Alas 13:30 h.
Al Trote Enganchado;;;Distancia 1.800m.;PLACA BLANCA - NUMERO NEGRO;;Matrícula 40€;;;;;Autostart
;;;;6500€ en premios: 2.990 al 1º, 1.496 al 2º, 844 al 3º, 456 al 4º, 390 al 5º, 324 al 6º;;De 4 y más años internacionales hasta 100.000€;;;;;
