Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;[image];Column12;Column13;Column14;Column15;Column16
;;;;;;;;;;Programa de Carreras - 15 de marzo de 2015;;;;;
;;;;;;;;;;Hipódromo de Manacor;;;;;
1ª CARRERA;;PREMIO D'URBAIN MORA;;;;;;;Ganador;Quiniela;;;Trio;A las 16:00 h.;
Al Trote Enganchado;;Distancia 2.375m.;;;PLACA BEIG - NÚMERO NEGRO;;Matrícula 35€;;;Forfait 20% del premio;;;;;Autostart
2500€ en premios: 1200 al 1º, 600 al 2º, 300 al 3º, 150 al 4º, 100 al 5º, 75 al 6º, 75 al 7º,;;;;;;.;;;;De cuatro y más años nacionales.;;;;Cambio Conductor: 18€;
PROPIETARIO;Nº;CABALLO;;He.;CONDUCTOR;ENTRENADORDIST;;SCE;ORIGEN;SUMASR. Abs.R. Dist.CLASIF.;;;;ÚLTIMA CARRERA;
Peña Bonanza;1;VENDAVAL CS;;;F. ANDREU;J. C. Villalonga;2.375;Cc6;Eole-Edda VG;4.283;1187;1.21.0;R-0 -7-7 -0-(14)3;08.03.15 -R-MN-2050-A-0- C. M. E. VISSIERE G.;
Cdra. J.M.;2;VESIADA JM;;;J. M. JUAN;J. M. Juan;2.375;Ec6;Ambassador Fortuna-Sexy Crown;4.326;1182;1.20.1;5-3-2-4-0 -(14)2;08.03.15 -5-MN-2050-A-1.20.2- J. M. JUAN;
Cdra. Veloz;3;UEP TURISTA;;;A. VAQUER S.;J. Muntaner B.;2.375;Ea7;Eros du Rocher-Espira des Bosc;4.367;1191;1.20.5;0-0-D-6-0-(14)4;08.03.15 -0-MN-2050-A-0- A. VAQUER S.;
Cdra. Santa Eulalia;4;BRANCA DES LLORER;;;J. A. RIERA;A. Frontera;2.375;Ec4;Jack the Ripper-Go Siri;4.585;1187;-;5-0-R-0 -(14)D-0;08.03.15 -5-MN-2050-A-1.19.8- J. VILLALONGA (AP);
Cdra. Sa Corbaia V.X.;5;ONCLESIM VX;;;P. M. VAQUER;P. M. Vaquer;2.375;Ca10;Itou Jim-Red Heat;4.671;1188;1.20.8;0-4-0-R-(14)D-0;22.02.15 -0-MN-2375-A-0- P. M. VAQUER;
Quadra Galmes Miquel;6;UNDITO DU SEC;;;J. NADAL M.;P. Galmes R.;2.375;Cc7;Flamboyant du Sec-Go Go Girl;4.866;1191;1.20.3;4-2-4-4-(14)6-0;22.02.15 -4-MN-2375-A-1.21.5- J. NADAL M.;
Germanes Galmés Llodrá;7;BO DE CLISSA;;;A. RIERA B.;A. Riera B.;2.375;Cn4;Eole-Filla de Clissa;5.096;1186;1.20.7;1-4-3-2-1-D;08.03.15 -1-MN-2050-A-1.18.9- A. RIERA B.;
Quadra Tomeu i Cati Eva;8;VAN GOGH;;;B. MASCARO;B. Mascaro;2.375;Cc6;Five Alarm-Brisa d'Arbos;5.177;1182;1.20.4;R-3-3-(14)2-2-3;08.02.15 -R-MN-1725-A-0- B. MASCARO;
Cdra. Colmena F.L.;9;VAN DER K;;;Jme. FLUXA;J. Munar S.;2.375;Cc6;Eros du Rocher-Colmena;5.475;1181;1.21.0;R-1-0-6-(14)D-4;08.02.15 -R-MN-1725-A-0- Jme. FLUXA;
Hnos. Vazquez P.;10;TERYLL;;;A. VAZQUEZ P.;A. Vazquez P.;2.375;Ec8;Sirgio-Beryll;5.646;1170;1.22.2;2-(14)R-R-D-5-2;08.03.15 -2-MN-2050-A-1.19.4- S. POCOVI (AP);
Cdra. Vampirolay;11;AS VENGUT SC;;;J. FLUXA;M. Fluxa S.;2.375;Cc5;Soul Driver-Tudine;5.788;1185;1.20.7;4-3 -D-1 -R-0;03.03.15 -4-SP-2650-A-1.18.8- J. FLUXA;
Peña Ca'n Biel Felip;12;VALEUNKILATE TIRETY;;DP;R. MATAS M.;R. Matas M.;2.375;Ec6;Uronometro-Claudia Leber;5.888;1186;1.20.9;6-D-5-5-0-(14)D;03.03.15 -6-SP-2650-A-1.18.8- J. A. RIERA;
Primero______Tiempo________;;Segundo______Tiempo________;;;Tercero______Tiempo________;Cuarto______Tiempo________;;;;Quinto______Tiempo________ Sexto______Tiempo_______ Séptimo______Tiempo_______;;;;;
2ª CARRERA;;PREMIO SABINA II;;;;;;;Ganador;Quiniela;;;Trio;A las 16:30 h.;
Al Trote Enganchado;;Distancia;2.375m.;;PLACA VERDE - NÚMERO NEGRO;;Matrícula 35€;;;Forfait 20% del premio;;;;;Autostart
2500€ en premios: 1200 al 1º, 600 al 2º, 300 al 3º, 150 al 4º, 100 al 5º, 75 al 6º, 75 al 7º,;;;;;;.;;;;De cuatro y más años nacionales.;;;;Cambio Conductor: 18€;
PROPIETARIO;Nº;CABALLO;;He.;CONDUCTOR;ENTRENADORDIST;;SCE;ORIGEN;SUMASR. Abs.R. Dist.CLASIF.;;;;ÚLTIMA CARRERA;
Cdra. Biniati;1;VINABEL BINIATI;;D4;D. FERNANDEZ;I. Vinent;2.375;Ec6;Valley Mist-Labell Biniati;7.428;1167;-;0-0-3-0-1-4;01.03.15 -0-TR-2100-A-0- I. VINENT;
F. Llull A.;2;SPEZIA;;;Mª. RIERA M. (AP);J. Adrover M.;2.375;Ec9;Amadeus OM-Divina Ley;7.575;1176;1.19.8;1-1-0-4-(14)3-5;08.03.15 -1-MN-2050-A-1.18.7- Mª. RIERA M. (AP);
Cdra. Veloz;3;VIA CONTRARI;;;M. RIERA B.;J. Muntaner B.;2.375;Ec6;Gros Grain-Espira des Bosc;7.685;1172;1.20.0;0-(13)0-2-6-4-6;27.02.15 -0-SP-2150-A-0- M. RIERA B.;
Hnas. Roig B.;4;VITESSE ROAD;;;F. ANDREU;G. Roig;2.375;Cc6;Brandy dei Fiori-Genova;8.046;1181;1.18.4;0-4-6-0-1-(14)0;11.02.15 -0-SP-2150-A-0- G. ANDREU;
Cdra. Ca´n Pou S.L.;5;TURQUESA BIRD;;;G. MASCARO P.;J. Vich;2.375;Ec8;Emil Somolli-Hortalana Bird;8.117;1163;1.19.2;5-5 -0-6-(14)0-0;27.02.15 -5-SP-2150-A-1.18.7- J. VICH;
Peña Grimalt-Fullana;6;UN DE PHOTO GV;;;A. RIERA B.;R. Rigo Ll.;2.375;Ca7;S J'S Photo-Felicita;8.657;1182;1.20.1;D-D-R-D-6-D;08.03.15 -D-MN-2050-A-0- B. SALAS;
