Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;[image];Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25
;;;;;;;;;;;;;;;Programa de Carreras - 16 de mayo de 2015;;;;;;;;;
;;;;;;;;;;;;;;;Hipódromo de Son Pardo i Manacor;;;;;;;;;
1ª CARRERA;;;;;Premio BOREE - NOT CABANE;;;;;;;;;;Ganador;;;;Quiniela;;;Trio;;A las 16:00
Al Trote Enganchado;;;;;Distancia 2.150m.;;;PLACA BEIG - NUMERO NEGRO;;;;;;;Matrícula 15€;;;;Forfait % del premio;;;Cambio Conductor 18€;;Autostart
;;;;;1500€ en premios: 706 al 1º, 344 al 2º, 180 al 3º, 90 al 4º, 76 al 5º, 60 al 6º, 44 al 7º;;;;;;;;;;De 3 y más años internacionales, de 0 / 199.999'99€.;;;;;;;;;
PROPIETARIO;;Nº;;;CABALLO;;He.;CONDUCTOR;;;ENTRENADORDIST;;;SCE;ORIGEN;;;;SUMASR.Abs;;R.Dist;CLASIF.;;ULTIMA CARRERA
Cuadra Guasch;;;1;;RECITAL DE LARRE (FR);;;P. GUASCH C.;;;P. Guasch C.;;;2150 Cc10;Capriccio (fr)-Ellamika (fr);;;;112.181;1.14.6;1.17.9;6-5-0-6-0-0;;10.05.15-6-SP-2150-A-1.17.9-P. GUASCH C.
Cuadra Es Coscoia;;;2;;PERFEKT (SE);;;J. C. ROTGER;;;P. Estelrich;;;2150 Cc8;Rite On Line (se)-Nevella (se);;;;117.280;1.12.6;1.17.6;D-0-0-R-7-0;;10.05.15-D-SP-2150-A-0-F. POURREAU
Mateo Cabanellas Cerda;;;3;;STAR DE BOUGY (FR);;;M. CABANELLAS C.;;;M. Cabanellas C.;;;2150 Ec9;Laetenter Diem (fr)-My Girl De Bougy (;;;;118.440;1.14.1;;R-0;;03.03.15-R-SP-2650-A-0-C. CRUELLAS
Cuadra Can Nequs;;;4;;ORPHEE D'IDOLE (FR);;;M. JUAN O.;;;G. Mascaro P.;;;2150 Cc13;Bolide D'odyssee (fr)-Floriane Pallas (f;;;r;119.460;1.15.8;1.15.8;0-4-2-4-2-5;;19.04.15-0-MN-2375-A-0-J. VILLALONGA
Peña Alexis Mt;;;5;;PACO DES CHAMPS (FR);;;M. A. COLL;;;M. A. Coll;;;2150 Cn12;Flash De Cosse (fr)-Ebene Des Cham;;p;;120.473;1.14.8;1.15.5;0-0-0-0-0-4;;10.05.15-0-SP-2150-A-0-B. TOUS
Cuadra Piscines;;;6;;SOMEBODY DE NAPPES (FR);;;J. MASCARO P.;;;J. Mascaro P.;;;2150 Cc9;Latinus (fr)-Elite Castelets (fr);;;;122.525;1.14.0;1.18.2;7-R-D-0-0(14)-D;;08.03.15-7-MN-2050-A-1.18.5-J. MASCARO P.
Cuadra H.m.;;;7;;RIALTO BLANC (FR);;;M. MESTRE;;;M. Mestre;;;2150 Ca10;Look De Star (fr)-Ellen Blanche (fr);;;;124.199;1.12.9;1.17.9;0-D-0-0-3-2;;10.05.15-0-SP-2150-A-0-A. POU H.
Peña Volkswagen Manacor;;;8;;PIRATE DE VALMOR (FR);;;G. RIERA;;;Mª. F. Sureda;;;2150 Cc12;Full Account (fr)-Anna De Beauregard;;;(;124.588;1.14.9;1.15.7;7-0-6-6-5-0;;10.05.15-7-SP-2150-A-1.18.0-G. RIERA
Peña Bonanza;;;9;;QUATRAIN (FR);;;G. ANDREU;;;J. C. Villalonga;;;2150 Cc11;Ganymede (fr)-Ironie Jet (fr);;;;138.570;1.12.8;1.16.9;6-6-0(14)-R-1-2;;10.05.15-6-SP-2150-A-1.16.9-G. ANDREU
Cuadra Lorette;;;10;;RIVAGE D'OLERON (FR);;;A. RIERA B.;;;A. Riera B.;;;2150 Cc10;Flash De Cosse (fr)-Harmina Valadour;;;;140.570;1.14.7;;;Debutante;
Peña Bar Vistamar Ii;;;11;;QUARTZ D'HOUSSAYE (FR);;D4;A. FRONTERA;;;A. Frontera;;;2150 Cn11;Gerbo Lets (fr)-Key River (fr);;;;143.142;1.15.6;1.15.6;D-4-0-5-D-3;;09.05.15-D-MN-2375-A-0-A. FRONTERA
