Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;[image];Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23
;;;;;;;;;;;;;Programa de Carreras - 23 de mayo de 2015;;;;;;;;;
;;;;;;;;;;;;;Hipódromo de Son Pardo i Manacor;;;;;;;;;
1ª CARRERA;;;;;Premio ZETA;;;;;;;;Ganador;;;;;Quiniela;;;Trio;A las 16:00
Al Trote Enganchado;;;;;Distancia 2.050m.;;;;;;;;Matrícula 35€;;;;;Forfait % del premio;;;Cambio Conductor 18€;Autostart
;;;;;2500€ en premios: 1.200 al 1º, 600 al 2º, 300 al 3º, 150 al 4º, 100 al 5º, 75 al 6º, 75 al 7º;;;;;;;;De 4 y más años, nacionales de 700 / 2.999,99 €.;;;;;;;;;
PROPIETARIO;;;Nº;;CABALLO;;He.;CONDUCTOR;;;;ENTRENADORDISTSCE;ORIGEN;;;;SUMAS;;R.Abs;R.Dist;CLASIF.;ULTIMA CARRERA
Quadres Valls Rullan, S.l.;;;;1;BLACK ALONE;;D4;A. VALLS;;A. Valls;;2050 Cc4;Magistral-Just Alone (nl);;;;;1.476;1.18.9;1.21.1;1-3-2-0(14)-5-5;09.05.15-1-MN-1725-A-1.20.2-A. VALLS
Cuadra Sa Plaça;;;;2;ALWAYS YOU M;;DP;F. ANDREU;;T. Serra M.;;2050 Cc5;Never More (fr)-Lina Scot M;;;;;1.486;1.17.9;1.23.0;D-2(14)-D-D-1-6;16.05.15-D-SP-2150-A-0-A. VALLS
Cuadra Landaburu;;;;3;ARMANI;;;J. NADAL M.;;J. Nadal M.;;2050 Cc5;Jivibo-Juliet Br;;;;;1.676;1.21.3;1.21.5;5-4-D-5(14)-D-3;09.05.15-5-MN-1725-A-1.21.3-J. NADAL M.
Peña De Ley;;;;4;BELLE DE JOVE;;DA;Jme. FLUXA;;M. Fluxa S.;;2050 Ec4;C Super Chancen (dk)-Divina Ley;;;;;1.731;1.18.3;1.18.3;1-D-3-3-5-1;17.05.15-1-SP-2150-A-1.20.9-Jme. FLUXA
Agustin Rosello Gomila;;;;5;BE TE AR;;;A. VAQUER S.;;M. Riera B.;;2050 Cn4;Amadeus Om (it)-Vonita;;;;;1.887;1.18.3;1.20.4;5-6-7-D-3-D;16.05.15-5-SP-2150-A-1.20.8-M. RIERA B.
Cuadra Finca Son Morey;;;;6;ANACONDA;;;J. CLOQUELL F.;;J. Cloquell F.;;2050 Ec5;Suitable Rose (se)-Fashion Lady;;;;;2.018;1.18.9;1.21.3;4-0-2-7-4-3;09.05.15-4-MN-1725-A-1.21.1-J. CLOQUELL F.
Cuadra Rigo Ll;;;;7;BENVENGUT SPA;;;J. RIGO LL. (AP);;J. Rigo Ll.;;2050 Cc4;Musigny Degato (se)-Estela Negra Gs;;;;;2.239;1.19.6;1.19.6;D-1-6-1-0-7;09.05.15-D-MN-1725-A-0-J. RIGO LL.
Cuadra Sa Marina Slu;;;;8;BENUS TARTIFUME JS;;;G. ANDREU;;F. J. Sagrera R.;;2050 Ec4;Hioco De Tartifume (fr)-Osir;;;;;2.495;1.18.4;1.20.1;4-5-5-4-7-4;16.05.15-4-SP-2150-A-1.20.1-G. RIERA
Cuadras Sas - Cafe 1990;;;;9;BONNIE SAS;;;M. MATAMALAS;;M. Matamalas;;2050 Ec4;Idjet Mab (fr)-Torina Sas;;;;;2.532;1.19.7;1.19.7;0-0-2-3-0-0;10.05.15-0-SP-2150-A-0-M. MATAMALAS
Binimelis Garcias Sl;;;;10;BROK;;DP;M. A. BINIMELIS;;M. A. Binimelis;;2050 Cc4;Lodbrok H.h.-Artarita Plu;;;;;2.732;1.18.2;1.18.2;1-D-D-4-D-3;16.05.15-1-SP-2150-A-1.18.8-M. A. BINIMELIS
Cuadra C'an Pou, S.l.;;;;11;AMANDA BIRD;;;U. WIELAND;;G. Mascaro P.;;2050 Ec5;Emil Somolli (se)-Daixa Bird;;;;;2.934;1.18.9;1.20.6;5-4-4-6-7-5;17.05.15-5-SP-2150-A-1.18.9-U. WIELAND
Cuadra Ca'n Prim;;;;12;ANUC BINIATI;;;A. RIERA B.;;A. Riera B.;;2050 Ec5;Valley Mist (us)-Corki B;;;;;2.941;1.19.2;1.19.2;6-0-0-D-D-D;17.05.15-6-SP-2150-A-1.19.2-A. RIERA B.
1________;Tiempo_________;;;;2________;Tiempo_________;3________;Tiempo_________;4________;Tiempo_________;5________;;Tiempo_________;6________;Tiempo_________;;;7________;;;Tiempo_________;
2ª CARRERA;;;;;Premio VIKINGO;;;;;;;;Ganador;;;;;Quiniela;;;Trio;A las 16:25
Al Trote Enganchado;;;;;Distancia 2.050m.;;;;;;;;Matrícula 35€;;;;;Forfait % del premio;;;Cambio Conductor 18€;Autostart
;;;;;2500€ en premios: 1.200 al 1º, 600 al 2º, 300 al 3º, 150 al 4º, 100 al 5º, 75 al 6º, 75 al 7º;;;;;;;;De 4 y más años, nacionales de 3.000 / 6.999,99 €.;;;;;;;;;
PROPIETARIO;;;Nº;;CABALLO;;He.;CONDUCTOR;;;;ENTRENADORDISTSCE;ORIGEN;;;;SUMAS;;R.Abs;R.Dist;CLASIF.;ULTIMA CARRERA
Cuadra Veloz;;;;1;UEP TURISTA;;;A. VAQUER S.;;M. Riera B.;;2050 Ea7;Eros Du Rocher (fr)-Espira Des Bosc;;;;;4.645;1.19.1;1.19.1;5-0-4-0-0-0;09.05.15-5-MN-1725-A-1.19.1-A. VAQUER S.
Cuadra Xisquet;;;;2;BIG BIG STAR;;;F. SERVERA Ll.;;F. Servera Ll.;;2050 Cc4;Kannibal (fr)-Magistrada Ir;;;;;4.970;1.18.0;1.19.4;1-1-0-2-D-3;17.05.15-1-SP-2150-A-1.19.1-F. SERVERA Ll.
Juan Manuel Cuadros Per;;e;;3;BRAD PITT SB;;;A. FRONTERA;;A. Frontera;;2050 Cc4;Never More (fr)-Amazzonia Ambrosio (;;;;;5.661;1.18.2;1.19.7;D-2-7-2-0-D;16.05.15-D-SP-2150-A-0-A. FRONTERA
Margarita Riera Fullana;;;;4;BRANGELINA D'ESCAFI;;;B. LLOBET R.;;B. Llobet R.;;2050 Ec4;Yankee Slide (us)-Cuna D'escafi;;;;;5.760;1.18.1;1.18.1;0-5-0-0-0-3;10.05.15-0-SP-2150-A-0-B. LLOBET
