ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_15-11-2015;ARGUERO;1;2 años;57;V.JANACEK;ROCIO;G.ARIZKORRETA;3;Hipódromo LA ZARZUELA;1500;HIERBA
1_15-11-2015;DESTINO CANARIAS;2;2 años;57;B.FAYOS;GRUPO BOLAÑOS GRAN CANARIA;A.REMOLINA;2;Hipódromo LA ZARZUELA;1500;HIERBA
1_15-11-2015;GARMAR;3;2 años;57;J.L.MARTINEZ;JAYJO;F.PEREZ;1;Hipódromo LA ZARZUELA;1500;HIERBA
1_15-11-2015;PLACIDO (IRE);99;2 años;57;I.BORREGO;YEGUADA AGF;G.ARIZKORRETA;4;Hipódromo LA ZARZUELA;1500;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_15-11-2015;AMARA;7;2 años;56;I.BORREGO;CENTRO;M.A.MARIN;4;Hipódromo LA ZARZUELA;1500;HIERBA
2_15-11-2015;DEBIRA;6;2 años;56;S.SAADI;LINDA KREJCOVA;E.LEON;5;Hipódromo LA ZARZUELA;1500;HIERBA
2_15-11-2015;GENESSEE;3;2 años;56;J.L.MARTINEZ;REZA PAZOOKI;F.RODRIGUEZ;1;Hipódromo LA ZARZUELA;1500;HIERBA
2_15-11-2015;LABAREDA;8;2 años;56;R.SOUSA;BRUNO MIGUEZ;B.RECIO;7;Hipódromo LA ZARZUELA;1500;HIERBA
2_15-11-2015;NOCTALIA (FR);2;2 años;56;V.JANACEK;CLAVILEÑO;G.ARIZKORRETA;6;Hipódromo LA ZARZUELA;1500;HIERBA
2_15-11-2015;PEPA STAR;4;2 años;56;A.GOMEZ;LAC INTERNACIONAL;J.LOPEZ;8;Hipódromo LA ZARZUELA;1500;HIERBA
2_15-11-2015;XIUNI;1;2 años;56;J.GROSJEAN;SANTA ANA;A.IMAZ C.;3;Hipódromo LA ZARZUELA;1500;HIERBA
2_15-11-2015;YUNQUERA;5;2 años;56;J.L.BORREGO;ODISEA;A.CARRASCO;2;Hipódromo LA ZARZUELA;1500;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3_15-11-2015;TIO LUIS (IRE);3;5 años;62;B.FAYOS;SAN JULIO;J.L.MAROTO;6;Hipódromo LA ZARZUELA;1600;HIERBA
3_15-11-2015;WAD VISON;4;5 años;61;V.JANACEK;PALOMARES;J.A.RODRIGUEZ;4;Hipódromo LA ZARZUELA;1600;HIERBA
3_15-11-2015;LINCE (GB);2;8 años;60;R.SOUSA;ADELAI;F.RODRIGUEZ;1;Hipódromo LA ZARZUELA;1600;HIERBA
3_15-11-2015;OREGON;9;4 años;59;J.L.BORREGO;YEGUADA CORTIÑAL;J.A.RODRIGUEZ;3;Hipódromo LA ZARZUELA;1600;HIERBA
3_15-11-2015;PORTOBELO (FR);1;3 años;59;J.L.MARTINEZ;HABIT;C.FERNANDEZ;7;Hipódromo LA ZARZUELA;1600;HIERBA
3_15-11-2015;MITRA;8;5 años;56;N.DE JULIAN;MAGICA;M.AUGELLI;2;Hipódromo LA ZARZUELA;1600;HIERBA
3_15-11-2015;TAPON DE ORO;6;4 años;56;M.GOMES;ZURRAQUIN;M.HERNANDEZ;9;Hipódromo LA ZARZUELA;1600;HIERBA
3_15-11-2015;BARONESA VOLADORA;5;4 años;51;A.GOMEZ (51,5);ODISEA;A.CARRASCO;8;Hipódromo LA ZARZUELA;1600;HIERBA
3_15-11-2015;TARA CANARIAS;7;3 años;51;E.ARGUINZONES (51,5);GRUPO BOLAÑOS GRAN CANARIA;A.REMOLINA;5;Hipódromo LA ZARZUELA;1600;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_15-11-2015;MR ALADAN (IRE);2;3 años;58,5;N.DE JULIAN (57);LAS ANGELES;A.NUÑEZ;2;Hipódromo LA ZARZUELA;2200;HIERBA
4_15-11-2015;ARNULFO;6;3 años;57;V.JANACEK;ATERPE;G.ARIZKORRETA;9;Hipódromo LA ZARZUELA;2200;HIERBA
4_15-11-2015;CANCILLER (IRE);9;3 años;57;J.GROSJEAN (B.Blanca);ATERPE;G.ARIZKORRETA;7;Hipódromo LA ZARZUELA;2200;HIERBA
4_15-11-2015;MASCARADO (FR);1;3 años;57;J.L.MARTINEZ;JARILLA;F.PEREZ;1;Hipódromo LA ZARZUELA;2200;HIERBA
4_15-11-2015;RECLUTADO;4;3 años;57;A.GOMEZ;IL PADRINO;J.LOPEZ;6;Hipódromo LA ZARZUELA;2200;HIERBA
4_15-11-2015;SONAJAS;7;3 años;57;M.GOMES;ZURRAQUIN;M.HERNANDEZ;8;Hipódromo LA ZARZUELA;2200;HIERBA
4_15-11-2015;YERMO (IRE);3;3 años;57;B.FAYOS;ZURBANO;J.LOPEZ;10;Hipódromo LA ZARZUELA;2200;HIERBA
4_15-11-2015;CLAUDIA (IRE);8;3 años;55,5;R.SOUSA;USSIA-FIGUEROA;F.RODRIGUEZ;4;Hipódromo LA ZARZUELA;2200;HIERBA
4_15-11-2015;MELIBEA (GB);10;3 años;55,5;A.J.GRATEROL;DUQUE DE ALBURQUERQUE;J.M.OSORIO;5;Hipódromo LA ZARZUELA;2200;HIERBA
4_15-11-2015;ONDINA (FR);5;3 años;55,5;J.GELABERT (53);YEGUADA AGF;G.ARIZKORRETA;3;Hipódromo LA ZARZUELA;2200;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
5_15-11-2015;FALKIRK (IRE);4;4 años;58;R.HUAYAS;LAS ANGELES;A.NUÑEZ;6;Hipódromo LA ZARZUELA;2000;HIERBA
