ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
1_05-11-2015;MAWALA;1;3;59;V. JANACEK;USSIA-FIGUEROA;G. ARIZKORRETA;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;ARENA
1_05-11-2015;WILD RANGER (IRE);2;3;58;B. FAYOS;JIMENA;B. RAMA;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;ARENA
1_05-11-2015;CAIROTA (FR);5;3;54;A. GOMEZ;ENALTO;B. RAMA;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;ARENA
1_05-11-2015;ONDINA (FR);3;3;54;N. DE JULIAN (53);AGF;G. ARIZKORRETA;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;ARENA
1_05-11-2015;SCHEME OF THE MOON (FR);6;3;54;M. GOMES;QUINTA SANTA JUSTA;C. VIDINHA;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;ARENA
1_05-11-2015;SISTER WULFSTAN (IRE);4;3;54;A.J. GRATEROL (54,5);LAS AGUILAS;E. IVANOVA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;ARENA
1_05-11-2015;STORMY RED (FR);7;3;54;A.G. DELGADO (55);CELSO MENDEZ;M. ALVAREZ;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;ARENA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
2_05-11-2015;EL AFRICANO;2;8;62;N. DE JULIAN (61);LAS AGUILAS;E. IVANOVA;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
2_05-11-2015;DEAUVILLE AZUL (GB);4;5;60,5;V. JANACEK;ANTONIO CORTES;M. ÁLVAREZ;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
2_05-11-2015;KUBOKI (FR);5;4;59,5;J.J. SALGUERO;HELIZABEL;J. SALGUERO;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
2_05-11-2015;THE LAST ONE;3;4;59;R. SOUSA;AGRO CARVALHO;I. MENDES;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
2_05-11-2015;RANLOCO;99;5;54;C.A. LOAIZA;JOLAM;O. ANAYA;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
2_05-11-2015;CIUDADANO KANE;1;5;53;M. GOMES;TURF LE GARE;J. LOPEZ;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
3_05-11-2015;FINLEY CONNOLY (IRE);99;5;64,5;SR. MELGAREJO. I (63);JEPE;M. ÁLVAREZ;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
3_05-11-2015;EL SHERIFF (IRE);8;5;63;N. DE JULIAN (62);CELV;I. MENDES;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
3_05-11-2015;NAFAR (GER);2;7;60;M. GOMES;SILVER;I. MENDES;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
3_05-11-2015;DION CASIO;6;3;57;B. FAYOS;DUQUE DE ALBURQUERQUE;J. M. OSORIO;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
3_05-11-2015;ARGOS;4;5;56,5;V. JANACEK;BARREIROS;D. DEL BARRIO;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
3_05-11-2015;CAPEARTH (IRE);7;5;56;C.A. LOAIZA;EL SABLE;E. PUENTE;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
3_05-11-2015;GARAJONAY (FR);3;6;56;E.J. ARGUINZONES (B. ROJA);EL SABLE;E. PUENTE;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
3_05-11-2015;HAIL PROMENADER (IRE);1;9;56;A.J. GRATEROL;LAS AGUILAS;E. IVANOVA;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
3_05-11-2015;WINKL SIDE;5;5;56;A. GOMEZ;HISPANICA;O. ANAYA;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
4_05-11-2015;DUBROVNIK;1;5;62;A.J. GRATEROL;YEGUADA LAS CUEVAS;J. CALDERON;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
