ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
1_22-10-2015;OBOE;2;3;62;V. JANACEK;POPULAR;G. ARIZKORRETA;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1900;ARENA
1_22-10-2015;THABAZINBI;4;3;57;R. SOUSA;USSIA FIGUEROA;F. RODRIGUEZ;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1900;ARENA
1_22-10-2015;JELES SPIRIT;99;3;56;A. GOMEZ;RIO CUBAS;O. ANAYA;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1900;ARENA
1_22-10-2015;WILD RANGER (IRE);1;3;56;B. FAYOS;JIMENA;B. RAMA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1900;ARENA
1_22-10-2015;SCHEME OF THE MOON (FR);5;3;54,5;M. GOMES;QUINTA SANTA JUSTA;C. VIDINHA;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1900;ARENA
1_22-10-2015;SISTER WULFSTAN (IRE);3;3;54,5;A. J. GRATEROL;LAS AGUILAS;E. IVANOVA;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1900;ARENA
1_22-10-2015;ARADIA DES MOTTES (FR);6;3;54,5;SR. MELGAREJO I (55) (B.ROJA);QUINTA SANTA JUSTA;C. VIDINHA;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1900;ARENA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
2_22-10-2015;COLLIO SIDE;99;5;66;SR. SARABIA. D (64);RIO CUBAS;O. ANAYA;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
2_22-10-2015;WAD VISON;2;5;65;SR. CARMENA. M;PALOMARES;J.A. RODRIGUEZ;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
2_22-10-2015;OREGON;1;4;64;SR. PINEDA. G;YEGUADA CORTIÑAL;J.A. RODRIGUEZ;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
2_22-10-2015;DAGOBERTO;4;5;63;SR. HERMOSILLA. A,(61);NANINA;J. CALDERON;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
2_22-10-2015;BIPOLAR;3;7;58,5;SR. MELGAREJO I (56,5);BEST OF CAFÉ;I. MENDES;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
2_22-10-2015;CHARADA;5;3;57,5;SRTA. ALONSO. B (55,5);ENALTO;J. LOPEZ;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;ARENA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
3_22-10-2015;WINDSOR BUOY (IRE);1;4;62;B. FAYOS;HEWSUE;P. HALEY;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;ARENA
3_22-10-2015;RICKY ROCK (IRE);3;6;59;A. J. GRATEROL;EL SABLE;E. PUENTE;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;ARENA
3_22-10-2015;ULICY MAKER (FR);4;7;58;M. GOMEZ;QUINTA SANTA JUSTA;C. VIDINHA;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;ARENA
3_22-10-2015;MUNGAMIS (GB);2;4;57,5;V. JANACEK;JIMENA;B. RAMA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;ARENA
3_22-10-2015;WATERVILLE (FR);5;4;55,5;R.SOUSA;STAND CARMO;I. MENDES;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;ARENA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
4_22-10-2015;AL TROPICAL;2;5;62;B. FAYOS;PALOMARES;J.A. RODRIGUEZ;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;ARENA
4_22-10-2015;SIR PEPO;7;5;62;A. GOMEZ;SOÑADOR;J. SALGUERO;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;ARENA
4_22-10-2015;CARROUSEL;11;5;61;SR. SALGUERO. C. M.(59,5);VIENTOS DEL SUR;J. SALGUERO;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;ARENA
4_22-10-2015;BLACKBERRY BOY (IRE);4;11;60;G. MADERO;SUNSHINE RACING;P. HALEY;10;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;ARENA
4_22-10-2015;HONG KONG BOY (FR);1;9;59;M. GOMES;QUINTA SANTA JUSTA;C. VIDINHA;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;ARENA
4_22-10-2015;TUBAL (GB);9;5;58,5;R.SOUSA;YEGUADA BALBAS ALONSO;E. PUENTE;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;ARENA
4_22-10-2015;VICARAGE (IRE);5;3;58,5;A. J. GRATEROL;LAS AGUILAS;E. IVANOVA;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;ARENA
4_22-10-2015;DALAN REY (IRE);10;4;57;J.J. SALGUERO;EL SABLE;E. PUENTE;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;ARENA
4_22-10-2015;AIL NEUK;8;4;54;A. G. DELGADO (B. ROJA);EL SABLE;E. PUENTE;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;ARENA
4_22-10-2015;SIR ALFIL;3;6;53;V.JANACEK (55);AJEDREZ RACING;B. RAMA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;ARENA
4_22-10-2015;ASTURIA (GER);6;3;52;C. A. LOAIZA;NEO;M. ALVAREZ;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;2200;ARENA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
5_22-10-2015;ACAMANTE (FR);1;5;60;A. J. GRATEROL;DUQUE DE ALBURQUERQUE;J.M. OSORIO;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1300;ARENA
5_22-10-2015;CAPTAIN MOONLITE (IRE);2;4;58;B. FAYOS;JIMENA;B. RAMA;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1300;ARENA
5_22-10-2015;INNUENDO (FR);99;4;56;R. SOUSA;BEST OF CAFÉ;I. MENDES;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1300;ARENA
5_22-10-2015;MAJESTIC DREAM (FR);5;6;56;H. PEREIRA;OS COISAS DOCES;H. PEREIRA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1300;ARENA
5_22-10-2015;NAFAR (GER);3;7;56;M. GOMES;SILVER;I. MENDES;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1300;ARENA
5_22-10-2015;SMOKIE JOE (IRE);4;7;56;A. GOMEZ;LAS AGUILAS;E. IVANOVA;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1300;ARENA
5_22-10-2015;YES WE COULD (FR);6;8;56;P. OLIVEIRA (B. ROJA);BEST OF CAFÉ;I. MENDES;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1300;ARENA
