ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
1_18-12-2016;ULTIMO MESTER;1;3;60;E.J. ARGUINZONES;KEMENG, C.D.E.;T. MARTINS;5;Gran Hipódromo de Andalucia Javier Piñar Hafner;2100;HIERBA
1_18-12-2016;MIRMIDON;3;3;57;B. FAYOS;YEGUADA ILIBERIS;J. LOPEZ;6;Gran Hipódromo de Andalucia Javier Piñar Hafner;2100;HIERBA
1_18-12-2016;DESTINO CANARIAS;2;3;56;R. SOUSA;E. PEREZ GUZMAN;J.A. RODRIGUEZ;1;Gran Hipódromo de Andalucia Javier Piñar Hafner;2100;HIERBA
1_18-12-2016;ACORAZADO POTEMKIN;5;3;55;SRTA. ALONSO, B.(52,5);L. Y J.A. ALONSO;J. LOPEZ;2;Gran Hipódromo de Andalucia Javier Piñar Hafner;2100;HIERBA
1_18-12-2016;SIDON;4;3;55;J. GELABERT;ROYAL GAIT;J.A. RODRIGUEZ;4;Gran Hipódromo de Andalucia Javier Piñar Hafner;2100;HIERBA
1_18-12-2016;DYELMAR;6;3;53,5;N. DE JULIAN;SILVER;D. TEIXEIRA;3;Gran Hipódromo de Andalucia Javier Piñar Hafner;2100;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;PESO;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
2_18-12-2016;PILIN;2;3;62;B. FAYOS;BUELNA EQUII;R.H. HUAYAS;4;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
2_18-12-2016;WRAMS PANDORA (SWE);5;6;61,5;J.E. JARCOVSKY;IVAN LOPEZ RACING;I. LOPEZ;9;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
2_18-12-2016;GODOFREDO (FR);3;3;61;C.A. LOAIZA;NANINA;J. CALDERON;5;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
2_18-12-2016;SCHEME OF THE MOON (FR);1;4;60;M. GOMES;QUINTA SANTA JUSTA MAIA;C. VIDINHA;3;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
2_18-12-2016;IRAIZOTZ;7;9;58,5;R. SOUSA;FERNANDO FERREIRA;C. VIDINHA;2;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
2_18-12-2016;SKI FRANQUE (FR);99;10;57,5;H. OLIVEIRA (58,5) (G. ROJA);QUINTA SANTA JUSTA MAIA;C. VIDINHA;8;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
2_18-12-2016;GOLDING BOY (FR);4;6;55,5;A. GOMEZ;HELPING HAND REAL ESTATE;G. RODRIGUEZ;1;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
2_18-12-2016;BALLAD OF MULAN (IRE);6;3;54;SRTA. GELABERT, L. (52);GREILET;A. SANCHEZ C.;6;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
2_18-12-2016;MAKAAMEN (GB);8;10;51;J. GELABERT;EACHWAY;A. SANCHEZ C.;7;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;PESO;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
3_18-12-2016;HEAD FOR WAR (FR);7;4;62;J.J. SALGUERO;LOS NIÑOS;J. SALGUERO;2;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
3_18-12-2016;SINGATOBA (FR);3;5;61,5;V. JANACEK;C.E.LOUREIRO VELHO;I. MENDES;3;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
3_18-12-2016;CANFORD CROSSING (IRE);1;3;61,5;J.L. MARTINEZ (G. ROJA);LOS NIÑOS;J. SALGUERO;6;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
3_18-12-2016;TALENTUM (GB);8;4;61;B. FAYOS;NANINA;J. CALDERON;10;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
3_18-12-2016;THE LAST ONE;2;5;59,5;R. SOUSA;AGRO CARVALHO;I. MENDES;5;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
3_18-12-2016;ASTURIA (GER);4;4;59,5;M. GOMES;AIRES DE DOÑANA;G. RODRIGUEZ;4;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
3_18-12-2016;FRANCESCOLI;5;3;59,5;E.J. ARGUINZONES;CIELO DE MADRID;J.A. RODRIGUEZ;9;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
3_18-12-2016;PERSIAN PINK;6;4;59,5;SR. SALGUERO, C.M. (57,5);YANKEE RACING;J. SALGUERO;1;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
3_18-12-2016;ALABARDA;10;6;59;J. GELABERT;IL PADRINO;J. LOPEZ;7;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
3_18-12-2016;ED STAR;9;3;58,5;M.A. NARVAEZ;VIUDA DE GERONIMO DE ANGULO;G. RODRIGUEZ;8;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
4_18-12-2016;DAGOBERTO;4;6;66;V. JANACEK;NANINA;J. CALDERON;8;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
4_18-12-2016;WAD VISON;2;6;66;B. FAYOS;PALOMARES;J.A. RODRIGUEZ;12;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
4_18-12-2016;MAN OF TIME (IRE);99;3;63;J.E. JARCOVSKY;SOÑADOR;I. LOPEZ;2;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
4_18-12-2016;FARAMOND;10;4;56;C.A. LOAIZA (G. ROJA);NANINA;J. CALDERON;7;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
4_18-12-2016;JOAQUINA;8;6;55;R. SOUSA;INDIA;F. RODRIGUEZ;9;Gran Hipódromo de Andalucia Javier Piñar Hafner;1600;HIERBA
