Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;[image];Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20
;;;;;;;;;Programa de Carreras - 10 de febrero de 2016;;;;;;;;;;
;;;;;;;;;Hipódromo Son Pardo;;;;;;;;;;
1ª CARRERA;;;;Premi SALON DE PROVENCE (PREMIUM);;;;;Ganador;;;;Quiniela;;;Trio;;A las 18:10;
;;;;;;;;;TROTADOR FRANCES;;;;;;;;;;
Al Trote Enganchado;;;;Distancia 2.150m.;;PLACA AZUL - NUMERO BLANCO;;;Matrícula 35€;;;;Forfait % del premio;;;Cambio Conductor 18€;;;Autostart
;;;;5000€ en premios: 2.350 al 1º, 1.200 al 2º, 650 al 3º, 350 al 4º, 200 al 5º, 150 al 6º, 100 al 7º;;;;;De 3 y más años inscritos en el Stud Book trotador francés de 40.000 / 99.999,99€;;;;;;;;;;
PROPIETARIO;;Nº;;CABALLO;He.;CONDUCTOR;ENTRENADORDIST;SCE;ORIGEN;;;;SUMASR.Abs;;R.Dist;CLASIF.;;ULTIMA CARRERA;
Catalina Mesquida Barrera;;;1;UNTOUCHABLE AMOUR (FR);;J. PASTOR;J. Pastor;2150 Cc8;Goetmals Wood (fr)-Amour D'aunou (f;;;;84.520;1141;;D-0(15)-D;;27.01.16-D-SP-2650-A-0-J. PASTOR;
Cuadra Balear;;;2;URANIE DU VAL (FR);;S. CONTESTI;A. Puig R.;2150 Ec8;Islero De Bellouet (fr)-Melody Du Val (;;;;65.970;1155;1.19.1;0-0(15)-D-D-7;;13.01.16-0-SP-2650-A-0-S. CONTESTI;
Cuadra Toni I Joan;;;3;REFLET D'OR (FR);;J. A. RIERA;A. Janer R.;2150 Cc11;Tenor De Baune (fr)-Kerna Du Vivier (f;;;;67.403;1163;1.16.9;3-3(15)-3-2-3-1;;27.01.16-3-SP-2650-A-1.17.1-A. FRONTERA;
Cuadra Ca'n Prim;;;4;TARAK DES ERABLAIS (FR);;A. RIERA B.;A. Riera B.;2150 Cc9;Fanacland (fr)-Aquatile (fr);;;;60.590;1161;;;Debutante;;
Gabriel Angel Pou Pou;;;5;TEAM DE GRATTIERES (FR);;J. VICH;G. Mascaro P.;2150 Ca9;Offshore Dream (fr)-Jorka Du Pas (fr);;;;97.850;1148;1.17.6;7-0;;27.01.16-7-SP-2650-A-1.17.6-J. VICH;
Cuadra Atletic;;;6;QUATAL DES ORMEAUX (FR);;B. FUSTER;B. Fuster;2150 Cc12;Dahir De Prelong (fr)-Jamarina (fr);;;;88.280;1144;1.15.1;0-6(15)-2-1-3-1;;27.01.16-0-SP-2650-A-0-B. FUSTER;
Peña Cafeteria Es Reco D;;;7;URANUS DE JALOUSIE (FR);;J. C. ROTGER;P. Estelrich;2150 Cc8;Joel James (fr)-Venissa (fr);;;;60.870;1159;;D-0m;;03.02.16-D-SP-2650-A-0-F. ABELLAN;
Cuadra Ladil;;;8;TINA DU PASTERET (FR);;S. POCOVI;F. Bennasar;2150 Ea9;Gebrazac(fr)-Hakuna Ball (fr);;;;59.954;1150;1.16.4;3(15)-D-1-D-2-5;;27.01.16-3-SP-2650-A-1.17.6-S. POCOVI;
Cuadra Italoiberica;;;9;SILENCE DES BOIS (FR);D4;A. BROGLIA;B. Llobet R.;2150 Cc10;King Du Perthoise (fr)-Granita Des Boi;;;;98.184;1145;1.16.7;0(15)-0-4-2-D-0;;13.01.16-0-SP-2650-A-0-B. LLOBET R.;
Cuadra Son Vent;;;10;TAETENTER DU GITE (FR);;J. M. JUAN;J. M. Juan;2150 Cc9;Laetenter Diem (fr)-Nina Du Gite (fr);;;;40.936;1160;1.18.9;0-0(15)-D-0-0-D;;24.01.16-0-MN-2050-A-0-B. SAGRERA;
Cuadra H.m.;;;11;SURCOUF ATOUT (FR);;D. FERNANDEZ;R. Orfila C.;2150 Ca10;Lulo Josselyn (fr)-Furie D'atout (fr);;;;69.463;1143;1.16.1;0(15)-7-7-4-5-D;;27.01.16-0-SP-2650-A-0-A. VALLS;
