Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;[image];Column11;Column12;Column13;Column14;Column15;Column16;Column17
;;;;;;;;;Programa de Carreras - 17 de febrero de 2016;;;;;;;
;;;;;;;;;Hipódromo Son Pardo;;;;;;;
1ª CARRERA;;;;Premi CLASSICAL ACTION (PREMIUM);;;;;Ganador;;Quiniela;;;Trio;A las 18:10;
Al Trote Enganchado;;;;Distancia 2.650m.;;PLACA AZUL - NUMERO BLANCO;;;Matrícula 35€;;Forfait % del premio;;;Cambio Conductor 18€;;Autostart
;;;;5000€ en premios: 2.350 al 1º, 1.200 al 2º, 650 al 3º, 350 al 4º, 200 al 5º, 150 al 6º, 100 al 7º;;;;;De 4 y más años nacionales de 13.000 / 17.999,99€;;;;;;;
PROPIETARIO;Nº;;;CABALLO;He.;CONDUCTOR;;ENTRENADORDIST;SCE;ORIGEN;SUMASR.Abs;;R.Dist;CLASIF.;ULTIMA CARRERA;
Cuadra Herald;;1;;BEN MERVAL;DP;B. BENNASAR;;B. Bennasar;2650 Cc5;Never More (fr)-Lyn Del Norte;15.080;1169;1.17.9;0-5(15)-2-7-D-0;03.02.16-0-SP-2650-A-0-B. BENNASAR;
Cuadra 9 De Juliol;;2;;VANDOS;;J. FLUXA;;J. Fluxa;2650 Cc7;Lurabo Bowl Gs-Herbeta Des Bosc;17.127;1162;1.18.1;5-7-5(15)-5-2-0;24.01.16-5-MN-2050-A-1.18.4-J. FLUXA;
Cuadra C'an Pou, S.l.;;3;;VITO DURAN;D4;A. FRONTERA;;G. Mascaro P.;2650 Cc7;Goetmals Wood (fr)-Veronica (no);16.792;1161;1.18.2;3-0(15)-0-0-0-D;03.02.16-3-SP-2650-A-1.19.4-A. FRONTERA;
Cuadra C'an Segui;;4;;TANA SUND SO;;D. FERNANDEZ;;I. Vinent;2650 Ec9;Yankee Mustang (us)-Roxette Sund (se);16.498;1167;1.16.7;7-2-1-0-0(15)-4;10.02.16-7-SP-2150-A-1.17.7-D. FERNANDEZ;
Cuadras B.r.;;5;;UNA DUNA;;Jme. BASSA R.;;J. L. Mas G.;2650 Ec8;S J's Photo (us)-Hinka Das Pont;17.455;1163;1.19.2;2-1(15)-5-4-0-3;19.01.16-2-SP-2150-A-1.18.1-Jme. BASSA R.;
Cuadras Biniancolla;;6;;SARAH WEST;D4;J. C. ROTGER;;J. Anglada;2650 Ec10;Alf Palema (us)-Demilia West (se);16.325;1166;1.18.1;0-0-4-0(15)-0-7;10.02.16-0-SP-2150-A-0-J. VIGNONI;
Cuadra Celio;;7;;UNALTRE SB;;F. BENNASAR;;M. A. Mascaro R.;2650 Ec8;Brandy Dei Fiori (it)-Vasterbo Atanytime (se);14.076;1163;1.18.5;7-2-6-0(15)-4-0;10.02.16-7-SP-2150-A-1.18.8-F. BENNASAR;
Cuadra Galmes;;8;;AGUT BIRD;;J. RIERA S.;;J. A. Perello;2650 Cc6;Job D'udon (fr)-Marinera Bird;16.554;1164;1.18.5;1-D-2(15)-3-7-4;27.01.16-1-SP-2650-A-1.20.2-J. RIERA S.;
Hermanos Gomila Riera;;9;;AMNESIA LEMON;DP;M. GOMILA R. II;;M. Gomila;2650 Ec6;Armbro Goal (us)-Jubavive Mar;17.202;1176;1.18.9;0-7-0(15)-7-2-R;10.02.16-0-SP-2150-A-0-M. GOMILA R. II;
Germans Santandreu Pinzo;;10;;ARBOS SOM;D4;Jme. FLUXA;;Jme. Fluxa;2650 Cc6;Jivibo-Brisa D'arbos;15.482;1164;1.18.0;0-0-4(15)-0-D-6;03.02.16-0-SP-2650-A-0-Jme. FLUXA;
Cuadra Ca'n Llunes;;11;;USAIN;;J. BAUZA B.;;J. Nadal Ll.;2650 Cc8;Love You (fr)-Kali Pança (be);15.107;1171;1.18.3;0-5-6(15)-0-6-6;03.02.16-0-SP-2650-A-0-J. BAUZA B.;
Cuadra Caixeta;;12;;AVA GARDNER;;A. RIERA B.;;A. Riera B.;2650 Ec6;Quatre Juillet (fr)-Evita Quickstep (no);14.279;1177;1.19.4;4-4-0-D-7-0;10.02.16-4-SP-2150-A-1.18.7-A. RIERA B.;
Cuadra Biniparratx Gran;;13;;VENUS DREAM;D4;B. C. PONS V.;;J. A. Segui;2650 Ec7;Uronometro (it)-Icona(se);15.181;1166;1.17.7;6-5-0-4(15)-6-0;03.02.16-6-SP-2650-A-1.19.8-B. C. PONS V.;
Cuadra Es Sementeret;;14;;VET AQUI SI VA BE;;P. M. VAQUER;;G. Sureda;2650 Cc7;Prudence (fi)-Georgina Tirety;16.664;1167;1.18.2;5-2-3-4-5(15)-3;03.02.16-5-SP-2650-A-1.19.6-G. SUREDA;
2ª CARRERA;;;;Premi FET DE GEL (PREMIUM);;;;;Ganador;;Quiniela;;;Trio;A las 18:40;
Al Trote Enganchado;;;;Distancia 2.650m.;;PLACA ROJA - NUMERO BLANCO;;;Matrícula 35€;;Forfait % del premio;;;Cambio Conductor 18€;;Autostart
;;;;5000€ en premios: 2.350 al 1º, 1.200 al 2º, 650 al 3º, 350 al 4º, 200 al 5º, 150 al 6º, 100 al 7º;;;;;De 4 y más años nacionales de 18.000 / 29.999,99€;;;;;;;
PROPIETARIO;Nº;;;CABALLO;He.;CONDUCTOR;;ENTRENADORDIST;SCE;ORIGEN;SUMASR.Abs;;R.Dist;CLASIF.;ULTIMA CARRERA;
Cuadra Vampirolay;;1;;TENOR DE KOR;;Jme. FLUXA;;M. Fluxa S.;2650 Cc9;Armbro Goal (us)-Auba Des Etangs;26.759;1151;1.17.7;7-0(15)-5-0-5-4;03.02.16-7-SP-2150-A-1.16.3-J. FLUXA;
Cuadra Ladil;;2;;BELINDA DE LADIL;;F. BENNASAR;;F. Bennasar;2650 Ea5;Ganymede (fr)-Queenie Laday (se);22.431;1161;1.17.1;3-6(15)-1-5-7-D;10.02.16-3-SP-2150-A-1.17.2-F. BENNASAR;
Quadra Sa Roca Des Castellet;;3;;VANVUIT BG;;M. RIERA B.;;M. Riera B.;2650 Cc7;Amadeus Om (it)-Embarazada I.t. (se);27.933;1149;1.18.0;3-1-4-1(15)-6-1;03.02.16-3-SP-2150-A-1.16.0-M. RIERA B.;
Cuadra H.m.;;4;;A QUEEN OF GLORY;;D. FERNANDEZ;;R. Orfila C.;2650 En6;Amadeus Om (it)-Queen Arbos (se);26.557;1149;1.17.5;6-5(15)-7-3-R-0;03.02.16-6-SP-2150-A-1.16.3-A. TUR;
Cuadra Ca'n Tanca;;5;;ATOMIC ATAC;;J. BAUZA B.;;A. Adrover M.;2650 Cc6;Captain Cook (us)-Miss Laramie Df;20.816;1155;1.17.8;6-0(15)-0-D-0-0;10.02.16-6-SP-2150-A-1.17.6-J. BAUZA B.;
Cuadra Cafeteria Ses Primetes;;6;;UN QUEPRIXET MAR;;J. RIERA S.;;Mª. F. Sureda;2650 Ec8;Laramie (us)-Tracey Boko (de);27.830;1162;1.18.2;0-D-1-D(15)-0-3;27.01.16-0-SP-2650-A-0-J. RIERA S.;
Quadres Valls Rullan, S.l.;;7;;VICTORIOS;DA;A. VALLS;;A. Valls;2650 Cc7;Love You (fr)-Elita Tos (se);26.458;1158;1.17.1;0-0-0-0(15)-1-6;10.02.16-0-SP-2650-A-0-A. VALLS;
Cuadras Biniancolla;;8;;TASMANIA WEST;;J. C. ROTGER;;J. Anglada;2650 Ec9;Enjoy Lavec (se)-Demilia West (se);20.664;1144;1.17.7;0-0-6(15)-3-3-6;10.02.16-0-SP-2150-A-0-J. C. ROTGER;
Cuadra J.a. Gomez;;9;;AIRE DE CLISSA;;J. GOMEZ F.;;A. Gomez F.;2650 Cc6;C Super Chancen (dk)-Filla De Clissa;19.923;1161;1.18.2;1-3-4(15)-0-2-3;31.01.16-1-MAO-2280-A-1.19.3-J. GOMEZ F.;
Penya Peace & Love;;10;;VALENT;;A. FRONTERA;;J. A. Blasco;2650 Cc7;Captain Cook (us)-Elisabet;21.761;1159;1.16.8;0(15)-D-5-D-Dm-0;10.02.16-0-SP-2150-A-0-J. VILLALONGA;
Peña Bonanza;;11;;VENENOS MAR;;G. ANDREU;;Ant. Riera M.;2650 Ca7;Ata Star L. (se)-Tracey Boko (de);29.553;1145;1.16.9;5-0(15)-0-7-2-1;03.02.16-5-SP-2150-A-1.16.2-G. ANDREU;
Cuadra Son Cosmet;;12;;VENENO;;D. OLIVER;;J. A. Garcia;2650 Cc7;Jarnac De Blary (fr)-Jaina De Font;21.752;1156;1.17.6;0-3-3(15)-2-1-1;10.02.16-0-SP-2150-A-0-J. A. GARCIA;
Cuadra City;;13;;VENT DA MAR;;J. VILLALONGA;;J. Pascual A.;2650 Cc7;Strauss Or (it)-Henara Negra Gs;25.364;1162;1.16.9;D-0-5(15)-5-1-0;17.01.16-D-MN-2050-A-0-J. VILLALONGA;
