ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJ.;HIPODROMO;DISTANCIA;PISTA
1_14-07-2016;AZKARRA;3;2 años;56;N. DE JULIAN;ALTAMIRA;A.NUÑEZ;3;Hipódromo de La Zarzuela;1100;ARENA-FIBRA
1_14-07-2016;BEATRIZ;5;2 años;54,5;J.GELABERT;REZA PAZOOKI;F.RODRIGUEZ;2;Hipódromo de La Zarzuela;1100;ARENA-FIBRA
1_14-07-2016;JASMINE;1;2 años;54,5;B.FAYOS;QUINTA DAS FIGUEIRAS;L.A.OLIVEIRA;1;Hipódromo de La Zarzuela;1100;ARENA-FIBRA
1_14-07-2016;PERFECTA;4;2 años;54,5;R.SOUSA;C.E. LOUREIRO VELHO;D.TEXEIRA;5;Hipódromo de La Zarzuela;1100;ARENA-FIBRA
1_14-07-2016;STAR WARS;2;2 años;54,5;N.GARCIA;PALOMARES;J.A.RODRIGUEZ;4;Hipódromo de La Zarzuela;1100;ARENA-FIBRA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJ.;HIPODROMO;DISTANCIA;PISTA
2_14-07-2016;BILBO;3;9 años;59,5;I.BORREGO;RIO AULENCIA;V.B.BUDA;6;Hipódromo de La Zarzuela;1200;ARENA-FIBRA
2_14-07-2016;BANK GUARANTEE;8;4 años;58,5;C.A.LOAIZA;ELEVAGE LA REVERDITE;T.MARTINS;2;Hipódromo de La Zarzuela;1200;ARENA-FIBRA
2_14-07-2016;MU GAMARA;4;5 años;58,5;N.GARCIA;T.DIEZ;D.DIEZ;8;Hipódromo de La Zarzuela;1200;ARENA-FIBRA
2_14-07-2016;ONIX;2;4 años;58,5;J.GELABERT;YEGUADA AGF;G.ARIZKORRETA;7;Hipódromo de La Zarzuela;1200;ARENA-FIBRA
2_14-07-2016;STAMP OF APPROVAL;1;4 años;58,5;A.GOMES;RHO;R.HUAYAS;3;Hipódromo de La Zarzuela;1200;ARENA-FIBRA
2_14-07-2016;BELLOTARANGER;7;4 años;57;E.ARGUINZONES;EXTREMEÑA OP;M.AUGELLI;1;Hipódromo de La Zarzuela;1200;ARENA-FIBRA
2_14-07-2016;GOLD THE WAY;99;5 años;57;L.ECHRRAA;CARLOS ALVES;C.ALVES;4;Hipódromo de La Zarzuela;1200;ARENA-FIBRA
2_14-07-2016;MAJESTIC DREAM;99;8 años;57;H.PEREIRA;OS COISAS DOCES;H.PEREIRA;10;Hipódromo de La Zarzuela;1200;ARENA-FIBRA
2_14-07-2016;SMOKIE JOE;5;9 años;57;N.DE JULIAN;LAS AGUILAS;T.CALLEJO M.;11;Hipódromo de La Zarzuela;1200;ARENA-FIBRA
2_14-07-2016;TAREK;9;4 años;57;P.OLIVEIRA;C.E. LOUREIRO VELHO;D.TEXEIRA;9;Hipódromo de La Zarzuela;1200;ARENA-FIBRA
2_14-07-2016;WINNING HUNTER;6;4 años;57;G.MADERO;LAURA COSTA;M.TELLINI;5;Hipódromo de La Zarzuela;1200;ARENA-FIBRA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJ.;HIPODROMO;DISTANCIA;PISTA
3_14-07-2016;MUNGAMIS;1;5 años;62;B.FAYOS;JIMENA;B.RAMA;6;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
3_14-07-2016;PORTALEGRE;11;3 años;61;A.GOMEZ;YEGUADA CORTIÑAL;J.A.RODRIGUEZ;13;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
3_14-07-2016;MAGIC POMMIER;7;6 años;60,5;N.GARCIA;PUENTEDEY;J.A.RODRIGUEZ;2;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
3_14-07-2016;NIKI;10;4 años;60,5;C.A.LOAIZA;RUSH RACING;M.AUGELLI;1;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
3_14-07-2016;CUENTISTA;6;7 años;59,5;J.L.MARTINEZ;ODISEA;A.CARRASCO;3;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
3_14-07-2016;PETROSIAN;2;4 años;59,5;M.GOMES;COMANSI;C.FERNANDEZ;8;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
3_14-07-2016;ELLA ELLE L A;5;3 años;59;G.MADERO;TOLOSANA;J.L.MAROTO;12;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
3_14-07-2016;BORYSTHENE;99;8 años;57,5;R.SOUSA;RESTAURANTE JASMIM;H.PEREIRA;7;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
3_14-07-2016;KINGKAYE;8;5 años;57;E.ARGUINZONES;HABIT;C.FERNANDEZ;9;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
3_14-07-2016;GAVIA;9;3 años;57;V.JANACEK;CENTRO;M.A.MARIN;4;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
3_14-07-2016;GODOFREDO;99;3 años;57;J.GELABERT;NANINA;J.CALDERON;5;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
