Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;[image];Column12;Column13;Column14;Column15;Column16;Column17;Column18
;;;;;;;;;;Programa de Carreras - 11 de enero de 2017;;;;;;;
;;;;;;;;;;Hipódromo de Son Pardo;;;;;;;
1ª CARRERA;;;;Premi ANGERS (PREMIUM);;;;;;Ganador;;Quiniela;;;Trio;A las 17:10;
;;;;;;;;;;TROTADOR FRANCES;;;;;;;
Al Trote Enganchado;;;;Distancia 2.650m.;;;PLACA VERDE - NUMERO NEGRO;;;Matrícula 41€;;Forfait % del premio;;;Cambio Conductor 18€;;Autostart
;;;;5500€ en premios: 2.530 al 1º, 1.266 al 2º, 660 al 3º, 384 al 4º, 276 al 5º, 220 al 6º, 164 al 7º;;;;;;De 3 i más años, inscritos en el stud book frances de 60.000 / 99.999,99€.;;;;;;;
PROPIETARIO;;Nº;;CABALLO;Prono.;He.;CONDUCTOR;ENTRENADORDIST;SCE;ORIGEN;;SUMASR.Abs;;R.Dist;CLASIF.;ULTIMA CARRERA;
Cuadra Italoiberica;;;1;SILENCE DES BOIS (FR);7;;J. BAUZA B.;A. Frontera;2650 Cc11;King Du Perthoise (fr)-Granita Des Bois(fr);;99.912;1145;1.16.9;3(16)-0-0-2-0-7;04.01.17-3-SP-2650-A-1.17.5-A. FRONTERA;
Cuadras Valero;;;2;TED DE LA RIVE (FR);3;DP;G. VALERO T.;G. Valero T.;2650 Cc10;Kuadro Wild (fr)-Ines La Couettrie (fr);;69.190;1158;;(16)-2-1-3-1-3-4;26.12.16-2-SR-2100-A-1.17.6-G. VALERO T.;
Cuadras Son Sama;;;3;TINO DU VARLET (FR);1;DP;M. RIERA B.;M. Riera B.;2650 Ca10;Classic Rodney (fr)-Gabole Du Varlet (fr);;96.400;1145;;(16)-0-0-0;31.12.16-0-SP-2150-A-0-M. RIERA B.;
Cuadra H.m.;;;4;ASMAR DE VIETTE (FR);1;D4;G. ANDREU;H. Rigo;2650 Cc7;Defi D'aunou (us)-Mattea Des Picanes (fr);;60.060;1139;;(16)-0-0-6-D-0-2;27.12.16-0-SP-2650-A-0-G. ANDREU;
Peña Bailon;;;5;QUATAL DES ORMEAUX (FR);14;;G. FUSTER;M. Andreu M;2650 Cc13;Dahir De Prelong (fr)-Jamarina (fr);;98.838;1144;1.15.7;(16)-0-2-3-3-1-1;31.12.16-0-SP-2150-A-0-B. FUSTER;
Cuadra C'an Pou, S.l.;;;6;SOURIRE D'AVRIL (FR);12;D4;A. FRONTERA;A. Frontera;2650 Ca11;Joyau D'amour (fr)-Elsa Des Aitres (fr);;86.791;1154;1.17.0;(16)-3-0-6-3-0-0;17.12.16-3-MN-1725-A-1.17.1-A. FRONTERA;
Cuadra Toni I Joan;;;7;REFLET D'OR (FR);4;;J. RIERA S.;A. Janer R.;2650 Cc12;Tenor De Baune (fr)-Kerna Du Vivier (fr);;75.702;1161;1.16.9;(16)-R-1-D-3-2-0;24.12.16-R-SP-2150-A-0-A. JANER R.;
Ecurie La Chance;;;8;TALBIN D'OCCAGNES (FR);2;;A. TUR;J. Guardiola M.;2650 Cc10;Gros Grain (fr)-Makita (fr);;69.030;1150;1.16.8;0(16)-3-0-0-D-6;04.01.17-0-SP-2650-A-0-A. TUR;
Cuadra Pep I Catalina;;;9;SAPHIR DU TERROIR (FR);21;;B. FUSTER;J. Barcelo Ll.;2650 Ca11;Ingen (fr)-Idylle Du Terroir (fr);;96.990;1151;1.17.7;(16)-1-1-0-0;27.12.16-1-SP-2150-A-1.15.1-B. FUSTER;
Cuadra Nadal Galmes;;;10;REVE DE LA SCIMA (FR);4;;Jme. FLUXA;Jme. Fluxa;2650 Cc12;Jow Du Vro (fr)-Faveur De La Scima (fr);;77.445;1152;1.16.8;5(16)-D-1-5-6-6;04.01.17-5-SP-2650-A-1.17.6-Jme. FLUXA;
Cuadra Can Sala;;;11;TREMPOLINO FRANCE (FR);10;D4;J. A. RIERA;M. Andreu M;2650 Cc10;Nuage De Lait (fr)-Helice France (fr);;89.680;1143;1.17.9;(16)-6-3;27.12.16-6-SP-2150-A-1.16.2-Jme. FLUXA;
Margarita Riera Fullana;;;12;THOR DE SUCE (FR);4;D4;B. LLOBET R.;B. Llobet R.;2650 Ca10;Dermadour Du Gite (fr)-Karine De Suce (fr);;93.135;1154;1.16.9;7(16)-0-0-2-D-6;04.01.17-7-SP-2650-A-1.17.8-B. LLOBET R.;
Peña Bonanza;;;13;TORRENT DU BANNEY (FR);17;;M. MESTRE;R. Orfila C.;2650 Cc10;Cygnus D'odyssee (fr)-Luciole Du Banney (fr);;87.074;1141;1.16.5;2(16)-2-5-4-4-3;04.01.17-2-SP-2650-A-1.17.4-B. MASCARO;
;;;;;;;;;;2ª CARRERA [image] Premi CORDEMAIS (PREMIUM) Ganador Quiniela Trio A las 17:40;;;;;;;
;;;;;;;;;;TROTADOR FRANCES;;;;;;;
Al Trote Enganchado;;;;Distancia 2.650m.;;;PLACA NEGRA - NUMERO BLANCO;;;Matrícula 45€;;Forfait % del premio;;;Cambio Conductor 18€;;Autostart
;;;;6000€ en premios: 2.760 al 1º, 1.380 al 2º, 720 al 3º, 420 al 4º, 300 al 5º, 240 al 6º, 180 al 7º;;;;;;De 3 i más años, inscritos en el stud book frances de 100.000 / 179.999,99 €. Col.locació per sorteig lliure. Carrera puntuable del torneig Trotador Frances 2017.;;;;;;;
PROPIETARIO;;Nº;;CABALLO;Prono.;He.;CONDUCTOR;ENTRENADORDIST;SCE;ORIGEN;;SUMASR.Abs;;R.Dist;CLASIF.;ULTIMA CARRERA;
Cuadra Borras-frau;;;1;TENOR D'ESSA (FR);1;;F. ANDREU;A. Janer R.;2650 Ca10;Jolmeto (fr)-Kadette De Scam (fr);;107.340;1148;;0;04.01.17-0-SP-2650-A-0-J. C. ROTGER;
Cuadra Xico I Marc;;;2;TITUS DE FOURCADE (FR);22;DA;A. FRONTERA;F. J. Marimon;2650 Cc10;Fleuron Perrine (fr)-Gueule D'amour (fr);;168.775;1139;1.17.0;(16)-2-1-2-7-1-1;31.12.16-2-SP-2650-A-1.17.6-A. FRONTERA;
Hermanos Riera Vaquer;;;3;TROCKTAILO (FR);8;D4;M. RIERA B.;M. Riera B.;2650 Cc10;Capriccio (fr)-Iocktaila D'occ (fr);;177.314;1148;1.16.7;(16)-D-5m-4-6-2-4;10.12.16-D-SP-2650-A-0-J. RIERA S.;
Cuadra Ladil;;;4;SEOUDITE (FR);4;;F. BENNASAR;F. Bennasar;2650 Ea11;Dandy Chouan (fr)-Magic Destinee (fr);;131.775;1150;1.16.6;(16)-D-0-3-R-0-D;31.12.16-D-SP-2150-A-0-F. BENNASAR;
Peña Cafeteria Es Reco De S;a;;5;UNISSIMO (FR);12;;J. C. ROTGER;P. Estelrich;2650 Cc9;And Arifant (fr)-Caserne (fr);;123.590;1129;1.18.3;(16)-4-5;31.12.16-4-SP-2150-A-1.15.6-J. C. ROTGER;
Miguel Angel Huguet Vaquero;;;6;THALES DES CORVEES (FR);6;;B. LLOBET R.;B. Llobet R.;2650 Cc10;Capriccio (fr)-June Des Corvees (fr);;125.780;1146;1.18.0;(16)-7-4;31.12.16-7-SP-2150-A-1.16.1-B. LLOBET R.;
Cuadra Son Vall Fogo;;;7;QRISTO D'YMER (FR);8;;Jme. FLUXA;Jme. Fluxa;2650 Cc13;Jam Pridem (fr)-Gazelle D'ymer (fr);;149.687;1146;1.17.7;(16)-5-0-D-7-0-2;31.12.16-5-SP-2150-A-1.15.9-Jme. FLUXA;
Cuadra H.m.;;;8;SERGEY (FR);3;;G. ANDREU;H. Rigo;2650 Ca11;Look De Star (fr)-Elise De Couronne (fr);;171.467;1114;;(16)-0-3-4-2-6-4;24.12.16-0-SP-2650-A-0-G. POU;
