Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;[image];Column11;Column12;Column13;Column14;Column15;Column16
;;;;;;;;;Programa de Carreras - 18 de enero de 2017;;;;;;
;;;;;Hipódromo;;;;Son;Pardo;;;;;
1ª CARRERA;;;Premi GENGIS KHAN (PREMIUM);;;;;;Ganador;Quiniela;;;Trio;;A las 18:25
Al Trote Enganchado;;;Distancia 2.150m.;;PLACA AZUL - NUMERO BLANCO;;;;Matrícula 45€;Forfait % del premio;;;Cambio Conductor 18€;;Autostart
;;;6000€ en premios: 2.760 al 1º, 1.380 al 2º, 720 al 3º, 420 al 4º, 300 al 5º, 240 al 6º, 180 al 7º;;;;;;De 3 años, nacionales de libre inscripción.;;;;;;
PROPIETARIO;Nº;;CABALLO;;He. CONDUCTOR;;;;ENTRENADORDISTSCEORIGEN;SUMASR.AbsR.DistCLASIF.;;;;;ULTIMA CARRERA
Cuadra Son Mas Vell;1;;EY FIORI;D4;Jme. FLUXA;Jme. Fluxa;##;Ec3;Brandy Dei Fiori (it)-Ultra Maker Sm;2.068;1201;1205;2(16)-D-1-7-2;;04.01.17-2-SP-2150-A-1.20.5-Jme. FLUXA
Cuadra Ladil;2;;ENIGMA DE LADIL;D4;S. POCOVI;F. Bennasar;##;Ec3;Petit Poucet (fr)-Tota De Ladil;4.294;1183;1199;D(16)-2-4-3-1-D;;04.01.17-D-SP-2150-A-0-S. POCOVI
Cuadras Morro;3;E1;EL DANDY DE FONT;;M. RIERA B.;J. Morro;##;Cc3;S J's Photo (us)-Neu De Font;2.066;1181;1200;3(16)-3-2-D-D-5;;04.01.17-3-SP-2150-A-1.20.6-A. FRONTERA
Cuadra Ja Vorem;4;;ENEMIC;;M. BOSCH;M. Bosch;##;Cc3;Brandy Dei Fiori (it)-Ginesta Clissa;3.014;1165;1204;(16)-4-1-1-2-4-2;;15.11.16-4-SP-1650-A-1.19.5-M. BOSCH
Cuadras Morro;5;E1;ES GONYADOR DE FONT;;F. POURREAU;J. Morro;##;Cc3;S J's Photo (us)-Dalia De Kit;13.360;1166;1199;5(16)-1-1-1-2-1;;04.01.17-5-SP-2150-A-1.21.2-J. CARRERAS P.
Cuadra S'esclat;6;;ENTRESIS Z;;G. ANDREU;M. Rubio;##;Ec3;Brandy Dei Fiori (it-Gavina Z;1.704;1203;;(16)-2-D-1-R-1-3;;03.12.16-2-MN-1725-A-1.20.3-M. RUBIO
Quadra Ca'n Toi;7;;ELITE SUYAL;DP;J. C. ROTGER;J. Morro;##;Cc3;Warren Boko (se)-Barba Coa (se);3.033;1201;1201;1(16)-4-4-2-R-6;;04.01.17-1-SP-2150-A-1.20.5-A. POU H.
Cuadra Ramat Jove S.l.;8;;ESPIRA DES LLORER;;A. VALLS;R. Orfila C.;##;Ec3;Strauss Or (it)-Go Siri (dk);1.558;1203;1203;(16)-6-3-2-1-1-1;;27.12.16-6-SP-2150-A-1.20.3-A. VALLS
Peña Cala Rotja;9;;EL SILVA;;J. BAUZA B.;A. Fernandez S.;##;Cc3;Brandy Dei Fiori (it-Zoot Run (se);717;1215;1247;D(16)-2-1-D-0-4;;04.01.17-D-SP-2150-A-0-J. BAUZA B.
Cuadra Restaurante La Isla;10;;EOLO SB;;B. RIUTORT;B. Riutort;##;Cc3;Brandy Dei Fiori (it-Iucla Axe (it);1.164;1201;1209;4(16)-5-7-6-1-0;;04.01.17-4-SP-2150-A-1.20.9-B. RIUTORT
Cuadras Morro;11;E1;ES BOU DE FONT;;J. ORFILA P.;J. Carreras P.;##;Cc3;Musigny Degato (se)-Olga De Font;860;1202;;2(16)-2-4-2-2-2;;08.01.17-2-MAO-1970-A-1.24.9-J. CARRERAS P.
Peña Bonanza;12;;ESPERANÇA MAR;;M. MESTRE;R. Orfila C.;##;Ec3;Toss Out (us)-Tracey Boko (de);1.104;1206;1206;(16)-D-1-1;;27.12.16-D-SP-2150-A-0-M. MESTRE
Cuadra Shane-morro;13;;ESTELADA DE FONT;DP;E. ALLARD;J. Morro;##;Ea3;Orateur (fr)-Quibala Street (fr);;;;;Debutante;
Cuadra Ca'n Duran;14;;ESTRELLA DURAN;;B. MASCARO;P. Puigserver;##;Ec3;Petit Poucet (fr)-Herica Garbo;1.137;1178;;(16)-6-4-4-1;;15.11.16-6-SP-1650-A-1.20.0-O. PUIGSERVER
Penya Segui Fluxa;15;;EUGIN TINA M;;J. FLUXA;J. A. Segui;##;Ec3;Bay Head (us)-Eugin Smith;1.008;1210;1214;6(16)-1-1-0-0-3;;04.01.17-6-SP-2150-A-1.21.4-J. FLUXA
Cuadra Ses Barrioles;16;;EASY MAKER SB;;A. ROCA;A. Roca;##;Ec3;Zola Boko (se)-Omni Maker Sb;796;1199;1201;(16)-5-1-1-1-D-D;;27.12.16-5-SP-2150-A-1.20.1-A. ROCA
2ª CARRERA;;;Premi QUILOA (PREMIUM);;;;;;Ganador;Quiniela;;;Trio;;A las 18:55
Al Trote Enganchado;;;Distancia 2.150m.;;PLACA ROJA - NUMERO BLANCO;;;;Matrícula 38€;Forfait % del premio;;;Cambio Conductor 18€;;Autostart
;;;5000€ en premios: 2.300 al 1º, 1.150 al 2º, 600 al 3º, 350 al 4º, 250 al 5º, 200 al 6º, 150 al 7º;;;;;;De 4 y más años, nacionales de 9.000 / 13.999,99 €.;;;;;;
PROPIETARIO;Nº;;CABALLO;;He. CONDUCTOR;;;;ENTRENADORDISTSCEORIGEN;SUMASR.AbsR.DistCLASIF.;;;;;ULTIMA CARRERA
Cuadras Son Sama;1;;BUFALO SS;DP;F. J. MARTI;F. J. Marti;##;Cc6;C Super Chancen (dk)-Nilda Biniati;10.502;1178;1178;4(16)-0-6-0-6-1;;04.01.17-4-SP-2650-A-1.19.0-F. J. MARTI
Cuadra Xisco Morey;2;;SAN PELLEGRINO MIXO;;G. CRESPI;J. C. Minuesa;##;Cc11;San Pellegrino (us)-Reggae Dance (se);13.254;1169;1169;6(16)-0-4-5-0-5;;04.01.17-6-SP-2650-A-1.19.1-P. SEBASTIA E.
Cuadra Es Viñet Vell Ii;3;;BRANDY D'AS PONT;;B. MASCARO;L. Orell;##;Cc6;Never More (fr)-Overive Crown;13.078;1167;1167;0(16)-3-4-R-D-3;;11.01.17-0-SP-2150-A-0-B. MASCARO
Monserrat Llull Lliteras;4;;CENICIENTA BET;D4;M. LLULL LL.;M. Llull Ll.;##;En5;Okito (fr)-Laika Bet;10.153;1180;1181;0(16)-2-6-3-1-4;;11.01.17-0-SP-2150-A-0-M. LLULL LL.
Rafael Amengual Fiol;5;;VIKINGO JUNIOR;;G. RIERA;Mª. F. Sureda;##;Cc8;Vikingo-Nannsong Tara Gs;12.161;1178;1178;0(16)-0-6-0-7-7;;11.01.17-0-SP-2150-A-0-G. RIERA
Cuadra Veloz;6;;DRAC MAGIC;;M. RIERA B.;M. Riera B.;##;Ca4;Oh Deco Sb-Espira Des Bosc;10.136;1166;1184;4(16)-1-3-1-4-2;;11.01.17-4-SP-1650-A-1.16.6-M. RIERA B.
Cuadra C.o.;7;;CRISTIANO MO;DP;J. RIERA S.;J. Capella;##;Cn5;C Super Chancen (dk)-Naturens Under (se);10.198;1175;1182;(16)-2-7-D-0-D-5;;31.12.16-2-SP-2650-A-1.19.6-M. RIERA B.
Cuadra Vich-capo;8;;BAMBINA D'ESCAFI;;Mª. LLINAS;M. Vich;##;Ec6;Brandy Dei Fiori (it)-Huella D'escafi;13.016;1155;1179;(16)-5-2-5-4-2-3;;27.11.16-5-SP-2200-A-1.19.0-M. VICH
Cuadra Si No Fos;9;;BELLA DE NIT;;C. VELASCO;A. Carreras;##;En6;Nardon Df Ia-Serena The Fireman;12.989;1161;1169;3-2(16)-0-0-D-3;;11.01.17-3-SP-2150-A-1.16.9-J. C. ROTGER
Peña Jat;10;;BON JIM;;B. TOUS;J. A. Terrasa;##;Cc6;Incisif Gede (fr)-Pocahontas Gull (se);12.399;1173;1180;(16)-2-5-5-0-7-1;;31.12.16-2-SP-2650-A-1.17.4-D. OLIVER
Cuadra Sa Marina Slu;11;;CRIS EVER JS;;M. MESTRE;F. J. Sagrera R.;##;Ec5;Amadeus Om (it)-Vignola Om(it);12.070;1175;1175;1(16)-0-0-6-2-2;;11.01.17-1-SP-2650-A-1.19.3-M. MESTRE
Cuadras Biniati;12;;VINABEL BINIATI;D4;C. CRUELLAS;Ant. Orfila S.;##;Ec8;Valley Mist (us)-Labell Biniati;13.654;1167;1168;0(16)-0-0-0-0-0;;11.01.17-0-SP-2150-A-0-C. CRUELLAS
Quadra Si Ho Se;13;;CELEBRITY SB;D4;M. RUBIO;J. J. Miquel;##;Ec5;From Above (se)-Amazzonia Ambrosio (de);11.757;1174;1174;1(16)-5-6-4-0-0;;04.01.17-1-SP-2650-A-1.18.2-A. FRONTERA
Cuadra Biniparratx Gran;14;;BEAUTIFUL DREAM;D4;B. C. PONS V.;J. A. Segui;##;Ec6;Varenne (it)-Satir Sund (se);12.135;1173;1179;(16)-2-2-4-D-D-1;;26.12.16-2-MAO-1650-A-1.17.6-B. C. PONS V.
Cuadra Cas Menut;15;;ALEGRIA LOVE;;J. FLUXA;M. A. Salom;##;Ec7;Musigny Degato (se)-Egara Kid Gs;10.275;1177;1178;5(16)-0-0-6-0-5;;04.01.17-5-SP-2650-A-1.19.0-J. FLUXA
Penya Es Trapassers;16;;BLACKFLY HF;;B. LLOBET R.;M. A. Huguet V.;##;Cc6;Alesi Om (it)-Super Bowls (gb);10.287;1170;1187;2(16)-5-5-3-4-4;;11.01.17-2-SP-2650-A-1.19.4-B. LLOBET R.
3ª CARRERA;;;Premi AMIENS (PREMIUM);;;;;;Ganador;Quiniela;;;Trio;;A las 19:25
;;;;;;;;;TROTADOR FRANCES;;;;;;
Al Trote Enganchado;;;Distancia 2.650m.;;PLACA LILA - NUMERO BLANCO;;;;Matrícula 38€;Forfait % del premio;;;Cambio Conductor 18€;;Autostart
;;;5000€ en premios: 2.300 al 1º, 1.150 al 2º, 600 al 3º, 350 al 4º, 250 al 5º, 200 al 6º, 150 al 7º;;;;;;De 3 y más años, inscritos en el stud book francés hasta 79.999,99 €.;;;;;;
PROPIETARIO;Nº;;CABALLO;;He. CONDUCTOR;;;;ENTRENADORDISTSCEORIGEN;SUMASR.AbsR.DistCLASIF.;;;;;ULTIMA CARRERA
Cuadra Ladil;1;;TINA DU PASTERET (FR);;S. POCOVI;F. Bennasar;##;Ea10;Gebrazac(fr)-Hakuna Ball (fr);66.044;1150;1163;(16)-4-6-2-0-3-5;;31.12.16-4-SP-2150-A-1.16.5-S. POCOVI
Germans Santandreu Pinzo;2;;TOMADO DU SAPHIR (FR);;M. RIERA B.;M. Andreu M;##;Ca10;Tabac Blond (fr)-Mado Des Thuyas (fr);56.654;1148;1168;3(16)-3-1-3-5-1;;04.01.17-3-SP-2650-A-1.16.8-Jme. FLUXA
Ecurie La Chance;3;E1;TALBIN D'OCCAGNES (FR);D4;C. RIERA M. (AP);J. Guardiola M.;##;Cc10;Gros Grain (fr)-Makita (fr);69.030;1150;1168;0-0(16)-3-0-0-D;;11.01.17-0-SP-2650-A-0-A. TUR
Cuadra Son Quint;4;;TAQUIN DE FONTAINE (FR);DA;B. LLOBET R.;B. Llobet R.;##;Cc10;Vivaldi De Chenu (fr)-Erika Du Jonc (fr);59.758;1155;1169;5(16)-5-2-4-2-6;;04.01.17-5-SP-2650-A-1.16.9-B. LLOBET R.
Cuadras Valero;5;;TED DE LA RIVE (FR);D4;M. MESTRE;G. Valero T.;##;Cc10;Kuadro Wild (fr)-Ines La Couettrie (fr);69.190;1158;;0(16)-2-1-3-1-3;;11.01.17-0-SP-2650-A-0-G. VALERO T.
Cuadra Perfumeria Bruni 8 S;6;;BLACK JACK SPORT (FR);;G. ANDREU;G. Andreu;##;Cc6;Quincy Boy (fr)-Pepite D'auvillier (fr);38.350;1163;;D;;08.01.17-D-MN-2375-A-0-J. FUSTER A.
Cuadra Nivell;7;;VIVA NICE (FR);;J. BAUZA B.;A. Frontera;##;Ec8;Niky (fr)-Loga Josselyn (fr);56.750;1146;1163;2(16)-6-7-5-3-2;;04.01.17-2-SP-2650-A-1.16.5-A. FRONTERA
