[image];Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Hipódromo de Son Pardo 01-02-17
1ª CARRERA;;Premi VINCENNES (PREMIUM);;;;;Ganador;;Quiniela;;;Trio;A las 17:55
;;;;;;TROTADOR FRANCES;;;;;;;
Al Trote Enganchado;;Distancia 2.650m.;;PLACA VERDE - NUMERO NEGRO;;Matrícula 45€;;;Forfait % del premio;;;Cambio Conductor 18;Autostart
6000€ en premios: 2.760 al 1º, 1.380 al 2º, 720 al 3º, 420 al 4º, 300 al 5º, 240 al 6º, 180 al 7º;;;;;;De 3 y más años, inscritos en el stud book frances a partir de 150.000€.;;;;;;;
PROPIETARIO;Nº;CABALLO;He.;CONDUCTOR;ENTRENADOR;DIST;SCE;ORIGEN;SUMAS;R.AbsR.Dist;;CLASIF.;ULTIMA CARRERA
Cuadra Es Pou Florit S.l.;1;QUASSIA DU BON AIR (FR);DA;M. A. BINIMELIS;M. A. Binimelis;2650;Cc13;Capriccio (fr)-Io De Courson (fr);484.064;1.11.7;1160;0(16)-4-3-5-3-4;18.01.17-0-SP-1650-A-0-M. A. BINIMELIS
Cuadra Es Moya;2;STARTER DU RIB (FR);;A. TUR;J. Tauler;2650;Ca11;Ganymede (fr)-Jiviga (fr);517.820;1.11.2;;2;18.01.17-2-SP-1650-A-1.14.3-A. TUR
Cuadras Son Sama;3;RHODO DE SASSY (FR);;M. RIERA B.;F. J. Marti;2650;Cc12;Kaiser Soze (fr)-Joie Des Etangs (fr);219.608;1.14.7;1159;D-3(16)-0-0-0-5;25.01.17-D-SP-2650-A-0-F. J. MARTI
Cuadra C'an Pou, S.l.;4;SPOOLER DES OBEAUX (FR);;J. VICH;G. Mascaro P.;2650;Cc11;And Arifant (fr)-Loving You (fr);243.718;1.13.5;;D-0(16)-0-4m-0-4m;25.01.17-D-SP-2650-A-0-J. L. PONS
Cuadra Torreflorida;5;RAMSES DES CHARMES (FR);;J. A. RIERA;A. Rieupeyroux;2650;Cc12;Kiss Francais (fr)-Hydra De L'epinay (fr);505.830;1.13.5;1161;(16)-0-1-2-2-7-3;31.12.16-0-SP-2650-A-0-J. BAUZA B.
Cuadras Son Sama;6;RENE DE MONVRIL (FR);D4;F. J. MARTI;F. J. Marti;2650;Cc12;Lilium Madrik (fr)-Ivana De Bellouet (fr);267.772;1.12.8;1176;4m(16)-7-0-4-0-2;08.01.17-4-MN-2375-A-1.20.6-M. A. MARTI
Cuadra Toni I Joan;7;RECITAL DE SUCE (FR);;J. FLUXA;A. Janer R.;2650;Cc12;Dermadour Du Gite (fr)-Mombasa (fr);215.071;1.14.2;1156;(16)-D-0-0-7-4-D;20.12.16-D-SP-2650-A-0-J. RIERA S.
