ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
1_26-04-2018;DANUBIO;9;3;55;B. FAYOS (56);YEGUADA CORTIÑAL;J.A. RODRIGUEZ;6;Gran Hipódromo de Andalucia;1900;ARENA
1_26-04-2018;INTERLAKEN (FR);7;3;55;R. SOUSA;NANINA;J. CALDERON;5;Gran Hipódromo de Andalucia;1900;ARENA
1_26-04-2018;IRON ROCK (IRE);1;3;55;V. JANACEK (55,5);ATERPE;G. ARIZKORRETA;8;Gran Hipódromo de Andalucia;1900;ARENA
1_26-04-2018;MUNSTEAD GOLD (GB);2;3;55;N. DE JULIAN;NIJINSKY;G. ARIZKORRETA;4;Gran Hipódromo de Andalucia;1900;ARENA
1_26-04-2018;NUEVO AYANZ;8;3;55;C.A. LOAIZA (53);HELISABEL;J. SALGUERO;3;Gran Hipódromo de Andalucia;1900;ARENA
1_26-04-2018;PANZENU (FR);4;3;55;J. GELABERT;ROBERTO COCHETEUX;M. ALVAREZ;9;Gran Hipódromo de Andalucia;1900;ARENA
1_26-04-2018;RONEO (FR);6;3;55;A. FIORI;O TORRON;M. GOMES;1;Gran Hipódromo de Andalucia;1900;ARENA
1_26-04-2018;NEVERI (GB);3;3;53,5;V.M. VALENZUELA (53);YEPES‐MONTANCHEZ;J.A. RODRIGUEZ;2;Gran Hipódromo de Andalucia;1900;ARENA
1_26-04-2018;SAVEURS BRITISH (IRE);5;3;53,5;J. JIMENEZ (51,5);JIMENEZ;I. LOPEZ;7;Gran Hipódromo de Andalucia;1900;ARENA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
2_26-04-2018;ASCANIO;2;4;62;V. JANACEK;EL FARGUE;J. SALGUERO;8;Gran Hipódromo de Andalucia;1900;ARENA
2_26-04-2018;LORD OF WESTBURY (IRE);4;6;61;B. FAYOS;LAS AGUILAS;I. LOPEZ;3;Gran Hipódromo de Andalucia;1900;ARENA
2_26-04-2018;PARISIEN BLUE;6;4;61;I. MELGAREJO (59);LUCHANA;I. LOPEZ;1;Gran Hipódromo de Andalucia;1900;ARENA
2_26-04-2018;CIEN COLORAO (FR);5;5;59;V.M. VALENZUELA (57);YEG. URDIÑ‐ORIYA;J. SALGUERO;5;Gran Hipódromo de Andalucia;1900;ARENA
2_26-04-2018;EBEON;7;7;57,5;J. GELABERT;NANINA;J. CALDERON;7;Gran Hipódromo de Andalucia;1900;ARENA
2_26-04-2018;MY MAN CHARLIE (FR);1;5;57,5;R. SOUSA;ANJOS SELVAGENS;J.P. OLIVEIRA;4;Gran Hipódromo de Andalucia;1900;ARENA
2_26-04-2018;MY FERLOMA (FR);3;5;56;A. FIORI;MENDES E SA COUTO;H. OLIVEIRA;2;Gran Hipódromo de Andalucia;1900;ARENA
