ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_12-08-2018;AZORIN(IRE);4;2;57;J.B.HAMEL;PATRICIA PEINADO;E.IMAZ C.;6;Hipodromo de San Sebastian;1400;HIERBA
1_12-08-2018;SILVERED ANGEL(FR);5;2;57;J.L.MARTINEZ;C.PLANTAGENET;G.ARIZKORRETA;5;Hipodromo de San Sebastian;1400;HIERBA
1_12-08-2018;TIMPLE CANARIAS(IRE);1;2;57;V.JANACEK;GR.BOLAÑOS GR.CANARIA;A.REMOLINA;4;Hipodromo de San Sebastian;1400;HIERBA
1_12-08-2018;ZEE(GB);3;2;57;R.SOUSA;C.MARTUL;E.IMAZ C.;2;Hipodromo de San Sebastian;1400;HIERBA
1_12-08-2018;BALI BEACH(GB);2;2;55,5;I.MELGAREJO;MQS.DE MIRAFLORES;A.SOTO;1;Hipodromo de San Sebastian;1400;HIERBA
1_12-08-2018;BELLA BARONESSA(GER);6;2;55,5;J.GELABERT;C.FEBANA;J.CALDERON;7;Hipodromo de San Sebastian;1400;HIERBA
1_12-08-2018;ISOPYRE(FR);99;2;55,5;B.FAYOS;RONNY VAN AERTSELAER;E.IMAZ C.;8;Hipodromo de San Sebastian;1400;HIERBA
1_12-08-2018;LITERATURA(GB);7;2;53,5;N.DE JULIAN;C.NEARCO;P.OLAVE;3;Hipodromo de San Sebastian;1400;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_12-08-2018;LADY LOLA;4;4;62;I.MELGAREJO (60);C.BRAZACORTA;S.VIDAL;5;Hipodromo de San Sebastian;2000;HIERBA
2_12-08-2018;INTELLOANA(GB);6;3;61,5;A.FIORI;C.EUROPA;J.C.CERQUEIRA;6;Hipodromo de San Sebastian;2000;HIERBA
2_12-08-2018;RAVENOAK(IRE);1;4;60;B.FAYOS;C.OS COISAS DOCES;H.PEREIRA;8;Hipodromo de San Sebastian;2000;HIERBA
2_12-08-2018;ILHONA(FR);6;3;59;R.C.MONTENEGRO;C.ROBER;R.AVIAL;7;Hipodromo de San Sebastian;2000;HIERBA
2_12-08-2018;STORMY DANCE(FR);7;5;58,5;N.DE JULIAN;C.EL SABLE;E.PUENTE;2;Hipodromo de San Sebastian;2000;HIERBA
2_12-08-2018;PALKIA(FR);3;4;57;R.SOUSA;IRIMAOS OLIVEIRA;H.OLIVEIRA;1;Hipodromo de San Sebastian;2000;HIERBA
2_12-08-2018;GAMELIN;5;4;53,5;C.A.LOAIZA (53);C.LEZAMA;A.LEZAMA;4;Hipodromo de San Sebastian;2000;HIERBA
2_12-08-2018;HADDEYA(GB);2;4;51;J.GELABERT (G.roja);C.ROBER;R.AVIAL;3;Hipodromo de San Sebastian;2000;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3_12-08-2018;DAGOBERTO;7;8;59,5;F.JIMENEZ;C.NANINA;J.CALDERON;8;Hipodromo de San Sebastian;1400;HIERBA
3_12-08-2018;HALF A BILLION(IRE);8;9;59,5;J.B.HAMEL;C.A GRANXA;H.PEREIRA;2;Hipodromo de San Sebastian;1400;HIERBA
3_12-08-2018;MR HOBBS(GB);1;4;59,5;B.FAYOS;C.MEDITERRANEO;J.C.CERQUEIRA;10;Hipodromo de San Sebastian;1400;HIERBA
3_12-08-2018;BLUE MARTINI(GER);4;5;57;V.JANACEK;C.BEST HORSE;G.VAZ;6;Hipodromo de San Sebastian;1400;HIERBA
3_12-08-2018;CITY GENT(GB);9;3;57;J.L.MARTINEZ;C.LA TOLEDANA;J.L.MAROTO;11;Hipodromo de San Sebastian;1400;HIERBA
3_12-08-2018;DANI WALLON(FR);5;7;56,5;J.GELABERT;C.BLOKE;C.DELCHER;5;Hipodromo de San Sebastian;1400;HIERBA
3_12-08-2018;NISHAM(IRE);3;6;56,5;J.L.BORREGO;C.SILVER;D.TEIXEIRA;3;Hipodromo de San Sebastian;1400;HIERBA
3_12-08-2018;KIMARA DOR;99;5;55;N.DE JULIAN;C.ILLARGUI;M.I.JAULAR;9;Hipodromo de San Sebastian;1400;HIERBA
3_12-08-2018;LATUL;99;4;55;F.MARTINEZ;C.BUELNA EQUII;F.ALVARADO;7;Hipodromo de San Sebastian;1400;HIERBA
3_12-08-2018;FALCON'S VISION(GB);2;3;54,5;R.SOUSA;C.NEGURI;J.C.CERQUEIRA;1;Hipodromo de San Sebastian;1400;HIERBA
3_12-08-2018;BESSIE WARFIELD(GB);6;3;53,5;A.FIORI;C.MULABEL;J.C.CERQUEIRA;4;Hipodromo de San Sebastian;1400;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
4_12-08-2018;MILLENNIUM FALCON(GB);4;5;64,5;V.M.VALENZUELA (63);C.JEREZANA;J.CALDERON;4;Hipodromo de San Sebastian;2000;HIERBA
4_12-08-2018;NADER;1;5;61;B.FAYOS;REZA PAZOOKI;O.ANAYA;6;Hipodromo de San Sebastian;2000;HIERBA
4_12-08-2018;CAPRICHO DE GUILLE;2;4;60;V.JANACEK;AS.WHYLAR-VALLADOLID;G.ARIZKORRETA;7;Hipodromo de San Sebastian;2000;HIERBA
4_12-08-2018;FALAK(FR);10;3;59;J.GELABERT;C.NANINA;J.CALDERON;8;Hipodromo de San Sebastian;2000;HIERBA
4_12-08-2018;ARNULFO;6;6;59;I.MELGAREJO (57);CESAR ALONSO JUNIOR;C.ALONSO;5;Hipodromo de San Sebastian;2000;HIERBA
4_12-08-2018;POLO DREAM(FR);3;6;55;J.GROSJEAN;ASIER SANCHEZ;A.SANCHEZ M.;11;Hipodromo de San Sebastian;2000;HIERBA
4_12-08-2018;EVERDINA(GB);9;4;53,5;A.FIORI;C.SHUMOOCK;J.C.CERQUEIRA;3;Hipodromo de San Sebastian;2000;HIERBA
4_12-08-2018;ARGALY;11;12;53;R.C.MONTENEGRO;C.GUTIERREZ LA SERNA;E.PUENTE;2;Hipodromo de San Sebastian;2000;HIERBA
4_12-08-2018;CURILLINES;7;4;53;C.A.LOAIZA;C.ROBER;R.AVIAL S.;10;Hipodromo de San Sebastian;2000;HIERBA
4_12-08-2018;QUIMERA(GB);8;6;52,5;N.DE JULIAN (53,5);C.JM;E.PUENTE;12;Hipodromo de San Sebastian;2000;HIERBA
4_12-08-2018;TARFA(FR);12;4;52;F.MARTINEZ (52,5);C.LAGUNILLA;A.SANCHEZ M.;1;Hipodromo de San Sebastian;2000;HIERBA
4_12-08-2018;LYRIC BALLAD(GB);5;8;51;M.MONCEAUX (49,5);PAULO ALVES JUNIOR;H.PEREIRA;9;Hipodromo de San Sebastian;2000;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
5_12-08-2018;ANGEL DOWN(GB);4;4;58;J.GELABERT;C.NUNCA SE SABE;G.ARIZKORRETA;5;Hipodromo de San Sebastian;1600;HIERBA
5_12-08-2018;BARBARIGO(IRE);3;4;58;B.FAYOS;C.AGRADO;J.L.MAROTO;8;Hipodromo de San Sebastian;1600;HIERBA
5_12-08-2018;BAROJA(GB);10;5;58;A.WERLE;JUAN PEINADO;E.IMAZ C.;9;Hipodromo de San Sebastian;1600;HIERBA
5_12-08-2018;CEFIRO(IRE);5;6;58;J.L.MARTINEZ;C.LA TOLEDANA;J.L.MAROTO;6;Hipodromo de San Sebastian;1600;HIERBA
5_12-08-2018;DELFMAR;7;6;58;J.GROSJEAN;C.COLISA;J.A.RODRIGUEZ;3;Hipodromo de San Sebastian;1600;HIERBA
5_12-08-2018;DOCTOR OSCAR;2;4;58;V.JANACEK;C.MARBELLA;G.ARIZKORRETA;2;Hipodromo de San Sebastian;1600;HIERBA
5_12-08-2018;NEBRO;9;4;58;N.DE JULIAN;Y.MILITAR;J.P.ESPINOSA;10;Hipodromo de San Sebastian;1600;HIERBA
5_12-08-2018;NORAY(FR);1;6;58;R.SOUSA;ENRIQUE LEON;E.LEON;4;Hipodromo de San Sebastian;1600;HIERBA
5_12-08-2018;BOSTON CHARM(IRE);8;5;56,5;J.L.BORREGO;C.VALLADOLID;G.ARIZKORRETA;12;Hipodromo de San Sebastian;1600;HIERBA
5_12-08-2018;BRUNETA(GB);12;5;56,5;R.C.MONTENEGRO;C.ATERPE;G.ARIZKORRETA;11;Hipodromo de San Sebastian;1600;HIERBA
5_12-08-2018;ARISTODEMUS(IRE);11;3;55;A.FIORI;C.BERNIE;J.C.CERQUEIRA;7;Hipodromo de San Sebastian;1600;HIERBA
5_12-08-2018;METKAIF(GB);6;3;55;J.B.HAMEL;C.ZEBRA;J.LOPEZ;1;Hipodromo de San Sebastian;1600;HIERBA
