Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Programa de Carreras - 7 de febrero de 2018;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23
;;;;;;;Hipódromo;;;;Son;;;Pardo;;;;;;;;
1ª CARRERA;;;;;Premi SALON DE PROVENCE (PREMIUM);;;;;;Ganador;;;Quiniela;;;;Trio;;A las 17:40;;
;;;;;;;;;;;TROTADOR FRANCES;;;;;;;;;;;
Al Trote Enganchado;;;;;Distancia 2.150m.;;PLACA NARANJA - NUMERO NEGRO;;;;Matrícula 30€;;;Forfait % del premio;;Cambio Conductor 18€;;;;;Autostart;
;;;;;4000€ en premios: 1.840 al 1º, 920 al 2º, 480 al 3º, 280 al 4º, 200 al 5º, 160 al 6º, 120 al 7º;;;;;;Para caballos enteros y castrados de 3 y más años, inscritos en el stud book trotador frances fins a 49.999,99;;;;;;;;;;;€
PROPIETARIO;;;Nº;;CABALLO;;He. CONDUCTOR;;;ENTRENADORDISTSCE;ORIGEN;;;SUMASR.AbsR.DistCLASIF.;;;;;;ULTIMA CARRERA;;
Cuadra Es Bessons;;;;1;VELOURS DE BIRAC (FR);;J. BENNASAR R.;S. Gonzalez R.;##;Cc9;Game Jet (fr)-Lady De Dussac (fr;;);35.546;1166;;1166;R-0(17)-D-R-3-0;;06.01.18-R-MN-2050-A-0-J. BENNASAR R.;;
Hermanos Riera Riera;;;;2;AND ONLY VISAIS (FR);;C. RIERA M.;J. Carreras P.;##;Cc8;One And Only (fr)-Pin Up Du Larg;;;18.414;1167;;1167;D-0(17)-5-3-6-2;;21.01.18-D-MAO-2280-A-0-J. CARRERAS P.;;
Cuadra Una Il·lusio Neg;;;;3;AMADEUS JUSKE (FR);DA;P. SEBASTIA S.;A. A. Sebastia C.;##;Cc8;Nuage Noir (fr)-Kalinka D'ariane;;;9.094;1166;;1166;0-2(17)-0-1-4-2;;31.01.18-0-SP-2150-A-0-P. SEBASTIA S.;;
Cuadras Gus;;;;4;AUREL SAINT JUVIN (FR);;F. SERVERA Ll.;F. Servera Ll.;##;Cc8;Giant Cat (fr)-Flamme Danyk (fr);;;45.542;1151;;;5(17)-D;;06.01.18-5-MN-2050-A-1.17.3-Jme. FLUXA;;
Cuadra D'en Ugly;;;;5;CAPTAIN LOCO (FR);;A. FRONTERA;A. Frontera;##;Ca6;Love You (fr)-Petronie De Ba (fr);;;10.440;1185;;;D(17)-D-D-1-1;;31.01.18-D-SP-2150-A-0-A. FRONTERA;;
Cuadra Mauritius;;;;6;BOMORITIUS RINGEAT (FR);;F. BENNASAR;D. M. Pereira;##;Cc7;So Lovely Girl (fr)-Miss Mauritius;;;31.169;1153;;1163;1(17)-4-1-1-0-2;;31.01.18-1-SP-2150-A-1.17.4-F. BENNASAR;;
Peña Bonanza;;;;7;BATTLESHIPS US (FR);;M. MESTRE;R. Orfila C.;##;Cc7;Quilien D'isques (fr)-Maya Jeloca;;;28.420;1168;;;D;;06.01.18-D-MN-2050-A-0-M. MESTRE;;
Cuadra Zulima S.m.;;;;8;VIF ESPOIR (FR);DP;G. BARCELO;G. Barcelo;##;Ca9;Otello Pierji (fr)-Lady Belle (fr);;;43.804;1161;;1171;(17)-4;;26.12.17-4-SP-2150-A-1.17.1-G. BARCELO;;
Cuadra Toni I Joan;;;;9;BARANGO (FR);;J. RIERA S.;A. Janer R.;##;Ca7;Roc Meslois (fr)-Ines Charmante;;;27.016;1172;;1181;06-jul;;31.01.18-7-SP-2150-A-1.18.1-J. RIERA S.;;
Cuadra Mondejar;;;;10;BOLIDE D'OCCAGNES (FR);;G. FUSTER;B. Fuster;##;Cc7;Jag De Bellouet (fr)-Golidore (fr);;;9.340;1162;;1169;0-6(17)-7-5-D-D;;31.01.18-0-SP-2150-A-0-B. LLOBET R.;;
Peña Bar Can Roseta;;;;11;BRUTUS DU GOLFE (FR);D4;A. GARAU;J. Planells C.;##;Ca7;Nobody Du Chene (fr)-Patie De L;;;43.336;1151;;;1-D(17)-2-R-R;;14.01.18-1-SR-1725-H-1.17.9-C. MARCOS;;
Cuadra Borras-frau;;;;12;VEGAS DE BREIZH (FR);;F. ANDREU;A. Janer R.;##;Ca9;Kuadro Wild (fr)-Overseas (fr);;;41.039;1167;;1176;4-3(17)-0-5-0-7;;17.01.18-4-MN-2375-A-1.19.0-J. FLUXA;;
Cuadra Can Segov;;;;13;CABALLO DESBOIS (FR);;B. FUSTER;B. Fuster;##;Cc6;Jackpot Dream (fr)-Openended (f;;;34.600;1169;;1169;D-0(17)-3-6;;31.01.18-D-SP-2150-A-0-G. FUSTER;;
Cuadra Xico I Marc;;;;14;BON LUCERNAIS (FR);D4;J. A. RIERA;F. J. Marimon;##;Cc7;Jag De Bellouet (fr)-Deesse Picho;;;46.056;1132;;1167;0(17)-2-1-1;;14.01.18-0-SR-1750-H-0-F. J. MARIMON;;
Cuadra Sa Marina Slu;;;;15;BORGES (FR);;B. MASCARO;F. J. Sagrera R.;##;Cc7;Prince De Montfort (fr)-Mercedes;;;35.676;1160;;1160;4-2-0(17)-Dm-4m;;31.01.18-4-SP-2150-A-1.17.9-B. MASCARO;;
Cuadra H.m.;;;;16;BON RIEZAIS (FR);;J. C. ROTGER;J. C. Rotger;##;Cc7;Norman Jet (fr)-Karine Mottejean;;;24.830;1155;;1214;0-3(17)-0-2-0-4;;17.01.18-0-MN-2375-A-0-J. C. ROTGER;;
2ª CARRERA;;;;;Premi VALENTINO (PREMIUM);;;;;;Ganador;;;Quiniela;;;;Trio;;A las 18:10;;
Al Trote Enganchado;;;;;Distancia 2.650m.;;PLACA AZUL - NUMERO BLANCO;;;;Matrícula 41€;;;Forfait % del premio;;Cambio Conductor 18€;;;;;Autostart;
;;;;;5500€ en premios: 2.530 al 1º, 1.266 al 2º, 660 al 3º, 384 al 4º, 276 al 5º, 220 al 6º, 164 al 7º;;;;;;De 4 y más años, nacionales de 20.000 / 29.999,99 €.;;;;;;;;;;;
PROPIETARIO;;;Nº;;CABALLO;;He. CONDUCTOR;;;ENTRENADORDISTSCE;ORIGEN;;;SUMASR.AbsR.DistCLASIF.;;;;;;ULTIMA CARRERA;;
Antonio Gelabert Olive;;r;;1;ART DE BINITAREF;;J. BAUZA B.;A. Gelabert O.;##;Cn8;Dexter Tilly (se)-Fosca De Lluna;;;28.228;1150;;1174;(17)-1-0-D-1-1-6;;06.11.17-1-SP-2650-A-1.18.6-J. BAUZA B.;;
Cuadra Herald;;;;2;BEN MERVAL;DP;B. BENNASAR;B. Bennasar;##;Cc7;Never More (fr)-Lyn Del Norte;;;29.948;1169;;1173;5-5(17)-D-1-2-1;;17.01.18-5-MN-2375-A-1.19.2-B. BENNASAR;;
