;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_23-09-2018;MISS TUFIA;2;2 años;58;B.FAYOS;MARTEL SANCHEZ;M.GOMES;10;HIPODROMO LA ZARZUELA;1500;HIERBA
4_23-09-2018;ALADIERNA;8;2 años;56;C.A.LOAIZA;BLOKE;E.LEON;1;HIPODROMO LA ZARZUELA;1500;HIERBA
4_23-09-2018;CATANIA;99;2 años;56;F.JIMENEZ;LA TALETA;B.NASARI;11;HIPODROMO LA ZARZUELA;1500;HIERBA
4_23-09-2018;KEREVIA (FR);9;2 años;56;R.SOUSA;ASTURLEÑA;J.LOPEZ;3;HIPODROMO LA ZARZUELA;1500;HIERBA
4_23-09-2018;MESENIA (IRE);5;2 años;56;J.GELABERT;DUQUE DE ALBURQUERQUE;J.M.OSORIO;4;HIPODROMO LA ZARZUELA;1500;HIERBA
4_23-09-2018;PEÑALARA;6;2 años;56;J.L.BORREGO;ORO;F.PEREZ;7;HIPODROMO LA ZARZUELA;1500;HIERBA
4_23-09-2018;SIGRID;3;2 años;56;J.L.MARTINEZ;ODISEA;C.FERNANDEZ;6;HIPODROMO LA ZARZUELA;1500;HIERBA
4_23-09-2018;SUPER EVA;10;2 años;56;I.BORREGO;YEGUADA AGF;G.ARIZKORRETA;9;HIPODROMO LA ZARZUELA;1500;HIERBA
4_23-09-2018;UMA;4;2 años;56;J.GROSJEAN;PALOMARES;J.A.RODRIGUEZ;2;HIPODROMO LA ZARZUELA;1500;HIERBA
4_23-09-2018;VETONA (IRE);1;2 años;56;V.M.VALENZUELA;TOLOSANA;J.L.MAROTO;5;HIPODROMO LA ZARZUELA;1500;HIERBA
4_23-09-2018;ZINZA;7;2 años;56;V.JANACEK;ATERPE;G.ARIZKORRETA;8;HIPODROMO LA ZARZUELA;1500;HIERBA
