ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_31-01-2021;MAURO;4;3 años;57;R.SOUSA;LOUGHTOWN STUD LTD.;E.LEON;5;Hipódromo de La Zarzuela;1700;ARENA-FIBRA
1_31-01-2021;MOON DE VALIENTE;1;3 años;57;M.FERNANDEZ;YEGUADA VALIENTE;I.LOPEZ;3;Hipódromo de La Zarzuela;1700;ARENA-FIBRA
1_31-01-2021;OBELIX DA TORRE (POR);5;3 años;57;N.DE JULIAN;AGRO CARVALHO;M.CARVALHO;2;Hipódromo de La Zarzuela;1700;ARENA-FIBRA
1_31-01-2021;BALLET STAR;3;3 años;55,5;J.L.MARTINEZ;ANJOS SEVAJENS;D.TEIXEIRA;1;Hipódromo de La Zarzuela;1700;ARENA-FIBRA
1_31-01-2021;KALAHARI (FR) (a);2;3 años;55,5;B.FAYOS;SEVILLA;A.SOTO;4;Hipódromo de La Zarzuela;1700;ARENA-FIBRA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_31-01-2021;WE KNOW (IRE);1;6 años;62;SR. SARABIA, D.A.;RIO CUBAS;E.LEON;1;Hipódromo de La Zarzuela;2400;ARENA-FIBRA
2_31-01-2021;BRISCOLA (GB);6;6 años;60,5;J.L.MARTINEZ;ALEGRE;D.FARLETE;3;Hipódromo de La Zarzuela;2400;ARENA-FIBRA
2_31-01-2021;NICE TO MEET YOU (ITY);4;7 años;60;A.F.CHAVEZ (56);JACOPO TELLINI;M&M RACING;6;Hipódromo de La Zarzuela;2400;ARENA-FIBRA
2_31-01-2021;TONDERO (FR);2;4 años;59;L.FONSECA (56);SIEMPRE FANI;T.MARTINS;2;Hipódromo de La Zarzuela;2400;ARENA-FIBRA
2_31-01-2021;ANODINO (FR);5;5 años;58;R.SOUSA;NOVAS GLORIAS;D.TEIXEIRA;5;Hipódromo de La Zarzuela;2400;ARENA-FIBRA
2_31-01-2021;SOUND OF VICTORY (IRE);3;5 años;58;R.RAMOS;ELMO;M.A.MARIN;4;Hipódromo de La Zarzuela;2400;ARENA-FIBRA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3_31-01-2021;MANUMART (GB)(9000);3;4 años;59;J.GELABERT;CALEJAÑA;A.REMOLINA;6;Hipódromo de La Zarzuela;1700;ARENA-FIBRA
