Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19
[image];;;;;;;;;;;;;;[image];;;;
Programa de la 4ª carrera de caballos a celebrarse en el Hipódromo de Son Pardo el próximo miércoles;;;;;;;;;;;;;;;y que determina el caballo;;;
;;;;;;;;;ganador para la apuesta del Lototurf.;;;;;;;;;
;;;;CONCURSO;;;;;;;;;;MIÉRCOLES;;;;
;;;;13/19;;;;;;;;;;20/02/19;;;;
4ª CARRERA;;;Premi FET DE GEL (PREMIUM);;;;;;Ganador;;Quiniela;;;Trio;;;A las 19:47;
Al Trote Enganchado;;;Distancia 2.150m.;;;PLACA NARANJA - NUMERO NEGRO;;;Matrícula 38€;;Forfait 20% del premio;;;Cambio Conductor 18€;;;;Autostart
5000€ en premios: 2.300 al 1º, 1.150 al 2º, 600 al 3º, 350 al 4º, 250 al 5º, 200 al 6º, 150 al 7º;;;;;;;;;De 4 y más años, nacionales de 15.000 / 24.999,99 €.;;;;;;;;;
PROPIETARIO;Nº;;CABALLO;;He.;CONDUCTOR;ENTRENADOR;DIST;SCE;ORIGEN;SUMAS;R.Abs;R.Dist;CLASIF.;;ULTIMA CARRERA;;
Cuadra Can Garrit;;1;ESPIGA DES LLORER;;D4;A. ALZAMORA;A. Alzamora;;2150 Ec5;Jack The Ripper (fr)-Ohlala Tirety;20.784;1.15.9;1.16.6;6-R-6-3(18)-6-7;;13.02.19-6-SP-2650-A-1.18.5-A. ALZAMORA;;
Germanes Riera Andreu;;2;CARRITX SR;;;G. RIERA;A. Vaquer S.;;2150 Cc7;Eole (fr)-Edda Vg (it);22.152;1.16.6;1.17.2;2-0-7-0(18)-3-6;;09.02.19-2-MN-1725-A-1.16.9-J. A. RIERA;;
Miquel Prats Estelrich;;3;BROK;;;C. CRUELLAS;M. Prats E.;;2150 Cc8;Lodbrok H.h. (se)-Artarita Plu;17.364;1.17.3;1.17.8;5-6(18)-5-0-D-R;;09.02.19-5-MN-1725-A-1.17.4-M. A. COLL;;
Margarita Riera Fullana;;4;BLACKFLY HF;;D4;B. LLOBET R.;B. Llobet R.;;2150 Cc8;Alesi Om (it)-Super Bowls (gb);22.587;1.16.4;1.17.5;0-0-6(18)-5-4-0;;09.02.19-0-MN-2050-A-0-A. GOMILA A.;;
Juan Jose Cladera Gonzalez;;5 E1;DIVA CL;;;G. ANDREU;J. Cladera M.;;2150 Ec6;Zola Boko (se)-Nadiva Cl;21.342;1.16.7;1.16.7;0-7-3-0(18)-6-6;;13.02.19-0-SP-2650-A-0-G. ANDREU;;
Cuadra Veloz;;6;DRAC MAGIC;;;A. VAQUER S.;A. Vaquer S.;;2150 Ca6;Oh Deco Sb-Espira Des Bosc;23.120;1.16.0;1.16.6;0-0-0-0-0-7;;13.02.19-0-SP-2650-A-0-B. BENNASAR;;
Cuadra C'an Pou S.l.;;7;ALBOR NEULA;;D4;B. MASCARO;H. Rigo;;2150 Cc9;Emil Somolli (se)-Constansa Neula;22.194;1.16.9;1.16.9;0-D(18)-2-5-3-0;;23.01.19-0-SP-2650-A-0-A. POU H.;;
Cuadra H. M.;;8;ERROL FLYNN HM;;;J. C. ROTGER;J. C. Rotger;;2150 Cc5;S J's Photo (us)-Novelle As (se);21.811;1.16.2;1.16.6;4-6-5-1-1(18)-D;;13.02.19-4-SP-2650-A-1.18.4-J. C. ROTGER;;
Hermanos Fluxa-gomila;;9;DE SANKT PAULI;;DP;Jme. FLUXA;M. Fluxa S.;;2150 Cn6;Shaft (se)-Sirena Chicco;24.182;1.16.0;1.16.0;0-4-0-2(18)-6-4;;13.02.19-0-SP-2650-A-0-Jme. FLUXA;;
Bartolome Serra Amengual;;10;EMOCION BS;;DA;F. BENNASAR;F. Bennasar;;2150 Cc5;Repeat Love (fr)-Novacion Jr;17.019;1.15.8;1.15.9;2-1-2(18)-D-4-2;;30.01.19-2-SP-2150-A-1.17.0-F. BENNASAR;;
Juan Jose Cladera Gonzalez;;11 E1;CADIVA CL;;;A. VALLS;J. Cladera M.;;2150 Ec7;From Above (se)-Nadiva Cl Ia;24.861;1.16.4;1.16.4;3-0-1-4(18)-0-0;;13.02.19-3-SP-2650-A-1.18.4-A. VALLS;;
Bernardo Jaume Cirer;;12;BOS BONY;;D4;J. A. RIERA;A. Janer R.;;2150 Cc8;Juliano Star (fr)-My Love;21.028;1.16.1;1.17.1;D-D-D(18)-3-0-R;;23.01.19-D-SP-2650-A-0-F. BENNASAR;;
[image];;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;[image]
