;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_17-03-2019;OSOONDO (IRE);99;3 años;60;V.JANACEK;MARTUL;A.IMAZ,B.;6;Hipódromo de La Zarzuela;1500;HIERBA
4_17-03-2019;GREENBACK BOOGIE (IRE);4;3 años;59;D.FERREIRA (56,5);PALCO 7;J.L.MAROTO;8;Hipódromo de La Zarzuela;1500;HIERBA
4_17-03-2019;NAPANOOK (GB);2;3 años;58;J.L.MARTINEZ;LA TOLEDANA;J.L.MAROTO;10;Hipódromo de La Zarzuela;1500;HIERBA
4_17-03-2019;CHAPMAN BILLY (GB);7;3 años;57;R.SOUSA;MARQUES DE MIRAFLORES DE SA;E.LEON;5;Hipódromo de La Zarzuela;1500;HIERBA
4_17-03-2019;LYNDARI (FR);1;3 años;57;J.GROSJEAN;INGUIS;E.LEON;2;Hipódromo de La Zarzuela;1500;HIERBA
4_17-03-2019;RESACON (GB);99;3 años;57;N.DE JULIAN;FORMENTOR;J.M.OSORIO;3;Hipódromo de La Zarzuela;1500;HIERBA
4_17-03-2019;SWORD OF GOLD (GB);3;3 años;57;M.E.FERNANDEZ;SALVADOR MARQUEZ;O.ANAYA;4;Hipódromo de La Zarzuela;1500;HIERBA
4_17-03-2019;LEGIONARIO (GB);6;3 años;56;J.GELABERT;SANTA BARBARA;J.M.OSORIO;12;Hipódromo de La Zarzuela;1500;HIERBA
4_17-03-2019;MAYRO (GB);9;3 años;56;A.FIORI;CELSO MENDEZ;M.ALVAREZ;11;Hipódromo de La Zarzuela;1500;HIERBA
4_17-03-2019;DANUBIAN BLUE (FR);8;3 años;55,5;I.MELGAREJO;AGRADO;J.C.CERQUEIRA;9;Hipódromo de La Zarzuela;1500;HIERBA
4_17-03-2019;DREAM OF GLORY (FR);5;3 años;55,5;B.FAYOS;M'HAMMED KARIMINE;A.SOTO;1;Hipódromo de La Zarzuela;1500;HIERBA
4_17-03-2019;MAGIC STAR (POR);10;3 años;54,5;R.N.VALLE;CARRUYO;J.C.CERQUEIRA;7;Hipódromo de La Zarzuela;1500;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
