;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
4_28-03-2019;TALENTUM (GB);99;7;62;M. MONCEAUX (60);NANINA;J. CALDERON;6;Gran Hipódromo de Andalucía;1400;ARENA
4_28-03-2019;NICEA;99;4;62;N. DE JULIAN;EL FARGUE;J. SALGUERO;4;Gran Hipódromo de Andalucía;1400;ARENA
4_28-03-2019;JAROCHO;5;7;61;E.J. ARGUINZONES (59);JAYJO;G. MADERO;3;Gran Hipódromo de Andalucía;1400;ARENA
4_28-03-2019;STAMP OF APPROVAL (IRE);6;7;61;R.H. HUAYAS;ALEGRE;R.H. HUAYAS;9;Gran Hipódromo de Andalucía;1400;ARENA
4_28-03-2019;MACHOCAMACHO (IRE);2;4;60;F. JIMENEZ;SIEMPRE FANI;I. LOPEZ;10;Gran Hipódromo de Andalucía;1400;ARENA
4_28-03-2019;FARAMOND;3;7;58,5;I. MELGAREJO (56) (G. Roja);NANINA;J. CALDERON;7;Gran Hipódromo de Andalucía;1400;ARENA
4_28-03-2019;MILL VALLEY (IRE);1;5;56;J. GELABERT;LAS AGUILAS;A. SANCHEZ C.;8;Gran Hipódromo de Andalucía;1400;ARENA
4_28-03-2019;KIRIKKALE (FR);7;8;55;D. FERREIRA (54);MAIA LIDADOR;H. OLIVEIRA;2;Gran Hipódromo de Andalucía;1400;ARENA
4_28-03-2019;JASMINE (POR);8;5;55;R.N. VALLE;QUINTA DAS FIGUEIRAS;G. VAZ;1;Gran Hipódromo de Andalucía;1400;ARENA
4_28-03-2019;INTERLAKEN (FR);4;4;54,5;V. JANACEK (54,5) (G. Blanca);NANINA;J. CALDERON;5;Gran Hipódromo de Andalucía;1400;ARENA
