;;;;;;;;;;;
;;;;;;;;;;;
Nº;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_03-03-2019;BARENTON (FR);6;5 años;62;F.JIMENEZ;SILVER;D.TEIXEIRA;1;Hipódromo de La Zarzuela;1800;HIERBA
4_03-03-2019;PHOTONICS (IRE);4;4 años;61,5;R.N.VALLE;ZEZINHO;J.C.CERQUEIRA;4;Hipódromo de La Zarzuela;1800;HIERBA
4_03-03-2019;ARISTODEMUS (IRE);8;4 años;61;M.E.FERNANDEZ;BERNIE;J.C.CERQUEIRA;3;Hipódromo de La Zarzuela;1800;HIERBA
4_03-03-2019;COLIBRI (IRE);7;5 años;59;B.FAYOS;BARRA SUR;L. ENNOUNI;7;Hipódromo de La Zarzuela;1800;HIERBA
4_03-03-2019;URBAN ROCK (IRE);11;4 años;58,5;J.GELABERT;ODON;M.HERNANDEZ;12;Hipódromo de La Zarzuela;1800;HIERBA
4_03-03-2019;DIEULEFIT (IRE);1;4 años;57,5;R.SOUSA;ONDARRETA;J.C.CERQUEIRA;11;Hipódromo de La Zarzuela;1800;HIERBA
4_03-03-2019;DON MIGUEL (FR);5;5 años;57;J.GROSJEAN;4 C;J.A.RODRIGUEZ;6;Hipódromo de La Zarzuela;1800;HIERBA
4_03-03-2019;ALEJANDRIA (FR);3;5 años;56,5;V.JANACEK;JARILLA;F.PEREZ;5;Hipódromo de La Zarzuela;1800;HIERBA
4_03-03-2019;OZARKBLUE (GB);2;4 años;55,5;J.L.BORREGO;ALEGRIA;J.C.ROSELL;2;Hipódromo de La Zarzuela;1800;HIERBA
4_03-03-2019;MEDICEAN BLUE (GB);9;4 años;55,5;J.L.MARTINEZ;TIZIANO;J.L.MAROTO;10;Hipódromo de La Zarzuela;1800;HIERBA
4_03-03-2019;BSHEER (FR);12;4 años;55,5;A.FIORI;E. PEREZ GUZMAN;J.A.RODRIGUEZ;9;Hipódromo de La Zarzuela;1800;HIERBA
4_03-03-2019;DELTA CRUCIS (USA);10;8 años;55;J.M.TORO;LAS AGUILAS;P. P. DIAZ;8;Hipódromo de La Zarzuela;1800;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
