;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
4_30-05-2019;KISMAR (IRE);5;6;62;R. SOUSA;ROYAL GAIT;J.A. RODRIGUEZ;9;Gran Hipódromo de Andalucía;2400;HIERBA
4_30-05-2019;ARMINIO;1;5;61,5;V. JANACEK;NAZARENA;J. SALGUERO;6;;;
4_30-05-2019;RITMICA (FR);2;4;60,5;I. MELGAREJO (59);BIENVENIDO MORENO;B. MORENO;4;;;
4_30-05-2019;LORD OF WESTBURY (IRE);7;7;55,5;J. GELABERT;LAS AGUILAS;A. SANCHEZ C.;3;;;
4_30-05-2019;FARSAMAN (FR);3;4;55,5;F. JIMENEZ;AGRO CARVALHO;B. SAMPAIO;5;;;
4_30-05-2019;MY FERLOMA (FR);6;6;55;D. FERREIRA (54);MENDES E SA COUTO;H. OLIVEIRA;2;;;
4_30-05-2019;JASMINE (POR);99;5;53,5;D. DUARTE;QUINTA DAS FIGUEIRAS;G. VAZ;1;;;
4_30-05-2019;KIRIKKALE (FR);99;8;53;E.J. ARGUINZONES;MAIA LIDADOR;H. OLIVEIRA;7;;;
4_30-05-2019;NASLI DE CASTILLA;99;4;51,5;M.E. FERNANDEZ (52,5);STAND CARMO;L.A. OLIVEIRA;8;;;
4_30-05-2019;ASCANIO;4;5;51;N. GARCIA;HELISABEL;J. SALGUERO;10;;;
;;;;;;;;;;;
;;;;;;;;;;;
