;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_06-08-2020;ANFION;5;3 años;62;J.GELABERT;DUQUE DE ALBURQUERQUE;J.M.OSORIO;9;Hipódromo de La Zarzuela;1100;ARENA-FIBRA
4_06-08-2020;INTOCABLE (IRE);2;3 años;61;J.L.BORREGO;ALEX Y SOFIA;P.OLAVE;2;Hipódromo de La Zarzuela;1100;ARENA-FIBRA
4_06-08-2020;HARD FACE;4;3 años;60,5;I.MELGAREJO (59);NUNCA SE SABE;A.SOTO;8;Hipódromo de La Zarzuela;1100;ARENA-FIBRA
4_06-08-2020;LAJEEN (GB);3;4 años;59,5;V.JANACEK;JACAL;A.TSERETELI;5;Hipódromo de La Zarzuela;1100;ARENA-FIBRA
4_06-08-2020;CAPLA ROCK (IRE);8;4 años;58,5;R.SOUSA;CANARIAS;O.ANAYA;7;Hipódromo de La Zarzuela;1100;ARENA-FIBRA
4_06-08-2020;MISS OSIER (GB);1;6 años;57,5;L.FONSECA (55);SCUDERIA DREAMS ROAD;M.TELLINI;6;Hipódromo de La Zarzuela;1100;ARENA-FIBRA
4_06-08-2020;YULIA;10;3 años;56,5;J.L.MARTINEZ;LAS ROZAS;M.J.PEREZ;4;Hipódromo de La Zarzuela;1100;ARENA-FIBRA
4_06-08-2020;SHINING TORCH (IRE);9;4 años;53,5;B.FAYOS (55,5);SOÑADOR;B.RAMA;3;Hipódromo de La Zarzuela;1100;ARENA-FIBRA
4_06-08-2020;DIBOY (FR);7;6 años;53;M.E.FERNANDEZ;EL BILLETERO;O.ANAYA;10;Hipódromo de La Zarzuela;1100;ARENA-FIBRA
4_06-08-2020;MYALDAGOBA;6;5 años;52;N.DE JULIAN;COMETA;J.C.ROSELL;1;Hipódromo de La Zarzuela;1100;ARENA-FIBRA
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
