Column1;Column2;[image];Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Hipódromo de Manacor 04-12-2020;Column16;Column17
1ª CARRERA;;Premi TIERCE ROYAL);;;;;;;;;;;;;;A las 18:00
Al Trote Enganchado;;Distancia 2.050m;;PLACA BLANCA - NÚMERO NEGRO;;;Matrícula 22€;;Forfait 20% del premio;;Cambio Conductor 18€;;;;;Autostart
;;1300€ en premios: 598 al 1º, 298 al 2º, 156 al 3º, 92 al 4º, 64 al 5º, 52 al 6º, 40 al 7º;;;;;De 3 i mes anys, inscrits a l'stud Book Frances, Danes, Suec, Italia i America de 25.000 / 49.999,99 €.;;;;;;;;;
PROPIETARIO;Nº;CABALLO;He.;CONDUCTOR;ENTRENADORDIST;;SCE;ORIGEN;SUMAS;;R.Abs;;R.Dist CLASIF.;ULTIMA CARRERA;;
Jose Carlos Torres Jimenez;1;ELITE D'OURVILLE (FR);;M. MATAMALAS;M. Genovart A;;. 2050 Ec6;Pine Chip Wood (fr)-Patty De Fio (fr);27.990;;1.16.7;;D;29.11.20-D-MN-2050-A-0-C. RIERA M.;;
Cuadra Toni I Joan;2;DILEMNE DE CANCHY (FR);;A. FRONTERA;A. Janer R.;;2050 Cc7;Rocklyn (fr)-Out Of Africa (fr);34.410;;1.16.0;;;Debutant;;
Cuadra J R;3;CIVELLE DU PASSAGE (FR);;A. RIERA B.;A. Riera B.;;2050 Ea5;Orage Du Noyer (fr)-Olympe Du Passage (fr);36.340;;1.15.7;1179;3-D-0-3-0-6;29.11.20-3-MN-2050-A-1.17.9-C. ROIG M.;;
Cuadra Froilan;4;BALSAMO BELLO (FR);;J. BELLO;J. Bello;;2050 Cc9;Love You (fr)-Nitouche (fr);36.368;;1.15.8;1189;6-3-R-3-0-D;22.11.20-6-SP-2200-A-1.17.4-J. BELLO;;
Quadra Maria Del Mar;5;DOLMEN WILLIAMS (FR);;F. ANDREU;F. Andreu;;2050 Cc7;Queroan De Jay (fr)-Harmonie Williams (fr);40.754;;1.15.9;;0-0-R-0-5-0;29.11.20-0-MN-2050-A-0-F. ANDREU;;
Cuadra Borras - Frau;6;BEST RIVER (FR);;A. VALLS;A. Janer R.;;2050 Ec9;Pomerol De Laumac (fr)-Ogusa De La Merite (fr);44.582;;1.15.9;1173;5-4-4-4-0-3;29.11.20-5-MN-2050-A-1.18.6-Mª. LLINAS;;
Peña Bar Can Roseta;7;BRUTUS DU GOLFE (FR);D4;A. GARAU;V. Lopez L.;;2050 Ca9;Nobody Du Chene (fr)-Patie De La Vallee (fr);45.314;;1.15.1;1170;0-D-R-5-4-0;29.11.20-0-MN-2050-A-0-M. SERVERA D.;;
