ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
1_19-01-2020;PAINTBALL (FR);1;3;59;V. JANACEK;ECURIE DES MOUETTES;R. MARTIN V.;5;Gran Hipódromo de Andalucía;1500;ARENA
1_19-01-2020;STREAKER (GB);2;3;58;J. GELABERT;MEDINA DIAZ;O. ANAYA;1;Gran Hipódromo de Andalucía;1500;ARENA
1_19-01-2020;ROMPEVALLAS;3;3;55;N. GARCIA (53,5);LOS NIÑOS;J. SALGUERO;6;Gran Hipódromo de Andalucía;1500;ARENA
1_19-01-2020;LITTLE LULU (IRE);5;3;53,5;C.A. LOAIZA (53);PAULO ALVES JUNIOR;H. PEREIRA;2;Gran Hipódromo de Andalucía;1500;ARENA
1_19-01-2020;VELETA;4;3;53,5;N. DE JULIAN;SEPTIMO ARTE;M.J. PEREZ;3;Gran Hipódromo de Andalucía;1500;ARENA
1_19-01-2020;VIRI ETOILE (FR);6;3;53,5;R.N. VALLE;JAYJO;G. MADERO;4;Gran Hipódromo de Andalucía;1500;ARENA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
2_19-01-2020;BANK GUARANTEE (USA);6;8;61;V. JANACEK;ELEVAGE LA REVERDITE;T. MARTINS;2;Gran Hipódromo de Andalucía;1800;HIERBA
2_19-01-2020;KHALAAS (GB);99;8;61;C.A. LOAIZA (58,5);TINERFE;O. ANAYA;7;Gran Hipódromo de Andalucía;1800;HIERBA
2_19-01-2020;CLAIM THE LADY (IRE);5;4;58;J. GELABERT (G. Roja);TINERFE;O. ANAYA;4;Gran Hipódromo de Andalucía;1800;HIERBA
2_19-01-2020;TRECE (IRE);2;4;57,5;R.N. VALLE;BELEN;J.C. CERQUEIRA;5;Gran Hipódromo de Andalucía;1800;HIERBA
2_19-01-2020;FLIGHT TO DUBAI (IRE);1;6;56;F. JIMENEZ;RIO CUBAS;I. LOPEZ;6;Gran Hipódromo de Andalucía;1800;HIERBA
2_19-01-2020;CITY MASTER (GB);3;4;55;L. FONSECA;MARISOL;J.C. CERQUEIRA;8;Gran Hipódromo de Andalucía;1800;HIERBA
2_19-01-2020;YOUNG BERNIE (GB);4;5;55;N. GARCIA (53,5);ESPECTACULO;H. PEREIRA;3;Gran Hipódromo de Andalucía;1800;HIERBA
2_19-01-2020;DREAM CHICK (IRE);7;4;53,5;M. HRUBOSOVA (52);ZEZINHO;J.C. CERQUEIRA;1;Gran Hipódromo de Andalucía;1800;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
3_19-01-2020;ROYAL DESTINY (GB);3;4;62;J.L. MARTINEZ;STAND CARMO;G. VAZ;3;Gran Hipódromo de Andalucía;1500;HIERBA
3_19-01-2020;EMILE (GB);4;4;62;F. JIMENEZ;SIEMPRE FANI;T. MARTINS;4;Gran Hipódromo de Andalucía;1500;HIERBA
3_19-01-2020;HATHA (GB);7;4;61,5;L. FONSECA;A GRANXA;H. PEREIRA;6;Gran Hipódromo de Andalucía;1500;HIERBA
3_19-01-2020;ARMY (GB);6;4;61,5;R.N. VALLE;ZEZINHO;J.C. CERQUEIRA;2;Gran Hipódromo de Andalucía;1500;HIERBA
3_19-01-2020;POPOTA (GB);5;5;59,5;J. GELABERT;CELSO MENDEZ;M. ALVAREZ;8;Gran Hipódromo de Andalucía;1500;HIERBA
3_19-01-2020;ZINZA;8;4;59,5;C.A. LOAIZA (57,5);GRAN ELENCO;J.C. ROSELL;7;Gran Hipódromo de Andalucía;1500;HIERBA
3_19-01-2020;BANNABY'S DREAM;2;5;57;N. DE JULIAN;LAS AGUILAS;F. RODRIGUEZ;5;Gran Hipódromo de Andalucía;1500;HIERBA
3_19-01-2020;NOVELA (IRE);1;6;56,5;V. JANACEK;REAPERTURA;A. TSERETELI;1;Gran Hipódromo de Andalucía;1500;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
4_19-01-2020;COSTA ESMERALDA (FR);4;6;62;C.A. LOAIZA (60);ZEBRA;M. TELLINI;10;Gran Hipódromo de Andalucía;1500;HIERBA
4_19-01-2020;KIKO (GB);9;5;62;F. JIMENEZ;RIO CUBAS;I. LOPEZ;9;Gran Hipódromo de Andalucía;1500;HIERBA
4_19-01-2020;FERJA (GB);1;5;60;J. GELABERT;AFRICA;J.M. OSORIO;7;Gran Hipódromo de Andalucía;1500;HIERBA
