Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18
;;;[image];;;;;;;;;;[image];;;;
;;;Programa de la 4ª carrera de caballos a celebrarse en el Hipódromo de Son Pardo el próximo miércoles;;;;;;;;;;;;y que determina;;
;;;;;;;;el caballo ganador para la apuesta del Lototurf.;;;;;;;;;
;;;CONCURSO;;;;;;;;;;;MIÉRCOLES;;;
;;;07/20;;;;;;;;;;;29/01/2020;;;
4ª CARRERA;;;Premi NUMBELA (PREMIUM);;;;;Ganador;;Quiniela;;;Trio;;;A las 19:30;
Al Trote Enganchado;;;Distancia 2.650m.;;;;;PLACA NARANJA - NUMERO NEGROMatrícula 30€;;Forfait 20% del premio;;;Cambio Conductor 18€;;;;Autostart
;;;4000€ en premios: 1.840 al 1º, 920 al 2º, 480 al 3º, 280 al 4º, 200 al 5º, 160 al 6º, 120 al 7º;;;;;De 3 y más años nacionales de 3.000 / 5.999'99€.;;;;;;;;;
PROPIETARIO;Nº;;CABALLO;He.;CONDUCTOR;ENTRENADOR;DIST;SCE;ORIGEN;SUMAS;R.Abs;R.Dist;CLASIF.;ULTIMA CARRERA;;;
Cuadra Son Peladí;;1;DALLAS VICTORY;;Mª. A. GELABERT R. Matas M.;;;2650 Cc7;Musigny Degato (se)-Miss Victory;5.606;1.17.6;1.19.4;0-0-0(19)-0-6-4;15.01.20-0-SP-2150-A-0-Mª. A. GELABERT;;;
Cuadra Balear;;2;FALCO BRANCH;;A. FRONTERA;A. Frontera;;2650 Ca5;Olgado (fr)-Urania Branch;4.282;1.17.8;1.17.8;(19)-5-1-1-7-1-1;31.05.19-5-SP-2650-A-1.17.8-G. ANDREU;;;
Cuadra H. M.;;3;GALACTIC;DA;J. A. RIERA;P. Estelrich;;2650 Ca4;He's A Gangster (se)-Oree Des Jacquets (fr);5.012;1.16.9;;1-1(19)-2-1-2-D;15.01.20-1-SP-2150-A-1.16.9-J. A. RIERA;;;
Antonio Llull Quetglas;;4;FURIA DES NELLS;;Mª. F. SUREDA;A. Massot;;2650 Ec5;Daguet Rapide (it)-Neu Exotica;4.002;1.19.0;;0-D(19)-0-6-D-0;15.01.20-0-SP-2150-A-0-A. MASSOT;;;
Estables Biniarroga;;5;FLOR DE S'HORT;DP;P. SEBASTIA E.;P. Sebastia E.;;2650 Ec5;Namado (fr)-Nika De S'hort;4.198;1.17.5;;0-0(19)-0-D-0-7;15.01.20-0-SP-2150-A-0-P. SEBASTIA E.;;;
Cuadra Rigo Ll;;6;GUAPETA PR;;F. BENNASAR;M. Salleras;;2650 Ea4;Treboli Spa-Jenma R;5.406;1.17.1;1.19.5;D-3(19)-3-5-D-1;15.01.20-D-SP-2150-A-0-J. RIGO LL.;;;
Cuadras Es Cabanells;;7;GALA DES NELLS;;G. RIERA;G. Riera;;2650 Ec4;Exploit Caf (it)-Conrads Ellen (se);5.670;1.16.8;;3-5(19)-1-5-4-5;15.01.20-3-SP-2150-A-1.16.8-G. RIERA;;;
Cuadra Sa Fonda, S.l.;;8;GAME STAR;;T. BOSCH;T. Bosch;;2650 Cc4;From Above (se)-Star Des Nells;3.588;1.17.8;1.21.4;D(19)-2-1-1-1-2;15.01.20-D-SP-2150-A-0-G. ANDREU;;;
Cuadra Ca'n Duran;;9 E1;ELECTRA DURAN;;A. VAZQUEZ P.;A. Vazquez P.;;2650 Ec6;Olgado (fr)-Veronica (no);4.972;1.18.0;1.19.6;1(19)-1-D-7-3-D;08.01.20-1-SP-2150-A-1.18.0-A. VAZQUEZ P.;;;
Cuadra Ca'n Duran;;10 E1;FORTUNA DURAN;;Jme. FLUXA;P. Puigserver;;2650 Cc5;Silver Mixo-Naronica;4.490;1.17.4;1.19.3;0(19)-1-2-3-0-2;08.01.20-0-SP-2150-A-0-Jme. FLUXA;;;
Ecurie Es Canyaret S.l.;;11;EVER JADA;;J. RIERA S.;A. Janer R.;;2650 Ca6;Orateur (fr)-One Kiss Melody (fr);4.802;1.16.9;1.19.8;4-7-D(19)-0-R-D;15.01.20-4-SP-2150-A-1.16.9-J. RIERA S.;;;
Cuadra Jg;;12;GEL D'ABRIL JG;;B. JAUME;M. Jaume C.;;2650 Cc4;Warren Boko (se)-Saura;4.054;1.17.0;1.19.4;3(19)-2-2-6-7-4;15.01.20-3-SP-2150-A-1.17.4-B. JAUME;;;
