Column1;[image];Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;[image]_1;Column12;Column13;[image]_2;Column15;[image]_3;Column17;[image]_4
;;;;;;;;;;;;;;;;[image];[image]
;;;;;;;;;;;;[image];;;;;
;Programa de la 4ª carrera de caballos a celebrarse en el Hipodromo de la Zarzuela (Madrid) el próximo;;;;;;;;;;;;;;;;
;;;;domingo;;;;;;;;y que determina el caballo ganador para la apuesta del Lototurf.;;;;;
;CONCURSO;;;;;;;;;;;DOMINGO;;;;;
;17/2020;;;;;;;;;;;15/03/2020;;;;;
;4ª CARRERA - Premio Victoriano Cimarras (Hándicap Dividido 1ª parte) - 11.050 Euros a repartir - 2.100 mts.;;;;;;;;;;;Hora: 13:15 h.;;;;;
Nº;CABALLO;;;SEXO;EDAD;PESO;JINETE;;CUADRA;PREPARADOR;;CAJON;;;Ult. Actuac.;;
1;RING CYCLE (GB);;;4 años;62;R.N.VALLE;BOLAK;J.C.CERQUEIRA;;10;3;,01,04,05,;;;[8,7,7,8,3];;
2;URBAN ROCK (IRE);;;5 años;59,5;V.M.VALENZUELA (58);ODON;L. ENNOUNI;;4;8;,01,03,03,;;;[6,3,5,6,7];;
3;SHAHANIAN (FR);;-2;4 años;59;R.SOUSA;MARQUES DE MIRAFLORES DE SAN;AE.LEON;;11;;07,01,03,;;D;[6,7,5,4,7];;
4;BARENTON (FR);;;6 años;57,5;V.JANACEK;SILVER;D.TEIXEIRA;;5;3;,03,03,06,;;;[10,9,7,5,8];;
5;SONNY BOY;;;5 años;57;L.FONSECA (55);MAGICA;M.AUGELLI;;6;6;,04,02,01,;;;[3,1,2,7,2];;
6;BERTUCHI;;-2;4 años;56;C.A.LOAIZA (54);YEGUADA ILIBERIS;J.LOPEZ;;12;9;,05,11,04,;;;[9,8,4,1,4];;
7;CAMALEON (IRE);;;5 años;56;J.L.MARTINEZ;ODISEA;J.L.MAROTO;;7;7;,01,01,10,;;;[5,8,7,1,1];;
8;DROVER (GB);;-3;5 años;55,5;J.GELABERT;PATRIZIA ROSSANA TESTA;M.TELLINI;;3;3;,02,04,01,;;;[6,12,5,3,1];;
9;CARVALI (IRE);;-3;4 años;55,5;D.FERREIRA (54);BARRA SUR;L. ENNOUNI;;1;6;,01,04,07,;;;[9,9,10,5,10];;
10;VOLGAR (IRE);;;4 años;55;C.CADEL;VOLGAR;G.MADERO;;2;1;,01,02,08,;;;[8,7,5,6,3];;
11;ORBAYO (IRE);;;4 años;53;N.DE JULIAN;LAS AGUILAS;F.RODRIGUEZ;;8;2;,04,02,01,;;;[13,7,6,7,10];;
12;ORRI (IRE);;;6 años;52,5;N.GARCIA (51);METAPHOR;G.VAZ;;9;;,05,06,NP,;;;[8,6,6,13,2];;
;"(2) Difícil en la salida; (3)";;;;;;;;;;;;;;;;
;"Correrá con carrilleras; (4)";;;;;;;;;;;;;;;;
;"Utilizará tapones; (5) Correrá";;;;;;;;;;;;;;;;
;"con anteojeras; (6) Correrá";con;;;;;;;;;;;;;;;
;visor.;;;;;;;;;;;;;;;;
