Column1;Column2;Column3;Column4;Column5;[image];Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Hipódromo de Son Pardo 13-01-2021;Column24
;1ª CARRERA;;;;Premi ZAIDA II;;;;;;Ganador;;;Quiniela;;;;;;Trio;;A las 17:40;
;Al Trote Enganchado;;;;Distancia 2.150m.;;PLACA BEIG - NUMERO NEGRO;;;Matrícula 30€;;;;;Forfait 20% del premio;;;;Cambio Conductor 18€;;;;Autostart
;;;;;1500€ en premios: 690 al 1º, 344 al 2º, 180 al 3º, 104 al 4º, 76 al 5º, 60 al 6º, 46 al 7º;;De 3 años, nacionales hasta a 299,99 €.;;;;;;;;;;;;;;;;
;PROPIETARIO;Nº;;;CABALLO;He.;CONDUCTOR;ENTRENADOR;DIST;;SCE;ORIGEN;SUMAS;;;R.Abs;R.Dist;;CLASIF.;;;ULTIMA CARRERA;
;Cuadras B.r.;;1;;ILLENC BR;;A. RIERA B.;J. L. Mas G.;;;2150 Cc3;Libeccio Grif (it)-Hinka Das Pont;;;0;;;;;;Debutant;;
;Cuadra Josmon;;2;;INDIAN MARTIN;;O. PUIGSERVER;J. Janer M.;;;2150 Ec3;Simply Blue (fr)-Gloria Des Bosc;;;0;;;;;;Debutant;;
;Can Solivellas;;3;;IT LOVE PARIS RS;;A. FRONTERA;A. Frontera;;;2150 Ca3;Paris By Night (fr)-Henara Negra Gs;;;0;;;;;;Debutant;;
;Cuadra Es Viñet Vell Ii;;4;;INTERFERENCE;;J. FORTEZA R.;L. Orell;;;2150 En3;Brandy D'as Pont-Olandadir (it);;;0;;;;(20)-D;;;22.11.20-D-SP-2150-A-0-P. SEBASTIA E.;
;Quadra Cossins Sebastia;;5;;IL.LUSIO DE SYNTHESE;;P. SEBASTIA E.;P. Sebastia E.;;;2150 Ec3;Oh Deco Sb-Synthese (fr);;;0;;;;(20)-D;;;18.12.20-D-SP-2150-A-0-P. SEBASTIA E.;
;Cuadra Ladil;;6;;IOHDECO TF;;Jme. FLUXA;J. Pocovi;;;2150 Cc3;Oh Deco Sb-Stella Sas;;;0;;;;(20)-D-D;;;30.12.20-D-SP-2150-A-0-Jme. FLUXA;
;Cuadra Can Fonoll;;7;;INFERN DE FONT;;A. VALLS;A. Prats E.;;;2150 Cc3;Uno La Chesnaie (fr)-Olga De Font;;;36;1.24.3;;;(20)-5-D;;;26.12.20-5-MN-2050-A-1.24.3-A. VALLS;
;Cuadra C'an Moraduix;;8;;IVORI;;F. ABELLAN;F. Abellan;;;2150 En3;Univers De Pan (fr)-Melody Branch;;;60;1.20.9;1.20.9;;(20)-0-6-0;;;30.12.20-0-SP-2150-A-0-F. ABELLAN;
;Cuadra H. M.;;9;;IRIS HM;;P. ESTELRICH;P. Estelrich;;;2150 Ec3;Tonio De Fanny (fr)-Very Good Hm;;;171;1.21.9;1.21.9;;(20)-7-5-D;;;04.09.20-7-SP-2150-A-1.23.8-J. VERBEECK;
;2ª CARRERA;;;;Premi LES SABLES (PREMIUM);;;;;;Ganador;;;Quiniela;;;;;;Trio;;A las 18:12;
;;;;;;;;;;;TROTADOR FRANCES;;;;;;;;;;;;
;Al Trote Enganchado;;;;Distancia 2.650m.;;PLACA VERDE - NUMERO NEGRO;;;Matrícula 26€;;;;;Forfait 20% del premio;;;;Cambio Conductor 18€;;;;Autostart
;;;;;3500€ en premios: 1.610 al 1º, 806 al 2º, 420 al 3º, 244 al 4º, 176 al 5º, 140 al 6º, 104 al 7º;;De 3 y más años, inscritos en el Stud Book Trotador Frances hasta a 49.999,99 €.;;;;;;;;;;;;;;;;
;PROPIETARIO;Nº;;;CABALLO;He.;CONDUCTOR;ENTRENADOR;DIST;;SCE;ORIGEN;SUMAS;;;R.Abs;R.Dist;;CLASIF.;;;ULTIMA CARRERA;
;Cuadra Toni I Joan;;1;E1;DILEMNE DE CANCHY (FR);D4;G. ANDREU;A. Janer R.;;;2650 Cc8;Rocklyn (fr)-Out Of Africa (fr);;;36.030;1.16.0;1.17.0;;4(20)-3-1-0-2;;;01.01.21-4-SP-2650-A-1.18.6-G. ANDREU;
;Cuadra Froilan;;2;;EMIR DAIDOU (FR);;B. FUSTER;J. Bello;;;2650 Cc7;Saxo De Vandel (fr)-Source De Celland (fr);;;29.050;1.16.1;;0;;;;01.01.21-0-SP-2650-A-0-J. BELLO;
;Hermanos Nicolau Llodra;;3;;DRIVE D'ESCURES (FR);;A. RIERA B.;A. Nicolau R.;;;2650 Cc8;Echo (fr)-Manga D'escures (fr);;;15.874;1.17.8;;;(20)-D-0-0-D-3m-D;;;11.12.20-D-MN-2050-A-0-A. NICOLAU R.;
;Hermanos Llull Moll;;4;;BRUTUS DU GOLFE (FR);D4;J. FLUXA;Jme. Llull M.;;;2650 Ca10;Nobody Du Chene (fr)-Patie De La Vallee (fr);;;45.528;1.15.1;1.17.5;;(20)-6-5-5-7-0-D;;;26.12.20-6-MN-645-H-1.17.9-J. FLUXA;
;Cuadra H. M.;;5;E2;DALLAS GAME (FR);;P. ESTELRICH;P. Estelrich;;;2650 En8;Ni Ho Ped D'ombree (fr)-Quotkita (fr);;;27.610;1.14.5;1.15.4;;2(20)-4-1-1-0-4;;;01.01.21-2-SP-2650-A-1.17.9-J. C. ROTGER;
;Quadra Qualitrot;;6;;COCKTAIL ATOUT (FR);;M. RIERA B.;A. Vaquer S.;;;2650 Cc9;Coktail Jet (fr)-Qasida Jet (fr);;;44.103;1.15.6;1.16.6;;(20)-2-0-1-1-6-R;;;23.12.20-2-SP-2650-A-1.16.6-M. RIERA B.;
Cuadras Fr;;;7;;ELICIUS (FR);;J. FORTEZA R.;J. Forteza R.;;;2650 Ca7;Timoko (fr)-Soiree De Bal (fr);;;11.842;1.16.7;1.19.4;;0(20)-5-5-7-3-5;;;01.01.21-0-SP-2650-A-0-J. FORTEZA R.;
;Cuadra Ladil;;8;;DROP ATOUT (FR);;Jme. FLUXA;J. Pocovi;;;2650 Ca8;Ganymede (fr)-Ukraine D'atout (fr);;;45.961;1.15.0;1.16.3;;(20)-1-1-2-4-R-1;;;23.12.20-1-SP-2650-A-1.16.6-Jme. FLUXA;
;Cuadra Can Somereta;;9;;FLIPPER DU PORHOET (FR);;J. T. VAQUER;J. T. Vaquer;;;2650 Cc6;Saphir D'haufor (fr)-Lady D'anardel (fr);;;6.250;1.17.8;;;D(20)-D-D-D;;;01.01.21-D-SP-2650-A-0-J. T. VAQUER;
;Penya Horse Power;;10;;BOLIDE D'OCCAGNES (FR);;M. A. COLL;M. A. Coll;;;2650 Cc10;Jag De Bellouet (fr)-Golidore (fr);;;17.273;1.15.6;1.17.1;;3(20)-7-D-5-0-4;;;01.01.21-3-SP-2650-A-1.18.2-A. VALLS;
;Cuadra Toni I Joan;;11;E1;FALK DE BESLON (FR);;A. VALLS;A. Janer R.;;;2650 Ca6;Ulf Du Noyer (fr)-Ua Uka Du Fosse (fr);;;636;1.17.7;1.18.2;;(20)-D-7-D-0-4-0;;;23.12.20-D-SP-2650-A-0-A. VALLS;
;Cuadra No U Sabem;;12;;EASY DU VERNET (FR);;J. RIERA S.;J. T. Vaquer;;;2650 Ec7;Kaisy Dream (fr)-Quaizie Du Vernet (fr);;;20.690;1.14.9;1.17.2;;7(20)-0-4-4-1-5;;;01.01.21-7-SP-2650-A-1.19.0-M. RIERA B.;
;Cuadra H. M.;;13;E2;EL AMOR DE KA (FR);;C. RIERA T.;P. Estelrich;;;2650 Cc7;Un Amour D'haufor (fr)-Ruse De Ka (fr);;;47.314;1.14.3;1.16.0;;(20)-5-1-4-0-0-6;;;23.12.20-5-SP-2650-A-1.17.2-P. ESTELRICH;
;Quadra S'altell;;14;;CELADO (FR);;B. RIUTORT;B. Riutort;;;2650 Cc9;Repeat Love (fr)-Roupala (fr);;;22.260;1.15.7;1.18.8;;6(20)-0-0-7-D-0;;;01.01.21-6-SP-2650-A-1.18.8-B. RIUTORT;
;Cuadra Es Pintor;;15;;FALCO THORIS (FR);;J. A. HERNANDEZ N.;J. Bauza B.;;;2650 Cc6;Oakwood Du Closet (fr)-I Love You Bea (fr);;;14.860;1.16.4;;;(20)-4-2-1-1;;;04.12.20-4-MN-2050-A-1.18.8-J. A. HERNANDEZ N.;
;Quadres De L'oison;;16;;EVIDENCE D'ELMA (FR);;A. FRONTERA;A. Frontera;;;2650 Ea7;Jet Fortuna (fr)-Fleur D'espagno (fr);;;22.165;1.15.8;1.15.9;;1(20)-6-2-3-0-6;;;01.01.21-1-SP-2650-A-1.17.6-A. FRONTERA;
;3ª CARRERA;;;;Premi LUCANA (PREMIUM);;;;;;Ganador;;;Quiniela;;;;;;Trio;;A las 18:45;
;Al Trote Enganchado;;;;Distancia 2.150m.;;PLACA NEGRA - NUMERO BLANCO;;;Matrícula 30€;;;;;Forfait 20% del premio;;;;Cambio Conductor 18€;;;;Autostart
;;;;;4000€ en premios: 1.840 al 1º, 920 al 2º, 480 al 3º, 280 al 4º, 200 al 5º, 160 al 6º, 120 al 7º;;De 4 y más años, nacionales de 4.500 / 6.999,99 €.;;;;;;;;;;;;;;;;
;PROPIETARIO;Nº;;;CABALLO;He.;CONDUCTOR;ENTRENADOR;DIST;;SCE;ORIGEN;SUMAS;;;R.Abs;R.Dist;;CLASIF.;;;ULTIMA CARRERA;
;Cuadra Ca'n Prim;;1;;GIAN CARLO SAS;;A. RIERA B.;A. Riera B.;;;2150 Cc5;O'sullivan (fr)-Umbrella Sas;;;5.866;1.16.2;1.16.6;;(20)-5-2-4-3-2-D;;;09.12.20-5-SP-2150-A-1.16.6-A. RIERA B.;
;Scuderia Toscana;;2;E1;GALLAHAN;DP;Ant. ANDREU M.;A. Frontera;;;2150 Cc5;From Above (se)-Vainilla Cat;;;5.124;1.17.6;1.17.6;;(20)-D-0-R-3-5-3;;;09.12.20-D-SP-2150-A-0-Ant. ANDREU M.;
;Cuadra Kolev;;3;;HECTOR;;J. FLUXA;I. Nikolov;;;2150 Cc4;Royal De Perthuis (fr)-Olaya Gowan;;;5.464;1.16.4;1.16.4;;(20)-0-4-0-D-5-D;;;23.12.20-0-SP-2150-A-0-S. POCOVI;
;Cuadra Balear;;4;;FALCO BRANCH;;B. MASCARO;S. Contesti;;;2150 Ca6;Olgado (fr)-Urania Branch;;;4.992;1.17.1;1.17.1;;(20)-4-D-0-D-7-0;;;18.10.20-4-SP-2150-A-1.17.9-A. FRONTERA;
;Cuadra Restaurante La Isla;;5;;EOLO SB;;B. RIUTORT;B. Riutort;;;2150 Cc7;Brandy Dei Fiori (it-Iucla Axe (it);;;5.918;1.17.2;1.18.4;;3(20)-0-0-0-0-5;;;01.01.21-3-SP-2150-A-1.19.4-B. RIUTORT;
;Cuadra Tot Un Somni;;6;;GIANT'S CAUSEWAY;;J. A. HERNANDEZ N.;J. A. Hernandez N.;;;2150 Cc5;Repeat Love (fr)-Tout Un Reve;;;6.122;1.16.2;1.16.2;;(20)-1-1-D-D-5-6;;;23.12.20-1-SP-2150-A-1.16.2-J. BAUZA B.;
;Cuadra Toni I Joan;;7;;HAIZE ABOVE;D4;A. VALLS;A. Janer R.;;;2150 Ec4;From Above (se)-Genova;;;5.022;1.16.4;1.16.4;;(20)-6-3-4-5-2-1;;;30.12.20-6-SP-2150-A-1.16.8-A. VALLS;
;Quadra Llucamet;;8;;FORTUNA DURAN;D4;G. FUSTER;M. M. Rigo G.;;;2150 Cc6;Silver Mixo-Naronica;;;6.730;1.16.8;1.16.8;;(20)-7-D-0-D-1-4;;;23.12.20-7-SP-2150-A-1.16.8-G. FUSTER;
;Scuderia Toscana;;9;E1;HEREVA DE LLEVANT;D4;J. FORTEZA R.;A. Frontera;;;2150 En4;Panne De Moteur (se)-Sal De Llevant;;;6.490;1.16.1;1.16.1;;(20)-3-2-1-1-2-3;;;23.12.20-3-SP-2150-A-1.16.3-A. FRONTERA;
;Quadra Sa Roca Des Castellet;;10;;HACKER;;M. RIERA B.;A. Vaquer S.;;;2150 Cc4;Unoscott (fr)-Ole Ole;;;5.088;1.16.4;1.16.4;;(20)-2-D-2-3-3-1;;;30.12.20-2-SP-2150-A-1.16.4-M. RIERA B.;
;Cuadra Lloritana;;11;;FAUNA HR;;A. Mª. COSTA (AP);M. A. Reinoso;;;2150 Ec6;New Star Blai-Noa;;;6.618;1.16.8;1.17.5;;1(20)-7-1-0-7-3;;;01.01.21-1-SP-2150-A-1.18.7-J. FORTEZA R.;
;Peña Bonanza;;12;;GEA MAR;DA;G. ANDREU;Mª. Riera M.;;;2150 Ec5;Coktail Jet (fr)-Simexite Tirety;;;5.638;1.17.2;1.17.2;;(20)-D-4-3-D-3-1;;;09.12.20-D-SP-2150-A-0-G. ANDREU;
;Cuadra Sa Farola;;13;;GLAÇADA;;Jme. FLUXA;M. Fluxa S.;;;2150 Ec5;Quaker Jet (fr)-Sally Can Wait (se);;;5.232;1.16.5;1.16.5;;(20)-4-1-6-0-4-D;;;30.12.20-4-SP-2150-A-1.16.5-Jme. FLUXA;
;Cuadra Son Mesquida Vell;;14;;HONG KONG D'ITE;;A. FRONTERA;A. Frontera;;;2150 Cc4;Coktail Blai-Orxata D'ite;;;5.990;1.16.3;1.16.3;;(20)-1-3-2-0-2-1;;;30.12.20-1-SP-2150-A-1.16.3-A. FRONTERA;
;Cuadra Veloz;;15;;GATO PEREZ;;J. T. VAQUER;A. Vaquer S.;;;2150 Cc5;Onyx Jiel (fr)-Espira Des Bosc;;;4.833;1.16.8;1.16.8;;(20)-7-6-3-1-6-3;;;30.12.20-7-SP-2150-A-1.16.8-J. RIERA S.;
;Scuderia Toscana;;16;E1;HURACA DE LLEVANT;;J. RIERA S.;A. Frontera;;;2150 Cc4;Repeat Love (fr)-Terra De Llevant;;;5.209;1.17.0;1.17.0;;(20)-0-D-5-1-4-3;;;30.12.20-0-SP-2650-A-0-J. RIERA S.;
;4ª CARRERA;;;;Premi AMIENS (PREMIUM);;;;;;Ganador;;;Quiniela;;;;;;Trio;;A las 19:15;
;;;;;;;;;;;TROTADOR FRANCES;;;;;;;;;;;;
;Al Trote Enganchado;;;;Distancia 2.650m.;;PLACA NARANJA - NUMERO NEGRO;;;Matrícula 30€;;;;;Forfait 20% del premio;;;;Cambio Conductor 18€;;;;Autostart
;;;;;4000€ en premios: 1.840 al 1º, 920 al 2º, 480 al 3º, 280 al 4º, 200 al 5º, 160 al 6º, 120 al 7º;;De 3 y más años, inscritos en el Stud Book Trotador Frances de 50.000 / 89.999,99 €.;;;;;;;;;;;;;;;;
;PROPIETARIO;Nº;;;CABALLO;He.;CONDUCTOR;ENTRENADOR;DIST;;SCE;ORIGEN;SUMAS;;;R.Abs;R.Dist;;CLASIF.;;;ULTIMA CARRERA;
;Cuadra M&c;;1;;BIADJO DE JELMA (FR);;M. GOMILA R. II;M. Gomila R. Ii;;;2650 Ca10;Odeisis De Vandel (fr)-Leggera (fr);;;57.058;1.14.7;;;D(20)-3-4-0-D-0;;;01.01.21-D-SP-2650-A-0-M. GOMILA R. II;
;Hermanos Muntaner;;2;;BACCARAT DESBOIS (FR);;M. RIERA B.;A. Vaquer S.;;;2650 Cc10;Jag De Bellouet (fr)-Platine Du Gade (fr);;;77.526;1.16.0;1.16.0;;3(20)-1-D-5-3;;;01.01.21-3-SP-2650-A-1.17.8-M. RIERA B.;
;Cuadra Ca'n Prim;;3;;BEAUJEU (FR);;A. RIERA B.;A. Riera B.;;;2650 Cn10;Look De Star (fr)-La Belle Victoire (fr);;;75.571;1.14.5;1.15.6;;2(20)-0-R-6-2-5;;;01.01.21-2-SP-2650-A-1.17.6-A. RIERA B.;
;Cuadra Ca'n Duran;;4;E1;AMERICANO BELLO (FR);;G. FUSTER;P. Puigserver;;;2650 Cc11;Goetmals Wood (fr)-It's My Hope (fr);;;88.694;1.16.1;1.15.1;;(20)-D-5-2-D-D-4;;;30.12.20-D-SP-2150-A-0-B. MASCARO;
;Jaime Tauler Tortell;;5;;DINKY BOY VISAIS (FR);;A. TUR;J. Tauler;;;2650 Ca8;Pad D'urzy (fr)-Pinky Girl (fr);;;62.947;1.14.4;1.14.8;;0(20)-0-7-3-3-4;;;01.01.21-0-SP-2650-A-0-A. TUR;
;Andres Llabres Guasp;;6;;CAMANA (FR);;A. FRONTERA;A. Frontera;;;2650 Ec9;Opus Viervil (fr)-L'esperance (fr);;;82.526;1.14.6;1.15.4;;(20)-7-0-5-0-0-0;;;30.12.20-7-SP-2150-A-1.16.3-B. LLOBET R.;
;Cuadra Ladil;;7;E2;DAILY CASH (FR);;S. POCOVI;J. Pocovi;;;2650 Cc8;Gogo (fr)-Quickly Victory (fr);;;69.415;1.15.6;1.15.6;;4(20)-5-2-4-0-5;;;01.01.21-4-SP-2650-A-1.18.0-S. POCOVI;
;Cuadra Ca'n Duran;;8;E1;CASTOR MADRIK (FR);;B. MASCARO;O. Puigserver;;;2650 Cc9;Jag De Bellouet (fr)-Sept Merveilles (fr);;;64.819;1.15.1;1.16.0;;1(20)-4-3-5-2-5;;;01.01.21-1-SP-2650-A-1.17.4-B. MASCARO;
;Cuadra Ladil;;9;E2;COOL BARBES DU DON (FR);;Jme. FLUXA;J. Pocovi;;;2650 Cc9;Ludo De Castelle (fr)-Oasis Barbes (fr);;;63.890;1.15.4;1.17.2;;D(20)-D-1-D-D;;;01.01.21-D-SP-2650-A-0-Jme. FLUXA;
;Cuadra Ladil;;10;E2;BELLA D'EOLE (FR);;J. FLUXA;J. Pocovi;;;2650 Ea10;Kerido Du Donjon (fr)-Maria De Mai (fr);;;57.328;1.16.0;;;(20)-0-0-6-5-0-0;;;26.12.20-0-MN-1725-A-0-S. POCOVI;
