Column1;Column2;Column3;Column4;[image];Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Hipódromo de Son Pardo 20-01-2021;Column18;Column19
1ª CARRERA;;;;56è Premi CIUTAT DE PALMA (PREMIUM);;;;;;;;;;;;;;A las 16:55
;;;;CLÀSSICA;;;;;;;;;;;;;;
Al Trote Enganchado;;;;Distancia 1.650m.;;PLACA VERDE - NUMERO NEGRO;;;Matrícula 45€;;;;Forfait 20% del premio;;;Cambio Conductor 18€;;Autostart
;;;;6000€ en premios: 2.760 al 1º, 1.380 al 2º, 720 al 3º, 420 al 4º, 300 al 5º, 240 al 6º, 180 al 7º;;De 3 y más años, internacionales de libre inscripción.;;;;;;;;;;;;
PROPIETARIO;Nº;;;CABALLO;He.;CONDUCTOR;ENTRENADOR;DIST;;SCE;ORIGEN;SUMAS;;R.Abs;R.Dist;CLASIF.;ULTIMA CARRERA;
Cuadra Frutas Es Moya;;1;;BOCCADOR (FR);;G. RIERA;G. Miralles S.;;1650 Ca10;;Prince Gede (fr)-Syracuse (fr);;235.144;1.14.9;1.16.1;3(20)-6-0-4-2-3;06.01.21-3-SP-2650-A-1.15.4-J. RIERA S.;
Cuadra Ladil;;2;E1;VIXEL (FR);D4;Jme. FLUXA;J. Pocovi;;1650 Cc12;;Quido Du Goutier (fr)-Madrine (fr);;289.521;1.14.5;1.15.4;(20)-3-0-2-3-3-3;23.12.20-3-SP-2650-A-1.14.6-Jme. FLUXA;
Cuadra Toni I Joan;;3;;ACIDALIE DARCHE (FR);D4;A. VALLS;A. Janer R.;;1650 Ec11;;Islero De Bellouet (fr)-Que Choisir (fr);;175.055;1.14.3;;(20)-0-1-0-3;02.12.20-0-SP-2650-A-0-A. VALLS;
Cuadra Balear;;4;;ALTO DU LYS (FR);;B. MASCARO;S. Contesti;;1650 Cc11;;Magnificent Rodney (fr)-Hi Fi D'eronville (fr);;389.979;1.12.3;1.17.1;0(20)-5-0-5m-7-0;06.01.21-0-SP-2650-A-0-S. CONTESTI;
Cuadra H. M.;;5;;VARIUSO DU BOUFFEY (FR);D4;P. ESTELRICH;P. Estelrich;;1650 Ca12;;Look De Star (fr)-Macumba Du Bouffey;;286.714;1.12.4;1.14.3;5(20)-1-D-2m-1-2;06.01.21-5-SP-2650-A-1.15.4-P. ESTELRICH;
Hermanos Riera Vaquer;;6;;AS DE MUZE (FR);;A. VAQUER S.;A. Vaquer S.;;1650 Cc11;;Jag De Bellouet (fr)-Obade Mancellerie (fr);;182.340;1.12.7;;;Debutante;
Cuadra Binimelis-müller, S.l.;;7;;BASCO DE VILLODON (FR);;M. A. BINIMELIS;M. Amer;;1650 Ca10;;Oyonnax (fr)-Miss De Villodon (fr);;185.320;1.13.9;;2;06.01.21-2-SP-2650-A-1.15.1-M. A. BINIMELIS;
Cuadra Ladil;;8;E1;BIKINI (FR);;S. POCOVI;J. Pocovi;;1650 Cc10;;Niky (fr)-Nerimee (fr);;228.980;1.12.3;;6(20)-2-D-D;06.01.21-6-SP-2650-A-1.15.6-Jme. FLUXA;
Cuadra Monmes;;9;;BREATH OF BLUES (FR);;C. CRUELLAS;G. Cruellas;;1650 Ea10;;Ganymede (fr)-Otica Starlett (fr);;141.550;1.14.0;1.15.5;(20)-6-3-0-0-5-0;30.12.20-6-SP-2150-A-1.16.3-C. CRUELLAS;
Peña Black;;10;;BLACK (FR);;B. LLOBET R.;B. Llobet R.;;1650 Cc10;;Islero De Bellouet (fr)-Okita (fr);;126.477;1.13.1;1.13.8;1(20)-5-0-4-7-D;06.01.21-1-SP-2650-A-1.16.1-B. LLOBET R.;
Cuadra Ladil;;11;E1;BANJO DE PERTHUIS (FR);;J. POCOVI;J. Pocovi;;1650 Cc10;;Mambo King (fr)-Lixia De Perthuis (fr);;169.898;1.12.2;;(20)-0-0-0-0-1-2;23.12.20-0-SP-2650-A-0-S. POCOVI;
Cuadra Samba's Prim & Nico;;12;;ADRIANO ROANNAIS (FR);;A. RIERA B.;A. Riera B.;;1650 Cc11;;Orondo (fr)-Nadia Des Jacquots (fr);;163.734;1.13.1;1.14.0;3(20)-2-0-6-4-0;06.01.21-3-SP-2650-A-1.15.4-A. RIERA B.;
Cuadra Berardi Ivan Vittorio;;13;;ANICET LE FOL (FR);;D. OLIVER;J. Janer M.;;1650 Cc11;;Look De Star (fr)-Odile Folle (fr);;143.754;1.12.8;;1(20)-3-1-0-4-5;06.01.21-1-SP-2650-A-1.14.8-J. BAUZA B.;
2ª CARRERA;;;;32è Premi SANT SEBASTIA (PREMIUM);;;;;;;;;;;;;;A las 17:25
;;;;CLÀSSICA;;;;;;;;;;;;;;
Al Trote Enganchado;;;;Distancia 2.150m.;;PLACA NEGRA - NUMERO BLANCO;;;Matrícula 60€;;;;Forfait 20% del premio;;;Cambio Conductor 18€;;Autostart
;;;;8000€ en premios: 3.680 al 1º, 1.840 al 2º, 960 al 3º, 560 al 4º, 400 al 5º, 320 al 6º, 240 al 7º;;De 4 i más años, nacionales de lliure inscripció.;;;;;;;;;;;;
PROPIETARIO;Nº;;;CABALLO;He.;CONDUCTOR;ENTRENADOR;DIST;;SCE;ORIGEN;SUMAS;;R.Abs;R.Dist;CLASIF.;ULTIMA CARRERA;
Cuadra Son Blai;;1;;DE BLAI;;J. FORTEZA R.;A. Frontera;;2150 Cc8;;Lets Go (de)-Selena Blai;;51.022;1.14.3;1.14.9;(20)-5-2-3-2-2-3;30.12.20-5-SP-2650-A-1.16.4-A. FRONTERA;
Cuadra Ca'n Duran;;2;;GIN TONIC DURAN;;G. ANDREU;O. Puigserver;;2150 Cc5;;From Above (se)-Ultra Has;;72.870;1.14.7;1.15.1;(20)-1-1-3-2-3-5;30.12.20-1-SP-2650-A-1.16.0-O. PUIGSERVER;
Cuadra Ladil;;3;E1;CARBO DE LADIL;;S. POCOVI;J. Pocovi;;2150 Cn9;;Lets Go (de)-Avalon Flower (us);;46.017;1.14.2;1.15.0;(20)-6-0-6-0-7-3;30.12.20-6-SP-2650-A-1.16.4-Jme. FLUXA;
Bartolome Serra Amengual;;4;E2;FANTASTIC BS;;F. BENNASAR;M. Salleras;;2150 Cc6;;Repeat Love (fr)-Rydens Ravenna (se);;52.359;1.14.5;1.14.5;(20)-4-4-4-3-5-4;30.12.20-4-SP-2650-A-1.16.4-F. BENNASAR;
Cuadra Es Pou Florit S.l.;;5;;ES GONYADOR DE FONT;;J. RIERA S.;G. Riera;;2150 Cc7;;S J's Photo (us)-Dalia De Kit;;53.704;1.13.7;1.14.9;(20)-2-5-6-D-3-5;30.12.20-2-SP-2650-A-1.16.2-G. RIERA;
Cuadra Ja Vorem;;6;;ENEMIC;DA;M. BOSCH;M. Bosch;;2150 Cc7;;Brandy Dei Fiori (it)-Ginesta Clissa;;78.606;1.14.7;1.14.7;(20)-3-4-1-1-1-2;30.12.20-3-SP-2650-A-1.16.2-M. BOSCH;
Cuadra Ladil;;7;E1;DOJO DE LADIL;;Jme. FLUXA;J. Pocovi;;2150 Ca8;;Kent Barbes (fr)-Selva De La Vallee (fr);;70.089;1.14.2;1.14.2;(20)-D-3-1-1-4-1;27.10.20-D-SP-2650-A-0-J. FLUXA;
