Column1;Column2;Column3;Column4;[image];Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Hipódromo de Son Pardo 27-01-2021;Column18;Column19;Column20
1ª CARRERA;;;;Premi LANCANT SM (PREMIUM);;;;;;;;;;;;;;A las 10:15;
Al Trote Enganchado;;;;Distancia 2.150m.;;PLACA BEIG - NUMERO NEGRO;;;Matrícula 26€;;;;Forfait 20% del premio;;;Cambio Conductor 18€;;;Autostart
;;;;3500€ en premios: 1.610 al 1º, 806 al 2º, 420 al 3º, 244 al 4º, 176 al 5º, 140 al 6º, 104 al 7º;;De 4 y más años, nacionales de 500 / 1.999,99 €.;;;;;;;;;;;;;
PROPIETARIO;Nº;;;CABALLO;He.;CONDUCTOR;ENTRENADOR;DIST;;SCE;ORIGEN;SUMAS;;R.Abs;R.Dist;CLASIF.;ULTIMA CARRERA;;
Hermanos Riera Vaquer;;1;;HÜBSCH TF;;M. RIERA B.;A. Vaquer S.;;2150 Cc4;;Indecrottable (it)-Santiana De Glane (fr);;1.172;1.19.8;1.19.9;(20)-1-1-1-D-6-R;26.12.20-1-MN-1725-A-1.19.8-M. RIERA B.;;
Cuadra Can Somereta;;2;;HAPPY GIRL RV;;A. VAQUER S.;A. Vaquer S.;;2150 Ec4;;Stormy De Touvois (fr)-Twiggy Du Pont;;1.610;1.19.0;1.19.0;4-1-3(20)-D-0-D;13.01.21-4-SP-2150-A-1.19.6-M. RIERA B.;;
Cuadra Valentin;;3;;ELOISETA;;B. MASCARO;S. Contesti;;2150 Ea7;;Orateur (fr)-Patty D'oudon (fr);;1.538;1.18.7;1.18.7;D(20)-D-0-0-0-0;13.01.21-D-SP-2150-A-0-B. MASCARO;;
Hermanos Andreu Mesquida;;4;;HEREU AM;D4;A. FRONTERA;Ant. Andreu M.;;2150 Cc4;;Zola Boko (se)-Uisge Famous;;1.714;1.18.5;1.18.5;D(20)-5-5-4-3-5;13.01.21-D-SP-2150-A-0-Ant. ANDREU M.;;
Cuadra Son Sastre;;5;;HEROÏNA D'ABRIL;;A. TUR;M. Quetglas C.;;2150 Ec4;;Verdugo De Font-Valeunkilate Tirety;;1.872;1.19.1;1.19.1;5-0-6(20)-0-0-7;17.01.21-5-MN-2375-A-1.20.9-A. TUR;;
Hermanos Suau Rossello;;6;;GINEBRO CM;;A. SUAU;A. Suau;;2150 Ca5;;Onyx Jiel (fr)-Tiramilles;;1.444;1.18.5;1.18.9;6-5(20)-0-5-6-6;13.01.21-6-SP-2150-A-1.20.2-A. SUAU;;
Instalaciones Andres Vich;;7;;HABANA CROWN;D4;J. FLUXA;M. Vich C.;;2150 Ec4;;From Above (us)-Amura Crown;;582;1.20.1;1.20.1;(20)-0-D-5-5-4-4;04.12.20-0-MN-2050-A-0-A. VALLS;;
Hermanos Mascaro Puigserver;;8;;HYGGE JAZZ;DP;J. MASCARO P.;J. Mascaro P.;;2150 Ec4;;Napoleon (us)-Iliade Bi (it);;1.390;1.18.8;1.18.8;0-0(20)-0-0-0-0;17.01.21-0-MN-2375-A-0-J. MASCARO P.;;
Cuadra Pma;;9;;HIJA DE PARIS HM;;P. SEBASTIA S.;A. A. Sebastia C.;;2150 Ec4;;Paris By Night (fr)-Una Passada Hm;;1.146;1.20.1;1.20.1;D-5(20)-4-1-5-D;17.01.21-D-MN-2375-A-0-P. SEBASTIA S.;;
