ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_14-2-2021;ALDUFOOF (GB);5;3 años;56;F.JIMENEZ;EL RETORNO;L. ENNOUNI;3;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
1_14-2-2021;BALLET STAR;4;3 años;56;N.DE JULIAN;ANJOS SELVAGENS;D.TEIXEIRA;4;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
1_14-2-2021;CHARMING LOOK (GB);1;3 años;56;M.E.FERNANDEZ;REZA PAZOOKI;O.ANAYA;5;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
1_14-2-2021;KALAHARI (FR) (a);2;3 años;56;I.MELGAREJO;SEVILLA;A.SOTO;2;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
1_14-2-2021;AINE;3;3 años;54,5;M.MONCEAUX (49,5);JIMENEZ;J.JIMENEZ;1;Hipódromo de La Zarzuela;1900;ARENA-FIBRA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_14-2-2021;GAUSS (7000);6;5 años;65,5;SR FARLETE,D. (64,5);ALEGRE;D.FARLETE;5;Hipódromo de La Zarzuela;1700;ARENA-FIBRA
2_14-2-2021;HOLISTIC APPROACH (IRE) (7000);5;7 años;65,5;SR CANO,A.;LONEGAN;A.SANCHEZ C.;7;Hipódromo de La Zarzuela;1700;ARENA-FIBRA
2_14-2-2021;COSTA ESMERALDA (FR) (5000);3;7 años;65;SRTA GIAVARINI,S (61,5);SHOSHOLOZA;M&M RACING;6;Hipódromo de La Zarzuela;1700;ARENA-FIBRA
2_14-2-2021;GORMAZ(5000);2;5 años;65;SRTA MARTINEZ,L. (63,5);L'ETOILE;G.ARIZKORRETA;2;Hipódromo de La Zarzuela;1700;ARENA-FIBRA
2_14-2-2021;MR HOBBS (GB)(5000);1;7 años;65;SR LABORDE,P.;AJEDREZ RACING;B.RAMA;3;Hipódromo de La Zarzuela;1700;ARENA-FIBRA
2_14-2-2021;RADAMES(IRE)(5000);7;6 años;65;SRTA RELAÑO,R. (60,5);ZEBRA;J.LOPEZ;4;Hipódromo de La Zarzuela;1700;ARENA-FIBRA
2_14-2-2021;ROSY MOON (FR)(5000);4;4 años;62,5;SR SARABIA,D.;ECURIE DES MOUETTES;R.MARTIN V.;1;Hipódromo de La Zarzuela;1700;ARENA-FIBRA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3_14-2-2021;FAVEUR GRINE (GB);2;4 años;63;A.MARTINEZ (59);EL VERDUGAL;A.SOTO;5;Hipódromo de La Zarzuela;1800;ARENA-FIBRA
3_14-2-2021;KOHOOF (GB);4;4 años;59;J.L.BORREGO;IREZABAL;A.SANCHEZ C.;6;Hipódromo de La Zarzuela;1800;ARENA-FIBRA
3_14-2-2021;RECUERDA (FR);6;4 años;59;F.JIMENEZ;YEGUADA VALIENTE;I.LOPEZ;2;Hipódromo de La Zarzuela;1800;ARENA-FIBRA
3_14-2-2021;YANEDA (GB);1;5 años;58;B.FAYOS;ZURRAQUIN;B.RAMA;7;Hipódromo de La Zarzuela;1800;ARENA-FIBRA
3_14-2-2021;LEITZA (FR);3;5 años;57;J.L.MARTINEZ;SAMALASSA;M&M RACING;1;Hipódromo de La Zarzuela;1800;ARENA-FIBRA
3_14-2-2021;BAAQY (IRE);7;4 años;56;D.FERREIRA (54,5);EACHWAY;A.SANCHEZ C.;4;Hipódromo de La Zarzuela;1800;ARENA-FIBRA
3_14-2-2021;DORIANA GRAY (FR);5;5 años;56;L.FONSECA (53,5);BEST HORSE;G.VAZ;3;Hipódromo de La Zarzuela;1800;ARENA-FIBRA
;;;;;;;;;;;
