;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
4_23-06-2021;COSSIO;3;5;62;L.FONSECA (59,5);C.RUSH RACING;M&M RACING;12;Hipódromo de San Sebastián;2000;HIERBA
4_23-06-2021;RAMIRIQUI(FR);2;4;61,5;B.FAYOS;ANTHONY DENNIS FORDE;F.RODRIGUEZ;8;Hipódromo de San Sebastián;2000;HIERBA
4_23-06-2021;SISON;5;5;61;J.ZAMBUDIO (56);CESAR ALONSO JUNIOR;C.ALONSO;6;Hipódromo de San Sebastián;2000;HIERBA
4_23-06-2021;MANTRA(FR);4;4;59,5;V.JANACEK;C.AVALON;J.CALDERON;3;Hipódromo de San Sebastián;2000;HIERBA
4_23-06-2021;LA FRISLA(IRE);6;5;58,5;R.SOUSA;C.JOLAM;M.J.GOMEZ;9;Hipódromo de San Sebastián;2000;HIERBA
4_23-06-2021;EIGHTEEN POEMS(IRE);10;9;58,5;D.FARIA;C.EL SABLE;E.PUENTE;4;Hipódromo de San Sebastián;2000;HIERBA
4_23-06-2021;ROSELANE(FR);12;4;58;J.GELABERT;C.TRES TRUFAS;M.ALONSO R.;2;Hipódromo de San Sebastián;2000;HIERBA
4_23-06-2021;COVADONGA'S LAKES(FR);1;4;56,5;R.RAMOS;Y.KANTAURI;M.ALONSO R.;5;Hipódromo de San Sebastián;2000;HIERBA
4_23-06-2021;NA RUA(POR);9;4;53,5;N.DE JULIAN;C.ESPECTACULO;H.PEREIRA;1;Hipódromo de San Sebastián;2000;HIERBA
4_23-06-2021;OLINDA(GER);11;4;53;SRTA.MTNEZ. L. (51)(G.rj);C.EL SABLE;E.PUENTE;10;Hipódromo de San Sebastián;2000;HIERBA
4_23-06-2021;CURILLINES;7;7;51,5;A.GUTIÉRREZ B. (47);C.ROBER;R.AVIAL S.;11;Hipódromo de San Sebastián;2000;HIERBA
4_23-06-2021;PULGARCITA;8;5;51;M.HRUBOSOVA (49);Y.MILITAR;F.LIÑAN;7;Hipódromo de San Sebastián;2000;HIERBA
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
