Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16
;;[image];;;;;;;;;;;Hipódromo de San Sebastián 03/06/2021;;
;;1ª Carrera - Premio;;;;;;;;Suances;;;- 6.800 Euros a repartir - 2.000 metros. Hora: 10 h. 15 m.;;
Nº;CABALLO;;EDAD;;;KG;;JINETE;;;;CUADRA;PREPARADOR;CAJÓN;Ult.Actuac.
1;MARCHELO(IRE);(8);3;;;59;;R.SOUSA;;;;C.BERNARDO;R.AVIAL;2;5,2,3,5,3
2;LUANCO(IRE);(8);3;;;57;;V.JANACEK;;;;Y.ROCIO;G.ARIZKORRETA;3;6,1,4,4,7
3;ANAZ(GB);;3;;;55,5;;B.FAYOS;;;;C.BERING;A.REMOLINA;5;3,1
4;UPA SILVIA;(5);3;;;54,5;;J.GELABERT;;;;Y.AGF;G.ARIZKORRETA;1;9
5;VOLATILITY SMILE(FR);(8);3;;;54,5;;J.ZAMBUDIO (49);;;;ASIER SANCHEZ;M.ALONSO R.;4;6,0,4,6,4
;;2ª Carrera - Premio;;;;;;Príncipe Duero;;;;;- 8.500 Euros a repartir - 2.000 metros. Hora: 10 h. 45 m.;;
Nº;CABALLO;;EDAD;;;KG;;JINETE;;;;CUADRA;PREPARADOR;CAJÓN;Ult.Actuac.
1;EL INGRATO(FR);(8);5;;;62;;R.SOUSA;;;;C.BERNARDO;R.AVIAL;2;5,1,6,3,6
2;TAZONES;;5;;;62;;V.JANACEK;;;;Y.ROCIO;G.ARIZKORRETA;4;4,2,2,2,0
3;OBANOS(IRE);(8);7;;;60;;J.GELABERT;;;;C.CANTER;E.LEON;1;3,4,1,0,1
4;ORIENTAL(JPN);(2)(3)(8);7;;;60;;R.RAMOS;;;;C.CAMPO REAL;A.SOTO;5;6,1,5,3,0
5;RIOCORVO(GER);;5;;;59;;B.FAYOS;;;;C.BERING;A.REMOLINA;3;1,1
;;3ª Carrera - Premio;;Persian Ruler;;;;;;;(Handicap) (1ª parte);;- 6.800 Euros a repartir - 1.600 metros. Hora: 11 h. 15 m.;;
Nº;CABALLO;;EDAD;;;KG;;JINETE;;;;CUADRA;PREPARADOR;CAJÓN;Ult.Actuac.
1;CITY GENT(GB);(5) (8);6;;;62;;SRTA.ALONSO V. V. (60);;;;C.ALVELA;I.ELARRE;3;0,1,0,4,5
2;LONE PEAK(FR);(4) (8);5;;;61,5;;SRTA.BUESA C. (60,5);;;;C.ZUL;J.C.CERQUEIRA;8;1,8,1,4,5
3;MUGUETAJARRA;(3);4;;;57,5;;V.JANACEK;;;;Y.ROCIO;G.ARIZKORRETA;6;7,0,1,2,3
4;RUGBY INDUS(FR);(5);4;;;57,5;;B.FAYOS;;;;COCHETEUX;F.RODRIGUEZ;5;8,4,3,6,3
5;NIRMALI(FR);(3) (8);5;;;57,5;;R.SOUSA;;;;MQS. DE MIRAFLORES;CH.DELCHER;1;4,8,9,1,4
6;TROVATORE(IRE);(8);4;;;55,5;;R.RAMOS (56);;;;C.CALEJAÑA;D.LOPEZ F.;4;5,3,1,7,7
7;ROBLE(GB);;4;;;54,5;;M.E.FERNANDEZ;;;;C.MJF;A.CARRASCO;7;0,4,7,1,8
8;ASCENSION DIRECTE(FR);;6;;;54,5;;J.GELABERT;;;;C.LUCARMADA;R.AVIAL;2;5,2,1,1,0
9;DREAM START(GB);(8);7;;;54;;M.HRUBOSOVA (50,5);;;;MAIA LIDADOR;J.OLIVEIRA;9;4,3,0,1,6
;;4ª Carrera - Premio;;;Chacal;;;;(Handicap) (2ª parte);;;;- 5.950 Euros a repartir - 1.600 metros. Hora: 11 h. 45 m.;;
Nº;CABALLO;;EDAD;;;KG;;JINETE;;;;CUADRA;PREPARADOR;CAJON;Ult.Actuac.
1;REY ANTONI;;6;;;62;;J.GELABERT;;;;Y.AGF;G.ARIZKORRETA;8;2,7,8,2,5
2;HOLLOKO(FR);(2) (3);6;;;61;;V.JANACEK;;;;STAND CARMO;G.VAZ;10;3,3,8,2,8
3;TOSCA;(4);4;;;61;;A.SANCHEZ M. (59);;;;C.LAGUNILLA;A.SANCHEZ M.;7;0,9,4,2,4
4;GROSS(FR);(4) (8);4;;;59,5;;R.SOUSA;;;;JOSE MICHEL RODRIGUEZ;CH.DELCHER;4;5,1,6,7,7
5;JUST ONE LOOK;;7;;;56,5;;R.RAMOS;;;;C.LUCARMADA;R.AVIAL;2;8,5,5,6,3
