ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
1_26-03-2021;SPEEDFUL(GB);2;3;60;B.FAYOS;C.NEGURI;L.ENNOUNI;6;Hipódromo de San Sebastián;2000;HIERBA
1_26-03-2021;HA CHOP(FR);7;3;58;R.RAMOS;C.GALLASTEGUI;R.AON;4;Hipódromo de San Sebastián;2000;HIERBA
1_26-03-2021;CHIEF OF STALL(FR);3;3;57;J.L.BORREGO;C.BREDA;M.ALONSO R.;5;Hipódromo de San Sebastián;2000;HIERBA
1_26-03-2021;LUANCO(IRE);1;3;57;V.JANACEK;Y.ROCIO;G.ARIZKORRETA;1;Hipódromo de San Sebastián;2000;HIERBA
1_26-03-2021;TANGO(FR);4;3;57;J.GELABERT;C.ULIA;M.ALONSO R.;3;Hipódromo de San Sebastián;2000;HIERBA
1_26-03-2021;ASHINGA(FR);5;3;55,5;R.SOUSA;ECURIE DES MOUETTES;A.IMAZ B.;2;Hipódromo de San Sebastián;2000;HIERBA
1_26-03-2021;REY(FR);6;3;55,5;J.GROSJEAN;C.ROBER;R.AVIAL S.;7;Hipódromo de San Sebastián;2000;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
2_26-03-2021;KOREVSKY(IRE) (10.000);8;6;59,5;R.N.VALLE;C.EQUHIPO;R.AVIAL;6;Hipódromo de San Sebastián;2200;HIERBA
2_26-03-2021;PIROPO (8.000);3;4;59,5;J.ZAMBUDIO (54);C.DESIGNHOUSES;M.ALONSO R.;5;Hipódromo de San Sebastián;2200;HIERBA
2_26-03-2021;GRANACCI(FR) (8.000);2;5;58;R.RAMOS;C.NANINA;J.CALDERON;7;Hipódromo de San Sebastián;2200;HIERBA
2_26-03-2021;NOCTU(POR) (8.000);6;4;58;A.F.CHAVEZ (54);C.ALVELA;I.ELARRE;8;Hipódromo de San Sebastián;2200;HIERBA
2_26-03-2021;SAUMET(IRE) (8.000);1;7;58;C.A.LOAIZA (55,5);C. JON & JON;M.COMAS;2;Hipódromo de San Sebastián;2200;HIERBA
2_26-03-2021;NAYADE(GB) (8.000);5;4;56,5;J.L.BORREGO;C.COSTA LA VALL;R.COSTA;1;Hipódromo de San Sebastián;2200;HIERBA
2_26-03-2021;ROSELANE(FR) (8.000);7;4;56,5;F.JIMENEZ;C.TRES TRUFAS;M.ALONSO R.;4;Hipódromo de San Sebastián;2200;HIERBA
2_26-03-2021;VOLGAR(IRE) (8.000);4;5;56,5;N.DE JULIAN;C.GALLASTEGUI;R.AON;3;Hipódromo de San Sebastián;2200;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
3_26-03-2021;BARENTON(FR);99;7;62;R.N.VALLE;C.SILVER;J.M.SILVA;3;Hipódromo de San Sebastián;1600;HIERBA
3_26-03-2021;MUGUETAJARRA;7;4;61,5;V.JANACEK;Y.ROCIO;G.ARIZKORRETA;1;Hipódromo de San Sebastián;1600;HIERBA
3_26-03-2021;IRON ROCK(IRE);1;6;60;B.FAYOS;C.OS COISAS DOCES;H.PEREIRA;9;Hipódromo de San Sebastián;1600;HIERBA
3_26-03-2021;TROVATORE(IRE);5;4;60;R.AGUILERA;C.CALEJAÑA;D.LOPEZ F.;6;Hipódromo de San Sebastián;1600;HIERBA
3_26-03-2021;HOLLOKO(FR);3;6;56;J.GELABERT;STAND CARMO;G.VAZ;8;Hipódromo de San Sebastián;1600;HIERBA
3_26-03-2021;LINDA(IRE);2;4;55,5;R.SOUSA;MQS.DE MIRAFLORES;C.DELCHER;2;Hipódromo de San Sebastián;1600;HIERBA
3_26-03-2021;DUNNABY;6;8;55,5;C.A.LOAIZA (53,5);C.OMBRA;M.COMAS;4;Hipódromo de San Sebastián;1600;HIERBA
3_26-03-2021;CRIMSON MYSTERY(IRE);99;6;55;I.MELGAREJO;C.RUSSIFOREVER;J.M.SILVA;5;Hipódromo de San Sebastián;1600;HIERBA
3_26-03-2021;MIDNIGHT STAR(POR);4;5;54;M.FOREST (G.blanca);C.SILVER;J.M.SILVA;7;Hipódromo de San Sebastián;1600;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
4_26-03-2021;JUST ONE LOOK;5;7;62;J.GROSJEAN;C.LUCARMADA;R.AVIAL;5;Hipódromo de San Sebastián;1600;HIERBA
