4_13-11-2011,INDIAN LOU,3,4.0,56.0,A.ACHARD,4C,"ROSELL, J.C.",9,HIPODROMO LA ZARZUELA,2200,HIERBA
2_26-04-2018,MY FERLOMA (FR),3,5.0,56.0,A.ACHARD,4C,H. OLIVEIRA,2,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1900,ARENA
4_10-02-2019,ORFEON (GB),1,7.0,60.5,A.ACHARD,4C,J.A. RODRIGUEZ,9,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1300,ARENA
5_26-04-2018,RISCHIATUTTO (IRE),6,5.0,60.0,A.ATZENI,4C,T. MARTINS,8,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2100,ARENA
2_09-11-2017,RISCHIATUTTO (IRE),1,4.0,56.5,A.ATZENI,4C,ART. 26,9,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2100,ARENA
1_26-04-2018,RONEO (FR),6,3.0,55.0,A.CAMPO,4C,M. GOMES,1,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1900,ARENA
4_09-11-2017,SURFINA (GB),5,3.0,61.0,A.CHAVEZ,4C,O. ANAYA,2,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,ARENA
2_24-05-2018,TANKSALOT (IRE),7,4.0,57.5,A.CHAVEZ,4C,H. PEREIRA,8,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1400,ARENA
5_24-05-2018,ZAYANY,2,3.0,60.0,A.CHAVEZ,4C,T. MARTINS,1,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2000,ARENA
2_23-07-2011,CUDON (IRE),3,3.0,57.0,A.CHAVEZ,4C,M. AUGELLI,2,HIPODROMO COSTA DEL SOL,2100,ARENA
