1_10-09-2016,3,1,2,0,5.0,4.0,,,,,,,
1_15-01-2012,3,1,2,0,,,,,,,,,
1_28-06-2012,1,4,0,2,3.0,,,,,,,,
1_29-09-2013,1,5,6,0,4.0,7.0,2.0,3.0,,,,,
1_3-09-2016,3,4,0,1,2.0,,,,,,,,
2_01-11-2015,5,0,4,3,6.0,1.0,7.0,2.0,,,,,
2_05-11-2015,2,3,1,0,4.0,,,,,,,,
2_07-08-2014,3,2,0,1,5.0,4.0,,,,,,,
2_13-04-2014,2,3,6,1,5.0,0.0,4.0,7.0,8.0,,,,
2_16-02-2014,4,7,2,6,0.0,3.0,1.0,5.0,,,,,
2_19-10-2014,1,3,2,0,,,,,,,,,
2_26-07-2012,5,2,4,7,0.0,1.0,3.0,6.0,,,,,
2_29-08-2016,6,0,5,2,4.0,1.0,3.0,,,,,,
3_04-10-2015,0,6,2,3,7.0,1.0,9.0,10.0,8.0,5.0,4.0,,
3_05-05-2016,7,5,2,3,4.0,6.0,1.0,0.0,,,,,
3_09-12-12,9,11,0,10,7.0,4.0,5.0,3.0,12.0,6.0,2.0,8.0,1.0
3_25-07-2013,7,2,6,1,3.0,5.0,0.0,4.0,,,,,
3_26-11-2015,5,8,4,6,1.0,3.0,0.0,7.0,2.0,,,,
4_05-01-2014,7,3,2,9,0.0,6.0,8.0,5.0,10.0,4.0,1.0,,
4_07-08-2014,3,2,1,7,5.0,0.0,6.0,8.0,4.0,,,,
4_11-05-2012,8,4,5,0,1.0,2.0,9.0,6.0,11.0,3.0,7.0,10.0,
4_12-01-2014,0,5,3,9,8.0,2.0,6.0,1.0,10.0,4.0,7.0,,
4_17-01-2016,3,9,5,0,6.0,8.0,4.0,1.0,2.0,7.0,,,
4_23-02-2014,2,5,10,4,0.0,6.0,1.0,9.0,3.0,7.0,8.0,11.0,
4_3-09-2016,3,6,8,7,2.0,10.0,5.0,4.0,0.0,9.0,1.0,,
5_07-08-2014,4,3,0,5,1.0,2.0,,,,,,,
5_19-07-2012,1,4,7,6,5.0,3.0,0.0,2.0,,,,,
5_26-11-2015,2,5,1,3,0.0,4.0,,,,,,,
5_28-02-2016,5,0,4,1,2.0,3.0,,,,,,,
